@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
1.2086,3.3569,1.8322,10.0982,-0.7576,-0.5207,7.0934,2.6633,11.7083,-2.1533,-0.216,1.5505,1.2452,5.5835,-0.6852,3.2331,3.3263,1.8238,9.0474,0.053,-2.3212,-5.5962,0.3738,2.411,-0.161,-0.0668,0.6879,1.4714,1.0046,2.1389,1.4603,0.6827,0.4732,2.165,1.0092,4.5749,2.1326,0.4661,0.5444,1.9172,-8.5965,3.5216,-15.7902,-4.4838,1.5474,1.7341,0.6014,1.1207,0.3886,0.3468,0.8625,1.8086,1.1161,2.0969,1.2941,0.6171,0.0278,4.9438,0.136,-0.6055,0.1118,-0.4754,-0.4771,0.2069,TASCA_DESTRA_DIETRO_PANTALONI
1.0703,0.7825,0.8846,3.813,-0.3123,0.178,1.0677,1.0333,4.5905,-1.0305,-0.0326,0.4726,0.6875,2.5955,-0.7343,1.6989,0.6148,0.7841,2.5718,0.1683,6.0119,-32.8575,0.63,-5.4654,0.1048,-0.0192,0.8561,1.2867,1.1282,1.503,1.3178,0.8768,0.7329,1.6557,1.2728,2.2591,1.7367,0.7688,0.3895,0.8257,-1.7438,2.1199,-4.477,-2.1118,1.2852,1.9415,0.9397,1.5106,0.7311,0.484,0.8306,1.4691,1.4826,1.7686,1.785,1.0092,0.0226,2.5854,-0.4009,0.5674,0.6572,-0.1638,-0.1588,0.404,TASCA_DESTRA_DIETRO_PANTALONI
-1.899,3.7906,1.947,5.8728,-2.231,-3.1243,10.7472,3.2783,9.2053,-4.4124,0.9623,4.2785,2.0684,7.6198,-1.1043,5.5535,2.2688,1.5063,5.1052,0.4052,0.6078,-1.9734,-0.342,-3.2467,-0.5626,0.1733,0.5939,0.9413,1.2926,1.5849,2.1765,1.3732,0.3527,0.886,1.6708,2.5119,4.737,1.8858,0.5404,1.0141,-1.166,1.8767,-2.1578,-1.1498,1.0687,0.502,0.2118,0.4697,0.1982,0.4219,0.638,0.7707,1.1504,1.2081,1.8031,1.4926,0.0741,7.9881,-0.8769,-0.7959,0.809,0.5834,-0.926,-0.6986,TASCA_DESTRA_DIETRO_PANTALONI
3.6853,55.5605,7.4539,23.8039,-0.7218,-3.3454,40.8474,6.3912,20.3276,-2.9008,0.5198,42.8693,6.5475,21.2988,-1.2167,12.1323,17.128,4.1386,14.0749,0.2577,-1.1016,7.0895,0.3038,-6.4355,-0.2757,0.0428,1.1663,1.1384,1.8011,0.9761,1.5443,1.582,1.3602,1.296,3.2438,0.9528,2.3848,2.5029,0.6601,0.8536,-2.0418,1.2931,-3.093,-2.392,2.653,1.4389,0.7291,0.5424,0.2748,0.5067,1.171,1.1176,1.6912,0.9544,1.4442,1.5132,0.1021,18.8316,-0.6346,0.5093,0.7652,-0.0382,-0.9232,0.2263,TASCA_DESTRA_DIETRO_PANTALONI
4.295,8.3967,2.8977,11.9234,-0.0644,-2.345,2.8846,1.6984,6.9958,-4.5671,-0.9273,2.8146,1.6777,7.133,-1.0378,5.8477,4.7069,2.1695,10.7509,0.1193,-1.8316,-4.6315,0.7345,2.5287,-0.401,-0.1586,1.7061,1.7272,1.3356,1.0124,0.7828,0.7733,2.9109,2.9832,1.7839,1.0249,0.6128,0.598,0.1257,0.1985,-0.4953,1.5798,-3.9415,-2.4949,8.9146,3.2004,0.9177,0.359,0.1029,0.2867,1.7044,1.6716,1.1091,0.9808,0.6507,0.6635,0.1038,8.5139,0.0944,0.4021,0.8842,-0.1922,-0.2288,0.3432,TASCA_SINISTRA_DAVANTI_PANTALONI
0.048,0.0146,0.1208,0.5645,-0.7842,-0.0743,0.0046,0.0678,0.2505,-3.7216,0.0012,0.0146,0.1208,0.6064,-0.9412,0.1838,0.0078,0.0884,0.3241,0.1362,-0.6456,41.4158,0.261,-64.1498,-0.4042,0.0063,1.7818,0.9999,1.3666,0.5611,0.7669,1.3668,3.1749,0.9997,1.8675,0.3149,0.5882,1.868,1.2568,0.8439,-4.8543,0.6715,-3.8624,-5.7522,5.9647,1.0129,0.8434,0.1698,0.1414,0.8326,2.2539,0.931,1.7421,0.413,0.7729,1.8713,0.0018,0.2833,-0.2626,-0.1238,0.3808,0.0465,-0.3159,0.149,TASCA_SINISTRA_DAVANTI_PANTALONI
3.97,9.6169,3.1011,13.8736,-0.0799,-1.7776,2.0713,1.4392,4.9211,-3.2018,-1.1789,2.868,1.6935,8.8622,-1.3028,5.3911,5.8032,2.409,10.6631,0.1751,-2.2334,-3.3676,0.7364,1.5079,-0.3297,-0.2187,2.1547,1.8312,1.2873,0.8498,0.5974,0.703,4.6429,3.3532,1.6572,0.7222,0.3569,0.4942,0.2739,0.2048,-0.4538,0.7479,-1.6569,-2.2154,10.969,3.3381,0.9938,0.3043,0.0906,0.2977,2.8192,1.5655,1.3011,0.5553,0.4615,0.8311,0.098,7.8078,0.443,0.5649,0.9452,0.0699,0.3039,0.4856,TASCA_SINISTRA_DAVANTI_PANTALONI
4.4241,12.9857,3.6036,11.2083,-0.0358,2.819,10.7933,3.2853,13.4674,-1.3015,-6.374,29.6778,5.4477,17.1151,-28.1802,9.6178,29.1012,5.3946,17.6535,0.0828,1.5694,-0.6941,0.46,-0.4423,0.2931,-0.6627,1.0969,0.6615,0.668,0.6031,0.609,1.0099,1.2031,0.4376,0.4462,0.3637,0.3709,1.0198,0.0509,0.0234,-0.243,0.4608,-4.7785,-10.371,1.8492,18.4492,0.5622,9.9768,0.304,0.0305,0.8323,0.6549,0.6349,0.7869,0.7629,0.9695,0.1756,15.2217,-0.5439,-0.9631,0.978,0.4114,-0.4903,-0.9876,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0276,0.006,0.0778,0.3273,-0.9555,-0.0209,0.002,0.0445,0.1795,-1.2707,0.0363,0.0202,0.1423,0.6443,-1.0356,0.1604,0.0051,0.0711,0.3131,0.1184,-1.3199,0.7605,0.1722,-0.5762,-0.1304,0.2264,1.7462,0.5466,1.0932,0.313,0.626,2,3.0494,0.2988,1.195,0.098,0.3919,4.0001,1.5919,0.4879,-3.8041,0.3065,-2.3896,-7.7976,2.1171,0.5288,0.4712,0.2498,0.2226,0.8912,1.8232,0.508,1.0453,0.2786,0.5733,2.0578,0.0011,0.2282,0.114,0.3502,0.0873,-0.134,0.0914,0.036,TASCA_SINISTRA_DAVANTI_PANTALONI
0.1508,0.5245,0.7242,5.5384,-0.2495,0.0256,0.1153,0.3395,2.2809,-0.3865,0.0634,2.9806,1.7264,16.3705,-0.7345,0.781,3.0379,1.743,10.5009,0.0052,5.8824,2.3777,0.1931,0.4042,0.0328,0.0812,2.133,0.4195,0.4155,0.1967,0.1948,0.9905,4.5496,0.176,0.1727,0.0387,0.038,0.9811,1.7391,0.1595,-20.0717,0.0917,-11.5411,-125.8412,2.6945,0.4697,0.4199,0.1743,0.1558,0.8941,2.4282,0.3383,0.5274,0.1393,0.2172,1.559,0.0034,1.1334,0.6252,0.8421,0.5626,0.6838,0.4172,0.3405,TASCA_SINISTRA_DAVANTI_PANTALONI
-4.2412,17.9869,4.2411,12.9601,-21.2231,-3.2374,1.123,1.0597,4.3167,?,1.1267,9.7691,3.1256,9.1843,-0.7587,7.0042,9.5589,3.0918,9.525,0.2847,1.3101,-3.7642,-0.6055,-2.8732,-0.4622,0.1609,4.002,1.3569,1.3717,0.3391,0.3428,1.0109,16.0164,1.8412,1.8817,0.115,0.1175,1.022,2.8672,3.1239,-3.2647,1.0895,-1.1386,-1.0451,0,0.1117,0.0438,0,0,0.3922,3.0023,1.4111,1.3606,0.47,0.4532,0.9642,0.1136,10.4044,-0.6479,-0.4927,-0.9692,-0.0915,0.5172,0.5899,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0128,0.0729,0.2699,0.9246,-0.5865,-0.0186,0.0093,0.0962,0.5815,-1.9308,-0.0519,0.1898,0.4356,2.7287,-6.752,0.3664,0.1408,0.3752,2.3579,0.0207,-0.6902,-0.2472,0.035,0.3581,-0.0507,-0.1417,2.8055,0.6197,0.7194,0.2209,0.2564,1.1609,7.8709,0.384,0.5175,0.0488,0.0657,1.3477,0.8923,0.1438,-6.868,0.1612,-7.697,-47.7547,2.9378,1.6558,0.2421,0.5636,0.0824,0.1462,1.5902,0.3389,0.3921,0.2131,0.2466,1.1572,0.0012,0.5094,0.1167,-0.1808,0.1346,0.66,-0.6008,-0.8921,TASCA_SINISTRA_DAVANTI_PANTALONI
-1.0632,12.2357,3.498,14.4179,-2.086,-2.9043,1.1454,1.0702,4.9038,?,-0.4929,5.7399,2.3958,9.7683,-1.9902,5.1681,2.2207,1.4902,6.6788,0.3226,0.3661,2.1571,-0.2057,5.8924,-0.562,-0.0954,3.2684,1.46,2.3473,0.4467,0.7182,1.6077,10.6825,2.1317,5.5098,0.1996,0.5158,2.5847,1.9874,1.499,-3.0646,0.7543,-1.542,-2.0444,0,1.4302,0.4739,0,0,0.3313,2.9401,1.476,2.1587,0.502,0.7342,1.4626,0.0652,7.8624,-0.7726,0.296,-0.4737,-0.5296,0.3178,-0.5489,TASCA_SINISTRA_DAVANTI_PANTALONI
-2.9977,1.1578,1.076,4.6852,?,-2.3753,0.5407,0.7353,3.5173,?,-2.5169,0.5955,0.7717,3.9861,?,4.7747,0.4588,0.6773,2.3187,0.6086,1.262,1.191,-0.6278,0.9437,-0.4975,-0.5271,1.4634,1.3943,1.5887,0.9528,1.0856,1.1394,2.1415,1.9442,2.5238,0.9078,1.1785,1.2981,1.3321,1.1754,-1.2997,0.8824,-0.9757,-1.1057,1,1,0,1,0,0,1.3321,1.1754,2.0206,0.8824,1.5169,1.7191,0.1041,7.8898,-0.3702,-0.2412,-0.5715,0.3902,-0.36,-0.4993,TASCA_SINISTRA_DAVANTI_PANTALONI
