@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
1.2725,3.3238,1.8231,5.8085,-0.0934,-1.0772,4.8312,2.198,10.6102,-3.32,-0.3998,3.3559,1.8319,9.221,-0.9948,2.728,7.0086,2.6474,9.4364,0.0121,-1.1812,-3.1827,0.4665,2.6944,-0.3949,-0.1466,0.8295,0.9952,0.6887,1.1998,0.8303,0.692,0.688,0.9904,0.4742,1.4396,0.6893,0.4788,0.0609,0.1079,-4.2819,1.7732,-70.3652,-39.6825,2.1629,1.1492,0.5561,0.5313,0.2571,0.4839,0.5474,0.6299,0.6155,1.1507,1.1244,0.9772,0.0114,4.0965,-0.7036,-0.0975,0.9223,-0.3829,-0.8548,0.04,-27.2704,59.1407,7.6903,42.917,?,-11.583,161.9546,12.7261,54.691,-0.7021,-25.2863,129.6264,11.3854,34.8005,?,2.3543,1.0785,0.4581,0.6043,0.6755,1.1178,0.3652,0.4562,1.2494,1.9024,1.2332,0.6482,0,1,0,0.7847,1.2332,1.5716,0.2597,69.0266,-0.4185,-0.9462,0.6372,?,?,?,?,?,PANTALONI
1.7347,8.1005,2.8461,16.1064,-0.4122,-2.0491,9.3969,3.0654,13.2733,-2.9591,-0.3638,7.1637,2.6765,14.9764,-1.355,4.1369,14.8876,3.8584,13.1228,0.0141,-0.8466,-4.7682,0.4193,5.6322,-0.4953,-0.0879,0.9285,1.0634,0.7376,1.1453,0.7945,0.6937,0.862,1.1308,0.5441,1.3117,0.6312,0.4812,0.4739,0.5456,-25.0218,1.1513,-52.7975,-45.859,3.4018,1.7934,0.8568,0.5272,0.2519,0.4778,1.2134,1.0755,1.2274,0.8863,1.0115,1.1413,0.0095,6.3621,-0.4021,0.5058,0.6715,-0.1379,-0.8124,0.0741,0.2512,131.8618,11.4831,33.0582,-1.3151,-4.518,165.6313,12.8698,41.1575,-0.4721,-41.7072,12.7271,3.5675,44.7586,?,-0.0556,-0.006,0.1083,0.8923,3.2188,3.6075,0.7961,10.3607,13.014,1.4228,0.4196,0.2949,0.5107,0,0,0.8032,0.7386,0.9195,0.1472,64.8032,-0.686,-0.7187,0.9579,?,?,?,?,?,PANTALONI
1.7337,5.5046,2.3462,6.9227,-0.0613,-0.6921,0.924,0.9612,4.0414,-3.9462,-0.9039,1.5475,1.244,4.6034,-3.2814,2.55,5.7756,2.4032,6.6893,0.0122,-2.505,-1.918,0.6799,0.7657,-0.2714,-0.3545,2.4408,1.886,0.9763,0.7727,0.4,0.5176,5.9576,3.557,0.9531,0.5971,0.16,0.2679,0.1241,0.1134,-4.8618,0.9139,-39.1852,-42.8778,7.9829,6.0664,0.9632,0.7599,0.1207,0.1588,1.7129,1.5038,1.0349,0.8779,0.6042,0.6882,0.0158,3.8251,-0.7053,-0.5006,0.965,0.7016,-0.8262,-0.6622,19.6765,248.7157,15.7707,52.8125,-0.8094,-17.2347,2.7155,1.6479,21.6875,?,-13.1365,12.5847,3.5475,17.3125,-24.1818,-1.1417,-1.4979,1.312,9.5704,4.4456,0.4645,91.5919,19.7633,0.2158,1.0893,1.4211,1.3045,0,42.4545,0,2.4352,3.0505,1.2527,0.2234,54.4666,0.3808,-0.8366,0.0381,?,?,?,?,?,PANTALONI
0.0363,0.0154,0.1239,0.7195,-1.0639,0.0621,0.0199,0.1411,0.7391,-0.6167,-0.0215,0.0139,0.1179,0.5765,-1.4598,0.2168,0.0078,0.0883,0.4669,0.0818,0.5855,-1.6893,0.1676,-2.885,0.2863,-0.0992,0.8781,1.0507,1.4034,1.1965,1.5982,1.3357,0.7711,1.1039,1.9695,1.4316,2.5542,1.7841,1.3155,1.0839,-8.9212,0.824,-6.7817,-8.2306,0.7626,1.4874,0.6856,1.9505,0.8991,0.4609,0.9735,1.2479,1.5409,1.2819,1.5829,1.2348,0.0005,0.324,0.2469,-0.156,0.1963,-0.1055,0.3578,-0.3871,14.1548,0.5636,0.7507,2.6,0.8323,-41.5993,0.3954,0.6288,42.9198,?,-13.4382,0.3591,0.5993,14.7403,?,-0.3403,-1.0533,3.0956,1.1939,1.2527,1.0492,1.4253,1.5691,1.1009,-0.3008,-0.8757,2.9117,0,0,1,0.0606,0.1764,2.9117,0.3063,69.1922,0.7869,-0.6471,-0.6982,?,?,?,?,?,PANTALONI
0.0184,0.0147,0.1212,0.6295,-1.2194,0.026,0.0105,0.1022,0.4939,-0.7762,0.0026,0.0093,0.0965,0.5552,-1.0825,0.1742,0.0051,0.0717,0.3203,0.1031,0.7073,6.9976,0.1057,9.8936,0.1494,0.0151,1.1854,1.2562,1.6901,1.0598,1.4258,1.3454,1.4051,1.578,2.8564,1.1231,2.0329,1.8101,1.6026,1.1986,-9.3902,0.7479,-5.8595,-7.8345,1.0202,1.064,0.7943,1.043,0.7786,0.7465,1.2747,1.134,1.9656,0.8896,1.542,1.7334,0.0002,0.2597,-0.0823,-0.0328,0.1994,-0.0142,0.1069,-0.0547,7.8408,0.0662,0.2573,1.1,0.8692,-44.5582,0.1317,0.3629,45.1475,?,-12.2404,0.2497,0.4997,13.3648,?,-0.176,-0.6406,3.6403,0.7091,0.5149,0.7262,0.5028,0.2652,0.5274,-0.1619,-0.5468,3.3781,0,0,1,0.0244,0.0823,3.3781,0.3125,64.6394,-0.1893,-0.1087,-0.2084,?,?,?,?,?,PANTALONI
1.9189,11.7061,3.4214,18.1799,-1.1418,-1.8474,2.936,1.7135,6.8461,-12.9842,-0.9122,5.5056,2.3464,16.6228,-1.0304,4.2134,10.3225,3.2129,12.3886,0.0236,-1.0387,-2.1037,0.4554,2.0253,-0.4385,-0.2165,1.9968,1.4581,1.0649,0.7303,0.5333,0.7303,3.987,2.1262,1.134,0.5333,0.2844,0.5334,1.5247,1.1489,-32.4232,0.7535,-21.2653,-28.2211,17.338,1.0368,0.669,0.0598,0.0386,0.6453,2.6555,1.0937,1.4675,0.4119,0.5526,1.3418,0.0095,6.4233,-0.3651,-0.5429,0.4796,-0.0112,-0.659,-0.3055,-15.9725,316.5579,17.7921,46.3257,-9.7966,-16.1656,299.5697,17.3081,52.6749,-1.777,-26.7037,158.4688,12.5884,38.2828,?,0.9881,0.5981,0.6054,1.028,1.4134,1.3749,1.0567,1.9976,1.8904,1.2471,1.098,0.8805,0.2262,0,0,0.8795,1.2101,1.3759,0.1189,66.8158,-0.8139,-0.8036,0.9546,?,?,?,?,?,PANTALONI
-0.0014,0.0148,0.1215,0.5711,-0.9049,-0.0033,0.0174,0.132,0.6841,-1.0668,0.0239,0.0137,0.1171,0.6158,-0.8515,0.2009,0.0061,0.0783,0.3664,0.1173,0.4093,-0.0567,-0.0068,-0.1386,-0.0165,0.1192,0.9204,1.038,1.5517,1.1277,1.6858,1.4949,0.8472,1.0774,2.4077,1.2718,2.842,2.2347,0.7683,0.958,-5.5695,1.2469,-7.2492,-5.814,0.9057,0.9014,0.7221,0.9952,0.7974,0.8012,0.8348,0.9274,1.5585,1.111,1.867,1.6806,0.0002,0.3029,-0.0334,-0.1251,-0.0406,-0.0875,-0.0529,0.2306,44.6388,0.0362,0.1901,0.9,0.98,2.6166,0.0141,0.1189,0.5108,0.8208,-15.3377,0.0921,0.3035,16.037,?,17.0601,-2.9104,-0.1706,1.5994,0.6265,0.3917,2.5582,0.3925,0.1534,18.8901,-2.7563,-0.1459,15.821,0,0,1.7618,0.0561,0.0319,0.3152,62.5931,-0.1249,0.091,-0.256,?,?,?,?,?,PANTALONI
0.7814,1.3408,1.1579,4.5821,-0.078,-0.4028,0.4758,0.6898,4.2404,-0.8879,-0.5765,1.6925,1.301,6.5946,-2.5811,1.6868,1.769,1.33,6.2672,0.0055,-1.9397,-1.3553,0.4632,0.6987,-0.2388,-0.3418,1.6787,0.8901,0.8706,0.5302,0.5186,0.9781,2.8179,0.7922,0.7579,0.2811,0.269,0.9567,0.1663,0.0698,-9.5168,0.4196,-57.2435,-136.4278,1.8924,2.3082,0.6745,1.2197,0.3564,0.2922,1.0806,0.6948,0.7311,0.643,0.6766,1.0522,0.007,2.385,-0.1555,-0.1557,0.8059,-0.2873,-0.0438,-0.5499,-13.5647,86.0891,9.2784,34.5965,?,9.7792,15.5526,3.9437,12.873,0.3365,-42.0907,33.1002,5.7533,46.4931,?,-1.3871,0.3223,-0.2323,2.3527,1.6127,0.6855,5.5354,2.6009,0.4699,-5.299,0.7441,-0.1404,0,1,0,2.6875,0.7441,0.2769,0.2999,65.4347,-0.8441,-0.9833,0.8788,?,?,?,?,?,PANTALONI
1.2094,5.4142,2.3268,9.9547,-0.1864,-0.8384,1.9229,1.3867,8.83,-0.9991,-0.2633,3.8367,1.9587,10.2783,-1.576,2.7404,5.8988,2.4287,9.5001,0.0064,-1.4425,-4.5931,0.4413,3.1841,-0.3059,-0.0961,1.678,1.1879,0.958,0.708,0.5709,0.8065,2.8156,1.4112,0.9178,0.5012,0.326,0.6504,0.3544,0.2487,-25.5598,0.7018,-72.1144,-102.7554,1.8996,2.1028,0.8775,1.107,0.462,0.4173,1.1274,0.9685,1.0478,0.8591,0.9295,1.0819,0.0099,3.9917,-0.5592,-0.117,0.8515,-0.0075,-0.6517,-0.252,-18.182,101.4025,10.0699,36.5,-2.883,0.0953,224.4256,14.9808,47.6188,-0.546,-26.0453,76.3093,8.7355,40.7847,?,-190.8259,0.6981,-0.0037,0.6722,1.1528,1.7149,0.4518,1.3288,2.941,1.6113,0.6645,0.4124,0.3052,0,0,0.7665,0.8949,1.1676,0.2104,58.9571,0.2091,-0.4907,-0.4101,?,?,?,?,?,PANTALONI
2.0124,27.7934,5.2719,22.052,-0.5186,-0.6101,5.0536,2.248,11.2972,-0.9366,-1.2658,6.0476,2.4592,19.0278,-4.5197,5.2984,16.8464,4.1044,16.2257,0.0144,-3.2983,-1.5898,0.3798,0.482,-0.1152,-0.2389,2.3451,2.1438,1.2844,0.9141,0.5477,0.5992,5.4997,4.5958,1.6498,0.8356,0.3,0.359,1.3783,0.4833,-31.7568,0.3507,-23.0408,-65.7045,2.4893,4.2125,0.8821,1.6922,0.3543,0.2094,1.952,1.1589,1.3591,0.5937,0.6963,1.1727,0.0084,7.5845,-0.3437,-0.4834,0.6779,0.0613,-0.1873,-0.5233,-9.3467,484.9143,22.0208,56.5521,-6.1,-36.844,136.1921,11.6701,46.5408,?,-12.9082,146.5114,12.1042,34.3964,-1.8764,0.2537,0.7241,2.8543,1.8869,1.8193,0.9641,3.5605,3.3097,0.9296,1.044,2.1654,2.0742,0,0.6661,0,1.2151,1.6441,1.3531,0.1375,70.1824,-0.8567,-0.988,0.849,?,?,?,?,?,PANTALONI
