@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
-3.3032558,11.493819,3.3902535,14.643345,-2.1821785,-1.2103351,14.56052,3.815825,14.562502,-1.2225039,-1.4425403,6.8542767,2.6180673,9.536919,-2.5107546,6.216847,8.716739,2.9524124,10.430126,0.0715561,2.7292075,2.2898881,-0.5313394,0.8390304,-0.19468634,-0.23203729,0.88847196,1.2949451,1.1482995,1.4574969,1.2924432,0.8867553,0.78938246,1.6768829,1.3185917,2.1242971,1.6704092,0.786335,1.2536097,1.4722927,-12.491813,1.1744426,-9.964675,-8.484599,0.7022994,1.6939795,0.40962067,2.4120474,0.5832564,0.2418097,1.0055515,1.5354377,1.403947,1.5269608,1.3961961,0.9143627,0.03960708,9.469823,-0.52831465,0.2806026,-0.17030147,TASCA_DESTRA_DAVANTI_PANTALONI
-0.79654044,10.295804,3.2087076,18.338444,-1.4743154,-2.699859,18.097828,4.254154,14.42071,-7.9467044,-3.4838789,9.893815,3.1454434,21.706097,-3.6600082,6.391234,17.500685,4.183382,15.538294,0.091686346,0.2950304,0.22863609,-0.12463015,0.7749578,-0.42243156,-0.5451027,0.7542528,1.020113,0.7670128,1.3524816,1.0169175,0.75189006,0.56889725,1.0406303,0.58830863,1.8292062,1.0341212,0.56533873,0.85307497,0.6409449,-6.966677,0.7513348,-8.166547,-10.869385,4.598158,1.5911546,0.43325135,0.34604174,0.094222814,0.2722874,1.2716742,0.8448522,1.1802096,0.6643622,0.9280755,1.3969421,0.046655886,9.274074,-0.50984776,0.060450263,0.09725258,TASCA_DESTRA_DAVANTI_PANTALONI
-0.5561534,20.50646,4.528406,17.38637,-1.4405857,-1.6100959,3.0314584,1.7411084,7.6925697,-2.415133,-3.2769403,5.3302145,2.3087258,8.423618,-15.484433,6.243114,3.5317273,1.879289,8.373062,0.19751433,0.34541634,0.16971728,-0.089082696,0.4913412,-0.2578995,-0.52488875,2.6008754,1.9614309,2.409638,0.7541426,0.9264719,1.2285103,6.7645526,3.8472111,5.8063545,0.568731,0.85835004,1.5092373,1.8864665,1.296982,-4.979759,0.68751925,-2.6397285,-3.8394976,3.1626492,13.940879,0.6827596,4.407975,0.2158822,0.048975363,2.2601511,2.0640025,2.076465,0.91321445,0.91872835,1.006038,0.038876254,8.927986,-0.28866646,0.04712784,-0.682931,TASCA_DESTRA_DAVANTI_PANTALONI
-2.5841465,39.7259,6.3028483,30.851803,-0.7417267,-6.0950813,21.451424,4.631568,18.740211,-4.1832137,-3.4634368,18.019869,4.244982,21.613531,-3.8172321,10.954749,15.013862,3.8747725,20.355436,0.17890109,0.42397243,0.746122,-0.2358928,1.7598362,-0.5563871,-0.31615847,1.3608454,1.4847763,1.626637,1.091069,1.1953135,1.0955435,1.8519003,2.204561,2.6459482,1.1904317,1.4287746,1.2002155,0.8686784,0.7671278,-2.9624193,0.8830976,-3.41026,-3.8617024,4.8992,3.9479568,0.714522,0.805837,0.14584462,0.18098526,1.646289,1.42743,1.5156542,0.86705923,0.920649,1.0618063,0.07864731,16.548403,0.09491265,-0.6097277,-0.3398758,TASCA_DESTRA_DAVANTI_PANTALONI
0.98139524,0.47536173,0.6894648,3.3914123,-0.091123566,0.7267665,1.2072753,1.0987608,5.853264,-0.32061416,0.73959935,4.4656034,2.1131973,12.702311,-0.49125662,2.2030416,3.3331811,1.8257002,9.19996,0.052165247,1.3503584,1.3269283,0.44547287,0.98264897,0.32989234,0.33571738,0.6274931,0.32626617,0.37764406,0.5199518,0.6018298,1.1574723,0.3937476,0.10644961,0.14261504,0.27034986,0.36219913,1.3397422,0.19931155,0.06768596,-0.55937463,0.33959877,-2.8065338,-8.264263,0.70126873,0.36490205,0.3202236,0.5203455,0.4566346,0.8775604,0.5794053,0.26699176,0.3686334,0.4608031,0.63622713,1.380692,0.030376641,3.3729188,0.62405074,0.28298172,0.5326897,TASCA_DESTRA_DAVANTI_PANTALONI
-1.1682346,4.5186276,2.1257064,9.444622,-1.1581699,2.9906015,21.143408,4.598196,19.776745,-1.1638057,-4.301782,12.887523,3.5899196,12.525544,-17.806139,7.7539077,7.240275,2.6907759,9.298308,0.23404405,-0.3906353,0.2715699,-0.15066399,-0.6952006,0.3856896,-0.55478895,0.4622914,0.59213203,0.7899976,1.2808633,1.7088736,1.3341578,0.2137133,0.35062033,0.62409616,1.6406107,2.9202492,1.779977,0.47649038,0.42737043,-1.7839122,0.89691305,-3.7438576,-4.174159,0.4788091,6.570554,0.3604946,13.722701,0.75289845,0.05486518,0.477562,0.75402886,1.0157355,1.578913,2.1269186,1.3470777,0.11183018,11.306863,0.0083189765,0.1710578,-0.31629333,TASCA_DESTRA_DAVANTI_PANTALONI
0.023716241,13.000645,3.6056406,15.689823,-0.6723869,-0.9414554,5.8623548,2.42123,10.098397,-1.0588139,0.81698245,11.629509,3.4102066,12.994629,-0.693217,5.1901393,5.1093283,2.2603824,9.8903055,0.11468699,-0.02519104,0.029029071,0.0045694807,-1.152357,-0.18139309,0.1574105,1.4891772,1.0573086,1.5951463,0.70999515,1.0711595,1.5086857,2.217649,1.1179014,2.544492,0.50409305,1.1473827,2.2761326,1.2146343,1.1857144,-4.9234953,0.97619045,-4.0534797,-4.152345,1.912696,1.222447,0.83978564,0.6391225,0.4390586,0.68697095,1.5536944,1.2074083,1.586384,0.7771209,1.02104,1.3138754,0.025973754,7.821142,-0.3214402,0.33779544,0.0067611528,TASCA_DESTRA_DAVANTI_PANTALONI
0.5609018,58.42217,7.64344,25.498892,-0.77211547,1.0010211,6.662952,2.5812695,12.8311,-0.5959375,-3.1102877,18.567154,4.308962,20.550735,-2.4305756,8.984532,13.921017,3.731088,12.975813,0.18628985,0.5603296,-0.18033761,0.06242972,-0.32184198,0.11141606,-0.34618247,2.9611166,1.7738471,2.048582,0.5990467,0.6918276,1.1548808,8.768211,3.1465333,4.196688,0.35885695,0.4786254,1.3337499,2.3187976,0.76303077,-3.7398787,0.32906315,-1.6128527,-4.901347,1.7897043,2.4019773,0.902328,1.3421085,0.50417715,0.37566048,1.9872724,1.2407776,1.9651093,0.6243621,0.9888475,1.5837725,0.06765712,12.715544,-0.1184209,-0.5336129,-0.11254825,TASCA_DESTRA_DAVANTI_PANTALONI
-0.46503952,3.9263296,1.9814968,6.774723,-1.0934899,-0.86642414,1.5621276,1.249851,4.1898527,-1.5442771,-1.6073304,7.2657733,2.69551,9.087519,-3.0231256,3.8312075,1.6265427,1.2753599,5.355026,0.22663188,0.5367343,0.28932416,-0.12138197,0.53904545,-0.2261491,-0.41953626,1.5853864,0.73511016,1.5536766,0.46367887,0.9799987,2.113529,2.51345,0.54038703,2.413911,0.21499813,0.96039754,4.4670043,1.3914764,0.51820016,-2.2549617,0.3724103,-1.6205533,-4.3515263,1.9651076,1.4326462,0.46735337,0.7290422,0.23782586,0.32621688,1.6169358,0.7454976,1.2651149,0.46105576,0.78241503,1.6970074,0.04282426,5.722637,0.6237308,-0.36173028,-0.31962186,TASCA_DESTRA_DAVANTI_PANTALONI
-1.264486,6.575148,2.5642052,9.304739,-0.9846802,0.16196474,1.862106,1.36459,4.848476,-1.0698755,-3.887026,6.7313595,2.5944865,8.782367,?,5.1546407,5.3324227,2.3092039,7.1943307,0.26054746,-7.807168,0.32530937,-0.2453102,-0.041668035,0.03142115,-0.75408286,1.879103,0.9883286,1.1104282,0.52595764,0.5909353,1.1235416,3.5310278,0.97679347,1.2330508,0.27663147,0.34920448,1.2623454,1.8421059,0.52565074,-1.8211341,0.28535315,-0.98861533,-3.4645326,2.0014863,?,0.48187408,?,0.24075812,0.0,1.919106,1.0594797,1.2933432,0.5520694,0.6739301,1.2207344,0.092971295,7.6993284,-0.20940623,0.77075285,-0.2837158,TASCA_DESTRA_DAVANTI_PANTALONI
