@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
-0.0468,3.0371,1.7427,7.5335,-0.6024,-0.1131,2.0894,1.4455,5.6672,-0.8529,-0.1589,0.8472,0.9204,4.0437,-1.465,2.3117,0.6702,0.8186,4.3349,0.1802,0.4141,0.2948,-0.0203,0.7119,-0.0489,-0.0687,1.2056,1.8934,2.1288,1.5705,1.7657,1.1243,1.4536,3.585,4.5319,2.4664,3.1178,1.2641,1.0857,1.1785,-2.9733,1.0854,-2.7385,-2.523,1.5371,2.8659,0.8892,1.8645,0.5785,0.3103,1.3293,1.863,1.7379,1.4015,1.3073,0.9328,0.0005,3.4662,0.433,-0.1943,-0.0066,-0.3551,0.1614,-0.1701,?,?,?,?,?,?,?,?,?,?,PANTALONI
1.0817,10.8139,3.2885,28.1433,-0.2679,-0.4057,5.8005,2.4084,13.9898,-0.7702,-0.1369,4.4039,2.0986,9.1255,-0.8867,3.8798,7.3186,2.7053,21.8419,0.028,-2.6663,-7.8993,0.2788,2.9627,-0.1046,-0.0353,1.3654,1.567,1.2156,1.1477,0.8903,0.7757,1.8643,2.4555,1.4776,1.3171,0.7926,0.6018,0.9771,1.3868,-9.4433,1.4193,-9.6646,-6.8096,2.8085,4.589,0.9877,1.6339,0.3517,0.2152,2.0117,3.084,1.2885,1.5331,0.6405,0.4178,0.0031,5.8251,0.0393,-0.271,0.6038,0.1404,-0.1577,0.0123,?,?,?,?,?,?,?,?,?,?,PANTALONI
0.677,8.0728,2.8413,30.4062,-0.2495,-0.7174,4.6721,2.1615,11.0833,-0.9989,-0.1291,5.2349,2.288,11.4776,-0.7233,3.7163,5.1585,2.2712,23.7077,0.03,-0.9436,-5.2449,0.1822,5.5584,-0.193,-0.0347,1.3145,1.2418,1.251,0.9447,0.9517,1.0074,1.7279,1.5421,1.565,0.8925,0.9057,1.0148,1.0964,1.2606,-8.2854,1.1498,-7.5572,-6.5728,4.3887,3.6535,0.9956,0.8325,0.2269,0.2725,2.7434,2.6492,1.2825,0.9656,0.4675,0.4841,0.0027,5.5544,0.1795,-0.0882,0.539,-0.0099,-0.2052,0.2306,?,?,?,?,?,?,?,?,?,?,PANTALONI
0.513,13.0117,3.6072,20.7625,-0.5418,0.7655,11.0145,3.3188,16.4748,-0.3885,-0.5424,15.0406,3.8782,24.2972,-0.9017,5.5926,8.9325,2.9887,15.4275,0.0508,0.6702,-0.9458,0.0917,-1.4112,0.1369,-0.097,1.0869,0.9301,1.2069,0.8558,1.1104,1.2976,1.1813,0.8651,1.4567,0.7323,1.2331,1.6838,1.583,0.6333,-8.8404,0.4001,-5.5847,-13.9588,1.1349,1.054,0.8285,0.9287,0.7301,0.7861,1.2603,0.8545,1.3458,0.6781,1.0679,1.5749,0.0029,8.5142,0.1464,0.4554,0.5044,0.0448,0.4044,0.1472,?,?,?,?,?,?,?,?,?,?,PANTALONI
0.5727,4.4664,2.1134,8.5861,-0.556,0.03,2.3761,1.5415,5.7537,-0.8152,0.1052,1.5353,1.2391,5.8981,-0.9832,2.8209,0.7606,0.8721,4.7593,0.2145,19.1173,5.4433,0.203,0.2847,0.0106,0.0373,1.371,1.7056,2.4233,1.2441,1.7675,1.4208,1.8797,2.9092,5.8724,1.5477,3.1241,2.0185,1.1874,1.0492,-2.3605,0.8837,-1.988,-2.2498,1.7408,1.8554,0.9107,1.0659,0.5232,0.4908,1.4923,1.4558,1.8041,0.9755,1.209,1.2393,0.0016,4.2376,0.3933,-0.1033,0.4379,-0.2052,0.4907,-0.1437,?,?,?,?,?,?,?,?,?,?,PANTALONI
-0.1676,3.8142,1.953,7.9704,-0.6503,-0.148,2.0567,1.4341,5.6442,-0.9585,0.0863,0.6611,0.8131,4.3276,-1.2304,2.4074,0.794,0.8911,4.7802,0.1572,1.1322,-1.9415,-0.0696,-1.7148,-0.0615,0.0358,1.3618,2.402,2.1917,1.7639,1.6094,0.9124,1.8545,5.7696,4.8034,3.1112,2.5902,0.8325,1.137,1.3156,-3.5221,1.157,-3.0977,-2.6773,1.6758,2.4891,0.8515,1.4853,0.5081,0.3421,1.4121,1.8417,1.6674,1.3042,1.1808,0.9053,0.0006,3.5304,0.5532,-0.1122,-0.0915,-0.2461,0.2764,-0.2148,?,?,?,?,?,?,?,?,?,?,PANTALONI
0.0228,3.3544,1.8315,8.0966,-0.6802,0.4262,3.1039,1.7618,6.4795,-0.531,0.0242,0.8628,0.9289,5.0188,-1.5988,2.5305,1.1006,1.0491,4.7114,0.1685,0.0535,0.9415,0.009,17.5892,0.1684,0.0096,1.0396,1.9717,1.7458,1.8967,1.6794,0.8854,1.0807,3.8878,3.0478,3.5975,2.8203,0.7839,1.4586,1.0616,-3.4337,0.7278,-2.3541,-3.2344,1.1386,2.4952,0.8505,2.1915,0.747,0.3408,1.2496,1.6133,1.7185,1.291,1.3753,1.0652,0.0011,3.7251,0.5118,-0.1769,0.0483,-0.1397,0.5211,-0.2521,?,?,?,?,?,?,?,?,?,?,PANTALONI
-0.3741,2.1844,1.478,8.9506,-1.6319,0.5201,3.5649,1.8881,11.6863,-0.5129,-0.6931,8.2666,2.8752,23.0251,-1.4998,3.1711,4.8511,2.2025,13.7492,0.0318,-0.7194,0.5398,-0.118,-0.7503,0.164,-0.2186,0.7828,0.514,0.671,0.6567,0.8572,1.3054,0.6127,0.2642,0.4503,0.4312,0.7349,1.7041,1.4007,0.4017,-12.3086,0.2868,-8.7872,-30.6384,0.4403,0.3692,0.2395,0.8386,0.544,0.6486,0.7659,0.3887,0.651,0.5075,0.85,1.6747,0.0025,4.6702,0.1284,0.0549,-0.2474,-0.2201,0.2979,-0.2965,?,?,?,?,?,?,?,?,?,?,GIACCA
-0.2823,2.727,1.6514,10.8461,-3.8451,0.4895,3.4324,1.8527,10.8178,-0.8177,-0.8338,8.682,2.9465,20.1867,-2.0379,3.3165,4.8568,2.2038,13.0847,0.0588,-0.5767,0.3386,-0.0851,-0.5871,0.1476,-0.2514,0.8913,0.5604,0.7493,0.6288,0.8407,1.337,0.7945,0.3141,0.5615,0.3953,0.7067,1.7876,1.7687,0.6356,-10.5312,0.3594,-5.9541,-16.5682,0.3762,0.3369,0.161,0.8956,0.4281,0.478,1.0026,0.5373,0.8289,0.5359,0.8268,1.5428,0.0027,5,0.1633,0.323,-0.6159,-0.3501,0.2387,-0.6045,?,?,?,?,?,?,?,?,?,?,GIACCA
0.0251,1.9966,1.413,7.6183,-1.0499,-0.0083,1.4886,1.2201,5.0933,-0.8103,-0.0198,0.483,0.695,4.249,-0.8817,1.8255,0.637,0.7981,4.1553,0.084,-3.0338,-1.2662,0.0138,0.4174,-0.0045,-0.0109,1.1581,2.0332,1.7704,1.7556,1.5287,0.8707,1.3413,4.1339,3.1343,3.0821,2.3368,0.7582,1.7116,1.9598,-10.2449,1.1451,-5.9857,-5.2274,1.3209,1.6458,0.8193,1.246,0.6202,0.4978,1.4957,1.7929,1.8334,1.1987,1.2257,1.0225,0.0001,2.7411,0.3893,-0.1475,-0.299,-0.5604,0.2987,-0.0738,?,?,?,?,?,?,?,?,?,?,GIACCA
-0.0003,2.0704,1.4389,6.3384,-0.995,-0.068,1.7795,1.334,5.7729,-0.7314,-0.0506,0.4887,0.699,3.1737,-2.3464,1.9052,0.716,0.8462,3.3777,0.1599,0.0043,0.0058,-0.0002,1.3445,-0.0357,-0.0265,1.0786,2.0584,1.7004,1.9083,1.5765,0.8261,1.1634,4.2369,2.8914,3.6417,2.4853,0.6824,1.2963,1.4206,-4.9171,1.0959,-3.7931,-3.4613,0.9529,3.35,0.7902,3.5158,0.8293,0.2359,1.0979,1.9972,1.8765,1.819,1.7091,0.9396,0.0002,2.7888,0.4452,0.1467,-0.2819,-0.1889,0.1877,-0.3327,?,?,?,?,?,?,?,?,?,?,GIACCA
-0.1763,2.6712,1.6344,7.7339,-1.3938,-0.4921,3.8389,1.9593,10.163,-1.2953,-0.4345,7.462,2.7317,11.9803,-1.0191,3.4647,2.43,1.5588,7.5811,0.0522,0.3582,0.4057,-0.0509,1.1326,-0.142,-0.1254,0.8342,0.5983,1.0485,0.7173,1.2569,1.7524,0.6958,0.358,1.0993,0.5145,1.5798,3.0708,0.7852,0.7447,-10.7759,0.9485,-13.7245,-14.4701,0.7297,0.5445,0.4039,0.7462,0.5535,0.7418,0.761,0.6456,1.0202,0.8483,1.3406,1.5803,0.0018,5.2585,0.5711,0.0091,-0.376,-0.0075,-0.485,0.0265,?,?,?,?,?,?,?,?,?,?,GIACCA
0.3499,3.6772,1.9176,8.8194,-0.5899,-0.0654,2.5377,1.593,6.1389,-0.8661,-0.1262,0.5917,0.7692,3.3079,-1.7038,2.4701,0.8477,0.9207,5.0653,0.1432,-5.351,-2.7723,0.1416,0.5181,-0.0265,-0.0511,1.2038,2.4929,2.0827,2.0709,1.7302,0.8355,1.449,6.2143,4.3377,4.2886,2.9935,0.698,1.1485,1.5698,-3.8664,1.3668,-3.3664,-2.4629,1.6862,4.534,0.9383,2.689,0.5565,0.207,1.4366,2.6662,1.7411,1.8558,1.212,0.6531,0.001,3.586,0.3178,-0.55,0.1296,-0.463,0.0945,-0.3825,?,?,?,?,?,?,?,?,?,?,GIACCA
0.1463,3.4225,1.85,8.5536,-0.5553,-0.3061,2.4652,1.5701,6.2717,-0.8678,0.1039,0.724,0.8509,4.8829,-1.1261,2.4155,0.9028,0.9501,5.2025,0.1498,-0.478,1.4078,0.0606,-2.9451,-0.1267,0.043,1.1783,2.1742,1.9471,1.8453,1.6525,0.8955,1.3883,4.7273,3.7911,3.4051,2.7307,0.802,1.048,1.1808,-3.3317,1.1267,-3.179,-2.8215,1.6379,2.3947,0.8988,1.462,0.5487,0.3753,1.3638,1.7518,1.6441,1.2844,1.2055,0.9386,0.0009,3.6391,0.5616,-0.3841,0.2176,-0.4537,0.3976,-0.2178,?,?,?,?,?,?,?,?,?,?,GIACCA
-1.1466,6.1508,2.4801,13.405,-2.6919,-0.518,3.6773,1.9176,11.4139,-1.3491,-0.279,5.773,2.4027,13.8274,-0.8976,3.7105,3.494,1.8692,11.132,0.0568,2.2136,4.1099,-0.309,1.8567,-0.1396,-0.0752,1.2933,1.0322,1.3268,0.7981,1.0259,1.2854,1.6727,1.0654,1.7604,0.637,1.0525,1.6523,1.4911,1.4944,-14.5777,1.0022,-9.7764,-9.7548,0.7473,0.4983,0.3076,0.6668,0.4117,0.6174,1.1745,0.9695,1.2042,0.8255,1.0253,1.2421,0.0034,5.4623,0.2593,0.0619,-0.7041,0.2397,-0.039,-0.2436,?,?,?,?,?,?,?,?,?,?,GIACCA
-0.3269,4.2693,2.0662,8.9579,-0.5561,-0.124,1.5424,1.2419,4.8017,-0.6546,0.1571,0.8307,0.9114,5.5628,-0.9074,2.42,0.9331,0.966,5.4363,0.1021,2.6355,-2.0808,-0.1351,-0.7895,-0.0513,0.0649,1.6637,2.2671,2.139,1.3627,1.2857,0.9435,2.7679,5.1396,4.5754,1.8568,1.653,0.8902,1.6852,1.2097,-5.1795,0.7178,-3.0735,-4.2817,1.9837,1.9739,0.9508,0.9951,0.4793,0.4817,1.8656,1.6103,1.6478,0.8632,0.8833,1.0233,0.001,3.6065,0.5613,-0.4633,0.0947,-0.3186,0.3159,-0.1301,?,?,?,?,?,?,?,?,?,?,GIACCA
