@RELATION WhereIsSmartphone
@ATTRIBUTE RATIO_X_R_AVERAGE NUMERIC
@ATTRIBUTE RATIO_X_R_VARIANCE NUMERIC
@ATTRIBUTE RATIO_X_R_STD NUMERIC
@ATTRIBUTE RATIO_X_R_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_X_R_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Y_R_AVERAGE NUMERIC
@ATTRIBUTE RATIO_Y_R_VARIANCE NUMERIC
@ATTRIBUTE RATIO_Y_R_STD NUMERIC
@ATTRIBUTE RATIO_Y_R_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Y_R_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Z_R_AVERAGE NUMERIC
@ATTRIBUTE RATIO_Z_R_VARIANCE NUMERIC
@ATTRIBUTE RATIO_Z_R_STD NUMERIC
@ATTRIBUTE RATIO_Z_R_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Z_R_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_|V|_R_AVERAGE NUMERIC
@ATTRIBUTE RATIO_|V|_R_VARIANCE NUMERIC
@ATTRIBUTE RATIO_|V|_R_STD NUMERIC
@ATTRIBUTE RATIO_|V|_R_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_|V|_R_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_X_R_Y_R NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_X_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_X_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_Y_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_Y_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_Z_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_X_R_Y_R NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_X_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_X_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_Y_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_Y_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_Z_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_X_R_Y_R NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_X_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_X_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_Y_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_Y_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_Z_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_X_R_Y_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_X_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_X_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_Y_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_Y_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_Z_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_X_R_Y_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_X_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_X_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_Y_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_Y_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_Z_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC
@ATTRIBUTE RATIO_X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC
@ATTRIBUTE RATIO_CORRELATION_X_R_Y_R NUMERIC
@ATTRIBUTE RATIO_CORRELATION_X_R_Z_R NUMERIC
@ATTRIBUTE RATIO_CORRELATION_X_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_CORRELATION_Y_R_Z_R NUMERIC
@ATTRIBUTE RATIO_CORRELATION_Y_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_CORRELATION_Z_R_|V|_R NUMERIC
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
-0.45764,5.75668,2.39931,1.84915,1.50697,0.96272,21.0966,4.5931,1.8104,0,0.93875,14.27322,3.77799,4.04832,0.37873,0.95582,19.65983,4.43394,4.59868,0.32025,-0.47537,-0.4875,-0.4788,1.02553,1.00722,0.98214,0.52237,0.63507,0.54112,1.21575,1.0359,0.85206,0.27287,0.40332,0.29281,1.47806,1.07308,0.72601,1.21331,3.6417,3.94002,3.00146,3.24733,1.08192,0,0.91522,0.83731,0,0,0.91487,1.0214,0.45677,0.4021,0.4472,0.39368,0.88032,0.95338,0.97198,-1.71418,-11.68368,-2.53282,1.13603,1.02032,1.0439, TASCA_DESTRA_DIETRO_PANTALONI
0.30722,0.7799,0.88312,0.96484,1.31586,1.25574,1.50896,1.2284,1.18739,0,0.9682,1.03288,1.01631,0.91411,1.02535,1.10097,1.16916,1.08128,0.91887,1.07984,0.24465,0.31731,0.27904,1.29698,1.14057,0.8794,0.71892,0.86895,0.81674,1.20869,1.13606,0.93991,0.51685,0.75508,0.66706,1.46093,1.29064,0.88344,0.95473,1.15269,1.01169,1.20735,1.05967,0.87768,0,0.89821,0.83023,0,0,0.92432,0.81257,1.0555,1.05002,1.29896,1.29222,0.99481,1.10064,1.09579,-14.79614,5.19992,11.32392,0.64526,0.97859,0.83714, TASCA_DESTRA_DIETRO_PANTALONI
-1.46925,1.14684,1.07091,0.92088,9.57712,1.18696,15.25988,3.90639,1.28702,0,1.21206,7.02071,2.64966,1.51924,0.89097,1.19703,14.41989,3.79735,2.21816,0.69324,-1.23782,-1.21219,-1.22741,0.97929,0.99159,1.01256,0.27414,0.40417,0.28201,1.4743,1.02871,0.69777,0.07515,0.16335,0.07953,2.17355,1.05825,0.48688,2.83859,3.15934,4.09932,1.113,1.44414,1.29752,0,0.29392,0.29673,0,0,1.00956,0.71552,0.60615,0.41516,0.84715,0.58022,0.68491,1.1993,1.21854,-1.00732,0.2225,-1.08832,1.41484,1.02155,1.31169, TASCA_DESTRA_DIETRO_PANTALONI
0.64895,5.60083,2.36661,1.35535,0.75898,0.46942,3.58783,1.89416,1.56383,0,1.09982,14.12656,3.75853,2.5113,-1.07216,1.12791,4.18142,2.04485,1.40769,0.56472,1.38244,0.59005,0.57536,0.42682,0.41619,0.9751,1.24943,0.62966,1.15735,0.50396,0.9263,1.83805,1.56106,0.39648,1.33946,0.25398,0.85804,3.37841,1.02548,-0.73525,1.84543,-0.71698,1.79957,-2.50992,0,1.03864,1.37309,0,0,1.322,0.86669,0.5397,0.96282,0.62271,1.11092,1.78399,0.82749,1.10913,4.73624,0.24631,4.36066,-0.3748,0.36646,0.94741, TASCA_DESTRA_DIETRO_PANTALONI
1.3863,1.41819,1.19088,1.19435,1.57275,-0.36854,1.38845,1.17832,1.31047,11.39503,1.01305,1.09584,1.04683,0.98196,1.28933,1.0131,0.97772,0.9888,0.94519,1.35158,-3.76156,1.36845,1.36837,-0.3638,-0.36378,0.99995,1.01066,1.13761,1.20437,1.12562,1.19167,1.05869,1.02143,1.29416,1.45051,1.26701,1.42009,1.12082,0.31977,1.06614,1.02857,3.33408,3.21658,0.96476,2.31684,0.87402,0.88393,0.37725,0.38152,1.01134,0.91139,1.21629,1.26361,1.33454,1.38646,1.0389,0.99955,1.02022,0.49846,-0.89968,-0.45451,0.55692,0.20095,0.99597, TASCA_SINISTRA_DAVANTI_PANTALONI
-0.50286,0.02079,0.14418,0.17799,1.38292,1.08954,0.00092,0.03039,0.0474,-11.1739,1.02079,0.00147,0.03837,0.05017,2.3852,1.00725,0.00043,0.02082,0.02753,3.20744,-0.46153,-0.49261,-0.49924,1.06736,1.0817,1.01344,4.74434,3.7578,6.92497,0.79206,1.45963,1.84283,22.50881,14.12102,47.95516,0.62736,2.13051,3.39601,-0.0368,0.12352,0.10569,-3.35667,-2.87227,0.85569,0.29732,0.21303,0.24513,0.71652,0.82448,1.15067,3.7555,3.54755,6.46615,0.94463,1.72178,1.82271,1.03906,1.00344,0.06102,-0.37207,-0.2951,-0.34071,0.48909,0.65664, TASCA_SINISTRA_DAVANTI_PANTALONI
2.18222,1.43251,1.19688,1.33381,2.27065,-1.17945,1.47387,1.21403,1.41032,1.29051,1.04397,1.59887,1.26446,1.34811,0.78581,1.04914,1.67836,1.29551,1.47631,0.73613,-1.8502,2.09031,2.08,-1.12978,-1.1242,0.99507,0.98587,0.94655,0.92386,0.96012,0.9371,0.97603,0.97194,0.89595,0.85352,0.92182,0.87816,0.95264,1.23052,2.26489,2.28152,1.8406,1.85411,1.00734,0.69936,0.78382,0.73966,1.12077,1.05763,0.94366,0.94575,0.9894,0.90348,1.04614,0.9553,0.91316,1.04541,1.0887,7.98636,-3.06445,-2.11992,4.48692,2.98281,1.00303, TASCA_SINISTRA_DAVANTI_PANTALONI
21.71739,16.85032,4.10491,4.10235,3.91809,0.88005,1.25187,1.11887,1.01131,0.29945,0.89908,1.42062,1.1919,1.2261,0.01613,0.90967,1.00248,1.00124,0.99306,0.3947,24.67738,24.15513,23.87398,0.97884,0.96744,0.98836,3.66881,3.44401,4.09984,0.93873,1.11749,1.19042,13.46013,11.86123,16.80866,0.88121,1.24877,1.41711,26.94077,508.8512,20.83526,18.88778,0.77337,0.04095,2.05899,2.0942,2.09888,1.0171,1.01937,1.00223,4.05646,3.34584,4.131,0.82482,1.01838,1.23467,0.89062,0.93701,0.74141,0.45841,0.53635,0.93892,0.96705,0.9909, TASCA_SINISTRA_DAVANTI_PANTALONI
0.86368,0.06173,0.24846,0.24397,2.44278,1.0108,0.00103,0.03204,0.03532,3.37998,1.00533,0.00092,0.0304,0.03267,2.6671,1.00754,0.00089,0.0298,0.03451,2.99127,0.85445,0.85911,0.85722,1.00544,1.00323,0.9978,7.75582,8.17255,8.33821,1.05373,1.07509,1.02027,60.15269,66.79058,69.52585,1.11035,1.15582,1.04095,0.14482,0.17576,0.16093,1.21365,1.11126,0.91564,0.20038,0.1919,0.19707,0.95768,0.98347,1.02693,6.90718,7.46855,7.06942,1.08127,1.02349,0.94656,1.0085,0.99598,0.57453,0.13381,0.42764,0.78723,0.97053,0.90841, TASCA_SINISTRA_DAVANTI_PANTALONI
-0.08652,181.91261,13.4875,27.97174,0.4388,0.98917,9.50651,3.08326,1.20695,0,0.99725,17.83147,4.22273,7.10256,0.82814,0.99758,11.88537,3.44752,5.30422,0.78493,-0.08747,-0.08676,-0.08673,0.99189,0.99157,0.99967,4.37442,3.19402,3.91224,0.73016,0.89434,1.22486,19.13558,10.20177,15.30559,0.53313,0.79985,1.50029,15.93516,21.89689,20.22696,1.37412,1.26933,0.92374,0,41.32606,36.18225,0,0,0.87553,23.17564,3.93826,5.27349,0.16993,0.22754,1.33904,0.97158,1.0121,-3.03262,-25.04721,-2.73848,-0.42552,0.89821,-0.26998, TASCA_SINISTRA_DAVANTI_PANTALONI
