@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
2.5839794,29.49357,5.4307985,25.0,0.0,TASCA_DESTRA_DIETRO_PANTALONI
0.0,0.0,0.0,1.4E-45,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.63978493,0.23045988,0.48006237,1.0,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
6.3298154,10.031071,3.1671865,13.0,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
1.8342246,0.30406904,0.55142456,2.0,0.33333334,TASCA_SINISTRA_DAVANTI_PANTALONI
1.6005362,1.4087929,1.1869258,4.0,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0,0.0,0.0,1.4E-45,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
1.8945946,0.91050833,0.95420563,3.0,0.25,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0,0.0,0.0,1.4E-45,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0,0.0,0.0,1.4E-45,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0,0.0,0.0,1.4E-45,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.7527174,0.99591887,0.99795735,3.0,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
4.6422977,34.250595,5.852401,18.0,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
2.9892473,0.38698024,0.62207735,3.0,0.25,TASCA_SINISTRA_DAVANTI_PANTALONI
2.1657608,0.13828449,0.37186623,1.0,0.6666667,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0,0.0,0.0,1.4E-45,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0,0.0,0.0,1.4E-45,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0,0.0,0.0,1.4E-45,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0,0.0,0.0,1.4E-45,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
4.8416886,0.13324879,0.36503258,1.0,0.8,TASCA_SINISTRA_DAVANTI_PANTALONI
3.4704301,0.24912508,0.49912432,1.0,0.75,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0,0.0,0.0,1.4E-45,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0,0.0,0.0,1.4E-45,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0,0.0,0.0,1.4E-45,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0,0.0,0.0,1.4E-45,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0,0.0,0.0,1.4E-45,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0,0.0,0.0,1.4E-45,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
3.9191375,1.2710887,1.1274257,3.0,0.4,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0,0.0,0.0,1.4E-45,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
20.936508,1804.1031,42.474735,147.0,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
322.11404,8239.712,90.77286,370.0,0.11904762,TASCA_SINISTRA_DAVANTI_PANTALONI
6.318421,0.2170297,0.46586448,1.0,0.85714287,TASCA_SINISTRA_DAVANTI_PANTALONI
2.8020833,6.3358083,2.5171032,11.0,0.15384616,TASCA_SINISTRA_DAVANTI_PANTALONI
2.0618556,0.058029532,0.2408932,1.0,0.6666667,TASCA_SINISTRA_DAVANTI_PANTALONI
4.4252872,12.094988,3.4777849,12.0,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
16.103449,64.27666,8.017272,24.0,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
1.0,0.0,0.0,0.0,1.0,TASCA_SINISTRA_DAVANTI_PANTALONI
1.0,0.0,0.0,0.0,1.0,TASCA_SINISTRA_DAVANTI_PANTALONI
9.137931,18.762579,4.331579,12.0,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
35.393097,87.554665,9.357065,45.013695,0.08428483,TASCA_SINISTRA_DAVANTI_PANTALONI
4.0471754,5.820766E-11,7.6293945E-6,0.0,1.0,TASCA_SINISTRA_DAVANTI_PANTALONI
34.5091,16.035221,4.0044003,23.200993,0.41026658,TASCA_SINISTRA_DAVANTI_PANTALONI
36.08567,22.017502,4.6922812,25.359846,0.3400998,TASCA_SINISTRA_DAVANTI_PANTALONI
4.218742,0.48946127,0.69961506,6.708379,0.37353927,TASCA_SINISTRA_DAVANTI_PANTALONI
7.2780614,276.2863,16.621862,56.0,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
14.531807,529.81586,23.017729,73.0,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.92443323,2.664311,1.6322718,6.0,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
3.308311,0.26151285,0.5113833,2.0,0.5,TASCA_SINISTRA_DAVANTI_PANTALONI
2.2203858,0.32057536,0.56619376,2.0,0.33333334,TASCA_SINISTRA_DAVANTI_PANTALONI
1.7777778,1.1321859,1.0640422,3.0,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
1.0494791,0.12515672,0.35377496,2.0,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.85066664,0.12703304,0.35641694,1.0,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
1.0,0.0,0.0,0.0,1.0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.27197802,0.19800657,0.44497928,1.0,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.3777174,0.37091655,0.6090292,2.0,0.0,TASCA_SINISTRA_DAVANTI_PANTALONI
