@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
1.6025,11.5592,3.3999,17.7056,-0.6736,-1.0378,5.677,2.3826,10.7964,-1.2502,-0.4594,12.5445,3.5418,20.6211,-1.971,5.1424,7.1928,2.6819,15.5635,0.0366,-1.5441,-3.4883,0.3116,2.2591,-0.2018,-0.0893,1.4269,0.9599,1.2677,0.6727,0.8884,1.3206,2.0361,0.9215,1.6071,0.4525,0.7893,1.744,1.1881,0.5209,-12.0657,0.4385,-10.1558,-23.1618,2.2049,1.5242,0.6549,0.6913,0.297,0.4297,1.64,0.8586,1.1376,0.5236,0.6937,1.325,0.0131,7.7491,-0.581,0.4201,0.5454,0.1264,-0.3768,0.0076,0.2831,0.0025,0.0502,0.2073,0.4833,-0.0817,0.0799,0.2827,0.7213,-3.1124,0.5254,0.0055,0.0739,0.2643,0.5769,-3.4661,0.5389,-0.1555,0.1775,0.6789,3.8248,0.0315,0.4609,14.6291,-0.3553,0.5382,-1.5148,2.2881,0.6425,0.2808,0.2875,0.7846,2.7294,0.004,1.0532,0.4638,-0.7732,0.1298,?,?,?,?,?,DESTRA_PANTALONI
2.0936,8.6191,2.9358,13.7922,-0.3027,-1.5628,6.899,2.6266,10.0309,-1.5319,-0.2683,11.1792,3.3435,14.638,-0.8357,5.1364,7.2128,2.6857,13.7648,0.03,-1.3396,-7.8042,0.4076,5.8256,-0.3043,-0.0522,1.1177,0.8781,1.0932,0.7856,0.978,1.245,1.2493,0.771,1.195,0.6171,0.9565,1.5499,0.5281,0.4809,-7.5372,0.9107,-14.2732,-15.6723,2.6723,1.3277,0.7461,0.4968,0.2792,0.5619,1.375,0.9422,1.002,0.6853,0.7287,1.0634,0.0175,7.9692,-0.5652,0.4682,0.8049,0.2041,-0.6119,0.3303,0.2813,0.0044,0.0664,0.3158,0.1972,-0.0895,0.0586,0.2421,0.6963,-4.7581,0.342,0.0035,0.059,0.2704,0.4452,-3.1419,0.8227,-0.2618,0.2742,1.1241,4.0998,0.0752,1.2637,16.8086,-0.1348,0.3575,-2.6515,3.2525,0.8069,0.2481,0.4534,1.1675,2.5748,0.003,0.8206,0.4853,-0.9059,-0.1819,?,?,?,?,?,DESTRA_PANTALONI
0.537,1.5778,1.2561,6.0124,-0.5904,0.3048,3.9579,1.9895,8.0217,-0.5482,0.0599,12.6101,3.5511,16.8134,-0.824,3.8891,3.4058,1.8455,10.1091,0.0998,1.7616,8.9654,0.1381,5.0894,0.0784,0.0154,0.6314,0.3537,0.6806,0.5602,1.078,1.9242,0.3986,0.1251,0.4632,0.3139,1.1621,3.7025,0.7858,0.2939,-1.9914,0.374,-2.5342,-6.7765,0.7296,0.4101,0.3366,0.5621,0.4614,0.8209,0.7495,0.3576,0.5948,0.4771,0.7935,1.6632,0.0041,5.7705,0.3608,0.4473,0.4364,0.7438,0.3533,0.3766,0.3499,0.0024,0.0492,0.1602,0.6405,0.0805,0.0201,0.1419,0.4261,-1.1026,0.4146,0.0139,0.1181,0.3657,0.3302,4.3491,0.844,0.1941,0.3466,0.4167,1.2022,0.1201,0.1737,1.4454,-1.2775,1.5835,-1.2395,2.1993,0.8164,0.3712,0.376,0.4382,1.1653,0.0037,0.9213,-0.7043,-0.8178,0.7883,?,?,?,?,?,DESTRA_PANTALONI
0.4099,2.4001,1.5492,10.6028,-0.4266,0.345,3.6139,1.901,9.9407,-0.4515,0.1265,17.0504,4.1292,17.1865,-0.61,4.2014,5.7156,2.3907,11.3828,0.0405,1.188,3.2398,0.0976,2.7272,0.0821,0.0301,0.8149,0.3752,0.648,0.4604,0.7952,1.7272,0.6641,0.1408,0.4199,0.212,0.6323,2.9831,1.0253,0.4869,-6.6005,0.4749,-6.4376,-13.5565,1.0853,0.6963,0.6265,0.6416,0.5773,0.8998,1.0666,0.6169,0.9315,0.5784,0.8733,1.5099,0.0037,5.9509,0.2269,0.2243,0.2892,0.5465,0.4441,0.3497,0.2131,0.0017,0.0416,0.1687,0.4925,-0.0618,0.0118,0.1088,0.4174,-3.4896,0.1044,0.0757,0.2752,0.7836,-0.6424,-3.4502,2.0409,-0.5915,0.3819,0.151,0.3955,0.1459,0.0228,0.1564,-0.5047,-0.5343,1.0585,3.576,0.6968,0.1949,0.4042,0.2153,0.5327,0.0016,0.5761,-0.288,-0.3811,0.9621,?,?,?,?,?,DESTRA_PANTALONI
1.3136,6.3463,2.5192,10.8928,-0.2478,-1.3031,8.2515,2.8726,12.5851,-1.9722,0.169,16.6461,4.08,16.8801,-0.9628,5.2518,7.115,2.6674,9.8156,0.0482,-1.0081,7.771,0.2501,-7.7084,-0.2481,0.0322,0.877,0.6175,0.9444,0.7041,1.0769,1.5296,0.7691,0.3812,0.892,0.4957,1.1597,2.3396,0.259,0.2612,-4.3489,1.0085,-16.7895,-16.6478,2.0617,1.0151,0.8465,0.4924,0.4106,0.8339,0.8655,0.6453,1.1097,0.7456,1.2822,1.7197,0.0124,7.5589,-0.3624,0.4996,0.5893,0.1851,-0.5049,0.2527,0.1645,0.0294,0.1713,0.569,-0.9897,-0.165,0.0136,0.1166,0.415,?,-0.0842,0.0066,0.081,0.3209,-1.5617,-0.9969,-1.9543,1.9604,1.4695,2.1154,1.4395,2.1593,4.4747,2.0723,0.6821,1.4469,2.1213,0,2.2832,0,1.3713,1.7734,1.2932,0.0017,0.4959,0.8916,-0.5609,-0.2043,?,?,?,?,?,DESTRA_PANTALONI
1.4276,8.8798,2.9799,12.5175,-0.283,-1.3284,6.071,2.4639,9.9719,-0.8503,-0.1509,10.8889,3.2998,14.5147,-0.6714,4.9125,5.5324,2.3521,13.1237,0.0519,-1.0746,-9.4573,0.2906,8.8004,-0.2704,-0.0307,1.2094,0.903,1.2669,0.7467,1.0476,1.4029,1.4626,0.8155,1.6051,0.5575,1.0974,1.9682,0.6024,0.4735,-3.8424,0.786,-6.378,-8.1148,1.8104,1.1235,0.7048,0.6206,0.3893,0.6274,1.2553,0.8624,0.9538,0.687,0.7598,1.106,0.013,7.5434,-0.335,0.5023,0.7098,0.416,-0.2646,0.336,0.3323,0.0133,0.1154,0.4044,0.0861,-0.1379,0.0367,0.1916,0.5576,-27.2969,0.1143,0.0058,0.0761,0.3444,0.0868,-2.4094,2.9078,-1.2068,0.6022,1.5155,2.5165,0.3627,2.2966,6.3325,-0.0708,1.1644,-16.4366,22.4551,1.1732,0.0522,0.7252,1.174,1.6188,0.0025,0.59,0.9902,-0.8598,-0.8029,?,?,?,?,?,DESTRA_PANTALONI
1.2725,3.3238,1.8231,5.8085,-0.0934,-1.0772,4.8312,2.198,10.6102,-3.32,-0.3998,3.3559,1.8319,9.221,-0.9948,2.728,7.0086,2.6474,9.4364,0.0121,-1.1812,-3.1827,0.4665,2.6944,-0.3949,-0.1466,0.8295,0.9952,0.6887,1.1998,0.8303,0.692,0.688,0.9904,0.4742,1.4396,0.6893,0.4788,0.0609,0.1079,-4.2819,1.7732,-70.3652,-39.6825,2.1629,1.1492,0.5561,0.5313,0.2571,0.4839,0.5474,0.6299,0.6155,1.1507,1.1244,0.9772,0.0114,4.0965,-0.7036,-0.0975,0.9223,-0.3829,-0.8548,0.04,0.0669,0.0246,0.157,0.5407,-2.417,-0.2623,0.0145,0.1203,0.5118,?,-0.6073,0.0141,0.1187,0.6726,?,-0.2551,-0.1102,0.4319,1.3044,1.3222,1.0136,1.7015,1.7481,1.0274,0.7473,0.5686,0.7609,0,0,1,1.0565,0.8039,0.7609,0.0044,1.0275,0.6271,-0.9879,-0.5228,?,?,?,?,?,DESTRA_PANTALONI
1.7151,8.4207,2.9018,15.9548,-0.4178,-2.0631,9.3957,3.0652,12.7669,-3.1863,-0.3679,7.264,2.6952,14.7272,-1.3378,4.1999,14.7741,3.8437,13.1228,0.0141,-0.8313,-4.662,0.4084,5.6079,-0.4912,-0.0876,0.9467,1.0767,0.755,1.1373,0.7975,0.7012,0.8962,1.1592,0.57,1.2935,0.636,0.4917,0.4838,0.5579,-25.0218,1.153,-51.7148,-44.8515,3.69,1.7863,0.8454,0.4841,0.2291,0.4733,1.2497,1.0834,1.2158,0.8669,0.9729,1.1223,0.0189,6.49,-0.3696,0.5038,0.6545,-0.1426,-0.7988,0.0652,0.2927,0.0065,0.0806,0.2956,0.2615,-0.1429,0.0542,0.2328,0.649,-5.7392,0.4476,0.0236,0.1536,0.4512,0.4129,-2.0482,0.6539,-0.3193,0.3462,0.5246,1.5152,0.1199,0.2752,2.296,-0.1894,0.3298,-1.7416,4.1567,0.5208,0.1253,0.4555,0.6552,1.4384,0.0039,0.9283,0.7168,-0.8655,-0.9491,?,?,?,?,?,DESTRA_PANTALONI
1.6041,23.6307,4.8611,27.3836,-0.7566,-2.0009,18.0869,4.2529,17.4479,-1.5997,-0.5312,16.3253,4.0405,22.4451,-1.3223,6.9278,16.9069,4.1118,17.7683,0.0336,-0.8017,-3.0201,0.2316,3.767,-0.2888,-0.0767,1.143,1.2031,1.1822,1.0526,1.0343,0.9826,1.3065,1.4475,1.3977,1.1079,1.0698,0.9656,1.0986,0.9229,-19.0999,0.8401,-17.3862,-20.6952,2.3227,1.6129,0.8479,0.6944,0.365,0.5257,1.5694,1.22,1.5411,0.7774,0.982,1.2632,0.0179,10.8055,-0.6394,0.4121,0.5495,-0.038,-0.531,0.1826,0.2896,0.0339,0.1843,0.5773,-0.1538,-0.2044,0.0743,0.2726,0.7013,-13.2048,0.2532,0.0281,0.1675,0.5416,0.1015,-1.4168,1.1436,-0.8072,0.6759,1.1001,1.6277,0.4568,1.2103,2.6494,0.118,-1.2572,-10.6509,10.1341,0.83,0.0819,0.8231,1.0659,1.2949,0.003,0.7964,0.8909,-0.9913,-0.8948,?,?,?,?,?,DESTRA_PANTALONI
1.5109,9.4924,3.081,15.3659,-0.291,-1.7632,11.8393,3.4408,16.2335,-2.1296,0.0024,13.2237,3.6364,16.8967,-0.9893,5.6121,8.4518,2.9072,12.9236,0.0626,-0.8569,637.2748,0.2692,-743.6894,-0.3142,0.0004,0.8954,0.8473,1.0598,0.9462,1.1836,1.2508,0.8018,0.7178,1.1231,0.8953,1.4008,1.5646,0.3136,0.4122,-4.0141,1.3146,-12.8006,-9.7375,2.2945,1.4013,0.8633,0.6107,0.3762,0.6161,0.9466,0.9094,1.189,0.9607,1.2561,1.3074,0.0165,8.3924,-0.3173,0.1845,0.6757,-0.0543,-0.5407,0.3303,0.2502,0.0301,0.1735,0.6416,-0.6414,-0.137,0.0355,0.1885,0.5434,-10.3121,-0.0091,0.0319,0.1785,0.7657,-0.2984,-1.8263,-27.6292,15.1287,0.9206,0.9722,1.056,0.8476,0.9452,1.1152,0.5061,1.4246,2.815,8.1361,0.6628,0.0815,1.1806,0.8379,0.7097,0.002,0.5637,0.8553,-0.8998,-0.5922,?,?,?,?,?,DESTRA_PANTALONI
