@RELATION WhereIsSmartphone
@ATTRIBUTE RATIO_X_AVERAGE NUMERIC
@ATTRIBUTE RATIO_X_VARIANCE NUMERIC
@ATTRIBUTE RATIO_X_STD NUMERIC
@ATTRIBUTE RATIO_X_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_X_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Y_AVERAGE NUMERIC
@ATTRIBUTE RATIO_Y_VARIANCE NUMERIC
@ATTRIBUTE RATIO_Y_STD NUMERIC
@ATTRIBUTE RATIO_Y_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Y_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Z_AVERAGE NUMERIC
@ATTRIBUTE RATIO_Z_VARIANCE NUMERIC
@ATTRIBUTE RATIO_Z_STD NUMERIC
@ATTRIBUTE RATIO_Z_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Z_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_|V|_AVERAGE NUMERIC
@ATTRIBUTE RATIO_|V|_VARIANCE NUMERIC
@ATTRIBUTE RATIO_|V|_STD NUMERIC
@ATTRIBUTE RATIO_|V|_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_|V|_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_X_Y NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_X_Z NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_X_|V| NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_Y_Z NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_Y_|V| NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_Z_|V| NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_X_Y NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_X_Z NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_X_|V| NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_Y_Z NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_Y_|V| NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_Z_|V| NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_X_Y NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_X_Z NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_X_|V| NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_Y_Z NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_Y_|V| NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_Z_|V| NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_X_Y NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_X_Z NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_X_|V| NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_Y_Z NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_Y_|V| NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_Z_|V| NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_X_Y NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_X_Z NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_X_|V| NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_Y_Z NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_Y_|V| NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_Z_|V| NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_X_Y NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_X_Z NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_X_|V| NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_Y_Z NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC
@ATTRIBUTE RATIO_X_Y_Z_MAGNITUDE_AREA NUMERIC
@ATTRIBUTE RATIO_X_Y_Z_SIGNAL_MAGNITUDE_AREA NUMERIC
@ATTRIBUTE RATIO_CORRELATION_X_Y NUMERIC
@ATTRIBUTE RATIO_CORRELATION_X_Z NUMERIC
@ATTRIBUTE RATIO_CORRELATION_X_|V| NUMERIC
@ATTRIBUTE RATIO_CORRELATION_Y_Z NUMERIC
@ATTRIBUTE RATIO_CORRELATION_Y_|V| NUMERIC
@ATTRIBUTE RATIO_CORRELATION_Z_|V| NUMERIC
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
0.9427,0.54495,0.7382,0.83557,0.70942,-0.08888,7.18781,2.68101,1.29942,0,0.9427,0.54495,0.7382,0.83557,0.70942,0.82696,0.67114,0.81923,0.87396,0.86232,-10.60694,1,1.13997,-0.09428,-0.10747,1.13997,0.27535,1,0.9011,3.6318,3.2726,0.9011,0.07582,1,0.81197,13.18996,10.70989,0.81197,0.90637,1,0.79033,1.1033,0.87197,0.79033,0,1,0.96067,0,0,0.96067,0.64304,1,0.95607,1.55512,1.48681,0.95607,0.78487,0.80038,-1.95036,1,1.00458,-1.95036,-3.66045,1.00458, TASCA_DESTRA_DAVANTI_PANTALONI
2.10576,6.92344,2.63124,2.5019,0.17156,0.64798,1.18458,1.08839,0.66225,0,2.10576,6.92344,2.63124,2.5019,0.17156,1.36283,12.94079,3.59733,3.18774,0.13225,3.24974,1,1.54514,0.30772,0.47546,1.54514,2.41757,1,0.73144,0.41364,0.30255,0.73144,5.84462,1,0.53501,0.1711,0.09154,0.53501,0.63519,1,1.70693,1.57433,2.68728,1.70693,0,1,1.31581,0,0,1.31581,3.77789,1,0.78485,0.2647,0.20775,0.78485,1.38138,1.41013,-1.13421,1,2.94982,-1.13421,1.07822,2.94982, TASCA_DESTRA_DAVANTI_PANTALONI
0.87297,3.68779,1.92036,1.875,0.38438,-0.52423,0.60104,0.77527,0.78092,0.51645,0.87297,3.68779,1.92036,1.875,0.38438,0.87184,3.77253,1.9423,1.86931,0.4246,-1.66524,1,1.00129,-0.60051,-0.60129,1.00129,2.47702,1,0.9887,0.40371,0.39915,0.9887,6.13563,1,0.97754,0.16298,0.15932,0.97754,0.65012,1,0.9054,1.53818,1.39266,0.9054,0.8735,1,1.00015,1.14482,1.145,1.00015,2.40102,1,1.00305,0.41649,0.41776,1.00305,0.87153,0.86244,-0.85317,1,1.00078,-0.85317,-0.87182,1.00078, TASCA_DESTRA_DAVANTI_PANTALONI
1.00454,0.57081,0.75552,1.00105,0,0.98041,2.15197,1.46696,1.17124,0.98344,1.00454,0.57081,0.75552,1.00105,0,0.9996,0.47553,0.68959,0.55884,1.02962,1.02461,1,1.00494,0.97598,0.98081,1.00494,0.51502,1,1.0956,1.94166,2.12729,1.0956,0.26525,1,1.20035,3.77005,4.52537,1.20035,1.01835,1,0.98667,0.98198,0.9689,0.98667,0,1,0,0,1.0144,0,0.85469,1,1.7913,1.17001,2.09584,1.7913,0.99956,0.99812,-1.91638,1.00075,0.91128,-1.91638,0.47119,0.91128, TASCA_DESTRA_DAVANTI_PANTALONI
1.00055,0.67774,0.82325,0.9801,0,0.99826,1.28987,1.13572,1.21481,0.9869,1.00055,0.67774,0.82325,0.9801,0,0.9998,0.83097,0.91158,0.72277,1.02212,1.00229,1,1.00075,0.99771,0.99847,1.00075,0.72486,1,0.9031,1.37957,1.24589,0.9031,0.52543,1,0.81559,1.90321,1.55224,0.81559,0.99448,1,0.97045,1.00555,0.97583,0.97045,0,1,0,0,1.01065,0,0.80679,1,1.35603,1.23947,1.68077,1.35603,0.99983,0.99981,8.6774,0.99903,0.97912,8.6774,1.82678,0.97912, TASCA_DESTRA_DAVANTI_PANTALONI
1.5754,0.37376,0.61136,0.71437,-0.72533,0.92482,0.27042,0.52002,0.64743,0,1.5754,0.37376,0.61136,0.71437,-0.72533,1.39113,0.43493,0.65949,0.85975,3.28711,1.70347,1,1.13246,0.58704,0.6648,1.13246,1.17564,1,0.92701,0.8506,0.78852,0.92701,1.38213,1,0.85935,0.72352,0.62176,0.85935,-0.8955,1,-0.22119,-1.1167,0.24701,-0.22119,0,1,1.00242,0,0,1.00242,1.1034,1,0.83091,0.90629,0.75304,0.83091,1.51081,1.38724,-143.82187,1.00002,1.04729,-143.82187,-1.83434,1.04729, TASCA_DESTRA_DAVANTI_PANTALONI
0.99513,0.54875,0.74078,0.99372,0,0.98499,1.3076,1.14351,1.25799,0.96438,0.99513,0.54875,0.74078,0.99372,0,0.99403,0.55199,0.74296,0.87556,1.0065,1.0103,1,1.00111,0.98981,0.99091,1.00111,0.64781,1,0.99707,1.54365,1.53913,0.99707,0.41966,1,0.99414,2.38286,2.36891,0.99414,1.02715,1,0.99924,0.97357,0.97282,0.99924,0,1,0,0,1.01531,0,0.78992,1,1.13495,1.26594,1.43678,1.13495,0.99401,0.99311,0.09605,1.00039,0.97115,0.09605,0.89778,0.97115, TASCA_DESTRA_DAVANTI_PANTALONI
0.8824,3.023,1.73868,1.28194,0.74548,-0.13982,0.93873,0.96888,1.03648,-45.01227,0.8824,3.023,1.73868,1.28194,0.74548,0.87147,3.1397,1.77192,1.30032,0.73407,-6.31108,1,1.01253,-0.15845,-0.16044,1.01253,1.79452,1,0.98124,0.55725,0.5468,0.98124,3.22032,1,0.96283,0.31053,0.29899,0.96283,-0.02879,1,1.01769,-34.73729,-35.35182,1.01769,1.73819,1,1.00212,0.57531,0.57653,1.00212,1.23681,1,0.98586,0.80853,0.7971,0.98586,0.87149,0.82662,-5.03659,1.00001,1.00305,-5.03659,-0.77958,1.00305, TASCA_DESTRA_DAVANTI_PANTALONI
0.48004,21.16136,4.60015,4.1877,0.0054,0.5115,3.21935,1.79426,1.81763,0,0.48004,21.16136,4.60015,4.1877,0.0054,0.51049,20.87992,4.56946,3.90602,0.02674,0.93849,1,0.94034,1.06554,1.00196,0.94034,2.56382,1,1.00672,0.39004,0.39266,1.00672,6.57317,1,1.01348,0.15213,0.15418,1.01348,0.00509,1,0.20206,196.62074,39.72827,0.20206,0,1,1.00055,0,0,1.00055,2.30394,1,1.07211,0.43404,0.46534,1.07211,0.4808,0.52267,-5.61268,1,1.0087,-5.61268,51.22896,1.0087, TASCA_DESTRA_DAVANTI_PANTALONI
1.28185,4.59299,2.14313,1.01466,1.7224,-0.261,1.53537,1.2391,1.0809,0.03164,1.28185,4.59299,2.14313,1.01466,1.7224,1.25296,6.17065,2.48408,1.37272,0.80311,-4.91134,1,1.02306,-0.20361,-0.2083,1.02306,1.72958,1,0.86274,0.57817,0.49882,0.86274,2.99146,1,0.74433,0.33429,0.24882,0.74433,5.58374,1,2.13688,0.17909,0.3827,2.13688,0.10258,1,0.99637,9.7485,9.71312,0.99637,0.93872,1,0.73916,1.06528,0.78742,0.73916,1.26162,1.22563,-0.06413,1.00001,1.02896,-0.06413,-0.03988,1.02896, TASCA_DESTRA_DAVANTI_PANTALONI
