@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
0.021322766,6.765729,2.6011014,16.733429,-0.8750516,-0.8715016,31.841558,5.6428323,28.20795,-1.9743674,10.016756,30.503374,5.522986,23.594044,-0.005772857,11.561759,36.53177,6.044152,24.95314,0.09369332,-0.024466697,0.0021287098,0.0018442493,-0.08700438,-0.07537794,0.86636955,0.46095672,0.47095928,0.43035012,1.0216995,0.93360204,0.91377354,0.21248108,0.22180264,0.18520124,1.0438701,0.87161285,0.83498216,0.4170619,57.664978,-3.027239,138.2648,-7.2584887,-0.05249701,0.9410112,0.38042518,0.32413182,0.40427274,0.34445056,0.8520252,0.5932168,0.7092226,0.6705941,1.1955539,1.1304369,0.94553405,0.07031202,16.070978,0.37201586,-0.36365184,-0.42032653,TASCA_DESTRA_DAVANTI_PANTALONI
-0.13909096,4.2424603,2.0597234,11.176168,-0.6104758,1.1023438,6.7441034,2.5969412,15.246753,-0.6086332,9.996056,18.216406,4.2680683,20.14595,0.006364581,10.753306,14.725004,3.8373172,18.460394,0.106482305,-0.12617747,-0.013914584,-0.0129347155,0.110277876,0.10251208,0.92957973,0.7931344,0.48258913,0.5367613,0.6084582,0.6767596,1.1122532,0.6290622,0.23289227,0.28811267,0.3702214,0.4580035,1.237107,0.73439753,-32.830437,-1.9257146,-44.703903,-2.6221693,0.058656383,0.732181,0.3422773,0.335893,0.46747634,0.4587568,0.9813476,0.7330196,0.55476004,0.6054133,0.7568148,0.825917,1.0913067,0.06984455,13.837516,0.2242235,-0.41437247,0.17361657,TASCA_DESTRA_DAVANTI_PANTALONI
0.23470922,3.2851295,1.8124926,9.819703,-0.9745232,6.9693666,21.882685,4.677893,21.89924,-0.4274685,9.196138,4.8906045,2.211471,10.847407,0.27165732,12.414296,9.139755,3.023203,15.942032,0.25454354,0.03367727,0.025522584,0.018906366,0.7578579,0.56139845,0.74077004,0.38745916,0.8195869,0.5995273,2.1152856,1.5473303,0.7314994,0.15012461,0.6717226,0.359433,4.4744334,2.3942308,0.5350914,0.7390293,-1.1978893,-0.8903173,-1.6208956,-1.2047118,0.7432384,0.3241706,0.33392268,0.23254915,1.0300833,0.7173666,0.6964161,0.44840384,0.90525806,0.6159631,2.0188456,1.3736794,0.68042815,0.08127508,18.096659,-0.52736324,0.099189244,0.15921317,TASCA_DESTRA_DAVANTI_PANTALONI
0.27974662,7.6197944,2.7603974,15.606352,-0.76298755,8.022406,23.18901,4.815497,23.539413,-0.1635221,9.52042,13.2957,3.646327,14.640935,0.09015825,13.325051,21.623281,4.650084,19.745867,0.15974937,0.034870666,0.029383853,0.020994037,0.8426525,0.6020544,0.7144753,0.5732321,0.7570351,0.5936231,1.3206432,1.035572,0.7841422,0.32859507,0.5731022,0.35238844,1.7440985,1.0724094,0.61487895,2.0416071,-4.655445,-1.7991321,-2.2802846,-0.8812333,0.3864576,0.43755347,0.55010957,0.3766906,1.2572397,0.86090183,0.68475556,0.6629881,1.0659395,0.79036045,1.6077808,1.1921185,0.7414683,0.08708348,19.753872,-0.536697,-0.005571171,0.46785346,TASCA_DESTRA_DAVANTI_PANTALONI
0.11281791,6.0101094,2.4515524,15.846668,-1.5634483,2.5192153,21.949018,4.684978,29.34782,-0.36129025,8.933557,14.918485,3.8624454,21.687963,-0.024989698,10.7949705,12.513753,3.5374784,22.453457,0.16934209,0.04478296,0.012628555,0.01045097,0.28199467,0.23336937,0.82756656,0.52327937,0.6347151,0.69302255,1.2129564,1.3243835,1.091864,0.27382132,0.40286326,0.48028034,1.4712633,1.7539917,1.1921672,1.2408394,18.278336,-2.1114025,14.730622,-1.7015921,-0.115513936,0.28674,0.29215556,0.22869274,1.0188866,0.79756135,0.78277737,0.5399607,0.7306665,0.7057563,1.3531847,1.3070513,0.9659076,0.06678166,14.874712,-0.03240238,-0.43646163,-0.3154798,TASCA_DESTRA_DAVANTI_PANTALONI
0.229312,10.208442,3.1950653,25.05209,-0.3450008,2.9693112,17.099617,4.1351686,24.203281,-0.49347264,9.838787,20.56911,4.5353184,28.012653,0.043076616,11.372903,24.205397,4.919898,32.283398,0.091770045,0.07722734,0.023306938,0.020163015,0.30179647,0.2610865,0.86510783,0.7726566,0.70448536,0.649417,0.9117703,0.8404988,0.9218318,0.5969983,0.49629962,0.42174238,0.83132505,0.7064382,0.84977376,0.8035287,-5.0959225,-1.9699587,-6.3419294,-2.4516344,0.38657546,1.1493292,0.6362742,0.5240081,0.55360484,0.45592517,0.82355696,1.03507,0.89431334,0.7760054,0.8640125,0.74971294,0.8677108,0.071386434,15.947369,0.4439561,0.25212747,-0.10386368,TASCA_DESTRA_DAVANTI_PANTALONI
-0.06488301,6.554486,2.560173,17.4084,-0.73682183,-2.2906535,32.741093,5.7219834,36.100445,-1.0304501,9.406164,13.01557,3.6077096,20.091475,-0.10264249,11.664697,9.973314,3.1580555,19.113997,0.23716165,0.028325109,-0.0068979245,-0.00556234,-0.24352685,-0.19637488,0.8063788,0.44742754,0.70963943,0.81068015,1.5860432,1.8118691,1.1423832,0.20019142,0.5035881,0.65720236,2.5155327,3.2828698,1.3050395,0.40310565,3.9487696,-1.2428039,9.795868,-3.0830727,-0.31473196,0.56374586,0.55008084,0.4000227,0.9757603,0.7095798,0.7272071,0.4822212,0.86645705,0.91076714,1.7968042,1.8886917,1.0511394,0.067231126,16.513863,0.67906386,0.25207493,0.29100537,TASCA_DESTRA_DAVANTI_PANTALONI
-0.31702793,6.7932878,2.6063936,14.952667,-1.3172225,3.643112,21.75141,4.663841,20.859917,-1.1225133,9.249084,8.392257,2.8969393,12.688501,0.18651235,11.219755,9.972322,3.1578984,13.899675,0.22755212,-0.08702119,-0.034276683,-0.028256224,0.39388892,0.32470512,0.8243571,0.5588513,0.89970595,0.825357,1.6099201,1.4768811,0.91736305,0.31231484,0.8094709,0.6812142,2.5918427,2.1811779,0.8415549,0.77047116,-2.9217503,-2.075839,-3.7921605,-2.6942465,0.71047795,0.6565817,0.41370574,0.35860425,0.6300903,0.5461685,0.86680996,0.7168134,1.1784424,1.0757565,1.6440016,1.5007485,0.91286314,0.06859151,16.613289,0.5652793,-0.031411495,-0.058046043,TASCA_DESTRA_DAVANTI_PANTALONI
0.3571203,1.0782229,1.0383751,3.9549456,-0.43756914,3.939422,6.3154078,2.5130475,10.094141,-0.5996483,9.522021,2.9830039,1.7271374,7.749863,0.4029456,10.707739,2.0363972,1.4270239,6.6379323,0.5027034,0.09065297,0.037504673,0.033351608,0.41371697,0.3679042,0.88926536,0.4131936,0.60121167,0.7276508,1.4550362,1.7610409,1.2103074,0.17072894,0.3614554,0.5294757,2.1171303,3.1012652,1.4648438,0.31813905,-0.23016109,-0.17940283,-0.7234606,-0.5639132,0.7794664,0.43598035,0.21194912,0.20610781,0.48614377,0.47274563,0.97243994,0.39180607,0.5103246,0.5958099,1.3024929,1.5206755,1.1675116,0.07870946,14.7949915,-0.5359296,0.5541124,-0.5844477,TASCA_DESTRA_DAVANTI_PANTALONI
0.30657297,2.066024,1.4373671,7.943951,-0.9577205,-0.9617068,4.6013427,2.1450741,8.845994,-5.7575755,9.6910095,6.7909145,2.6059384,12.335455,0.24252483,10.056351,7.2626023,2.6949215,11.926108,0.29986036,-0.31878006,0.03163478,0.030485509,-0.09923701,-0.09563179,0.9636706,0.67007804,0.5515737,0.5333614,0.8231484,0.79596907,0.96698123,0.44900462,0.30423355,0.28447434,0.6775733,0.6335667,0.9350525,0.51561946,-0.9839695,-0.76083684,-1.9083251,-1.4755783,0.77323216,3.0997748,0.24917191,0.23821647,0.080383874,0.0768496,0.95603263,0.8980281,0.6439934,0.6660975,0.7171194,0.7417335,1.0343236,0.074377365,12.275683,-0.16394795,-0.7687567,-0.25296378,TASCA_DESTRA_DAVANTI_PANTALONI
