@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
-0.3002,16.4643,4.0576,21.4835,-0.7694,-1.8782,22.4359,4.7367,21.0748,-2.057,-0.581,14.4348,3.7993,24.3083,-1.211,6.2373,18.3868,4.288,18.7074,0.015,0.1598,0.5167,-0.0481,3.2329,-0.3011,-0.0931,0.8566,1.068,0.9463,1.2467,1.1046,0.886,0.7338,1.1406,0.8954,1.5543,1.2202,0.7851,0.6588,0.7017,-32.8134,1.0651,-49.8108,-46.7656,1.7612,1.1044,0.6393,0.627,0.363,0.5789,1.0194,0.8838,1.1484,0.867,1.1266,1.2994,0.0052,9.6339,-0.6562,0.5271,0.3873,-0.4297,-0.6363,0.2446,?,?,?,?,?,PANTALONI
-0.7547,12.9492,3.5985,20.0292,-1.2137,-0.4381,4.4879,2.1185,13.9289,-2.0449,-0.5065,9.4576,3.0753,24.581,-1.6723,3.9217,12.5332,3.5402,15.4376,0.029,1.7224,1.49,-0.1924,0.865,-0.1117,-0.1292,1.6986,1.1701,1.0165,0.6889,0.5984,0.8687,2.8853,1.3692,1.0332,0.4745,0.3581,0.7546,1.1739,0.7139,-23.7753,0.6081,-20.253,-33.305,1.9779,0.9837,0.5691,0.4973,0.2877,0.5785,1.438,0.8148,1.2974,0.5667,0.9023,1.5923,0.0026,5.9266,-0.3137,0.6846,-0.3199,-0.6007,-0.2962,-0.0227,?,?,?,?,?,PANTALONI
0.6117,7.1188,2.6681,13.2515,-0.441,-1.662,6.0094,2.4514,9.2053,-4.4124,-1.1522,7.9921,2.827,12.3167,-2.4015,3.8329,10.8932,3.3005,13.0327,0.0096,-0.368,-0.5309,0.1596,1.4425,-0.4336,-0.3006,1.0884,0.9438,0.8084,0.8671,0.7427,0.8566,1.1846,0.8907,0.6535,0.7519,0.5517,0.7337,0.5404,0.4663,-32.1555,0.863,-59.5066,-68.9519,5.4071,2.5397,0.6989,0.4697,0.1292,0.2752,1.4396,1.0759,1.0168,0.7474,0.7063,0.9451,0.0105,5.852,-0.248,-0.7485,0.4201,0.4574,-0.7916,-0.6605,?,?,?,?,?,PANTALONI
1.3734,21.7031,4.6587,23.9216,-0.7157,-0.958,13.7478,3.7078,22.5235,-3.3222,-0.2025,13.1717,3.6293,21.2988,-1.2167,4.8019,28.409,5.33,21.1264,0.0063,-1.4336,-6.7838,0.286,4.7319,-0.1995,-0.0422,1.2564,1.2836,0.874,1.0216,0.6956,0.6809,1.5787,1.6477,0.764,1.0437,0.4839,0.4636,0.5764,0.8536,-74.6294,1.4809,-129.475,-87.4303,2.6756,1.4511,0.6558,0.5424,0.2451,0.4519,1.0621,1.1231,1.1323,1.0575,1.0661,1.0082,0.0044,7.226,-0.6051,0.3277,0.5956,-0.0736,-0.6919,0.1102,?,?,?,?,?,PANTALONI
1.1095,6.5004,2.5496,13.9542,-0.2457,-0.5843,3.882,1.9703,9.997,-1.3479,-0.3941,1.0235,1.0117,8.145,-0.8357,2.6331,6.2003,2.49,12.4366,0.0026,-1.8989,-2.8154,0.4214,1.4827,-0.2219,-0.1497,1.294,2.5201,1.0239,1.9475,0.7913,0.4063,1.6745,6.351,1.0484,3.7927,0.6261,0.1651,0.4795,0.7421,-85.6095,1.5478,-178.5437,-115.3542,2.631,2.5248,0.8984,0.9596,0.3415,0.3558,1.3958,1.7132,1.122,1.2274,0.8038,0.6549,0.0035,3.8065,-0.1209,-0.0717,0.7738,0.1336,-0.4361,-0.1387,?,?,?,?,?,PANTALONI
0.0241,0.0372,0.1928,1.976,-0.4102,-0.0108,0.0155,0.1247,1.2813,-2.0716,0.0469,0.023,0.1517,0.8935,-0.8525,0.2361,0.0229,0.1513,1.5436,0.0186,-2.2248,0.5125,0.1019,-0.2304,-0.0458,0.1988,1.5467,1.271,1.2745,0.8217,0.824,1.0028,2.3922,1.6153,1.6244,0.6752,0.679,1.0056,0.6651,1.398,-19.61,2.1017,-29.4823,-14.0277,3.3591,2.9053,0.8908,0.8649,0.2652,0.3066,1.5422,2.2116,1.2801,1.4341,0.8301,0.5788,0.0001,0.3568,-0.3338,0.03,0.2141,0.0247,0.0567,0.3514,?,?,?,?,?,PANTALONI
1.2457,6.9005,2.6269,16.7535,-0.2316,-0.4674,3.3738,1.8368,8.339,-0.9839,-0.4388,1.7664,1.3291,12.7665,-0.7196,2.8388,5.945,2.4382,14.2922,0.0023,-2.6652,-2.8391,0.4388,1.0653,-0.1647,-0.1546,1.4302,1.9765,1.0774,1.382,0.7533,0.5451,2.0453,3.9066,1.1607,1.91,0.5675,0.2971,0.7617,0.5896,-96.6065,0.7741,-126.8319,-163.8469,3.2363,1.8324,0.9496,0.5662,0.2934,0.5183,2.0091,1.3123,1.1722,0.6532,0.5835,0.8933,0.0038,4.0625,0.0979,0.1084,0.7427,0.1611,-0.2192,0.0448,?,?,?,?,?,PANTALONI
0.9906,14.4461,3.8008,23.1022,-0.9416,0.3702,13.0587,3.6137,19.5366,-1.9845,-1.3737,38.7185,6.2224,36.9621,-0.8118,4.7425,46.7373,6.8365,22.2745,0.0014,2.6759,-0.7211,0.2089,-0.2695,0.0781,-0.2897,1.0518,0.6108,0.556,0.5808,0.5286,0.9102,1.1062,0.3731,0.3091,0.3373,0.2794,0.8284,0.8625,0.6765,-361.9165,0.7844,-419.6332,-534.9946,1.8176,0.5832,0.5334,0.3209,0.2935,0.9146,1.1825,0.625,1.0372,0.5286,0.8771,1.6594,0.0047,7.538,-0.3683,-0.9525,0.4097,0.4334,-0.1536,-0.3117,?,?,?,?,?,PANTALONI
0.0294,0.0129,0.1136,0.7941,-1.7698,-0.0374,0.0061,0.0782,0.4289,-1.6803,-0.0052,0.0187,0.1366,0.7049,-1.1329,0.1812,0.0071,0.0844,0.5045,0.0481,-0.7863,-5.6923,0.1625,7.2394,-0.2067,-0.0285,1.4534,0.8318,1.3453,0.5723,0.9256,1.6174,2.1124,0.6919,1.8098,0.3275,0.8568,2.6159,1.8871,1.3551,-19.8943,0.7181,-10.5423,-14.6812,1.7917,0.8674,0.5409,0.4842,0.3019,0.6236,1.8515,1.1265,1.574,0.6084,0.8501,1.3972,0.0001,0.2687,-0.4397,0.0664,-0.0346,0.0644,-0.2188,-0.1291,?,?,?,?,?,PANTALONI
0.7828,1.5654,1.2512,10.8658,-0.3324,-0.479,1.9884,1.4101,8.2455,-1.8288,0.0261,1.1233,1.0598,16.4431,-0.7422,1.7787,2.3565,1.5351,10.5009,0.0052,-1.6342,30.0016,0.4401,-18.3581,-0.2693,0.0147,0.8873,1.1805,0.8151,1.3305,0.9186,0.6904,0.7873,1.3936,0.6643,1.7702,0.8438,0.4767,0.5085,0.387,-49.2073,0.761,-96.7632,-127.1587,2.7978,0.8641,0.7725,0.3088,0.2761,0.8941,1.3178,0.6608,1.0347,0.5015,0.7852,1.5659,0.0024,2.6063,0.1311,0.1919,0.4661,0.1048,-0.4485,-0.0087,?,?,?,?,?,PANTALONI
