@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.2807,0.0217,0.1475,0.4371,0.0332,-0.0611,0.0033,0.0571,0.2052,-3.5929,-0.5142,0.0036,0.0596,0.5837,?,-4.5962,-0.5459,0.1188,2.5812,2.4738,0.9584,6.6626,6.1198,0.9185,-0.0935,-0.0257,0.275,10.1202,0,0,2.1303,0.7488,0.3515,0.0125,0.8619,-0.7622,-0.9367,0.874,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.0458,0.0121,0.1102,0.9462,-0.7397,0.0572,0.0226,0.1502,1.3968,-0.3693,-0.0035,0.0358,0.1893,1.6316,-2.5446,0.1986,0.0365,0.1911,1.6044,0.0251,0.8008,-13.1324,0.2305,-16.3988,0.2878,-0.0176,0.7335,0.5821,0.5768,0.7936,0.7864,0.9909,0.538,0.3388,0.3327,0.6298,0.6184,0.9818,1.0678,0.3434,-9.7529,0.3216,-9.1333,-28.397,0.5332,1.1815,0.3305,2.216,0.6198,0.2797,0.6774,0.5799,0.5897,0.8561,0.8706,1.0169,0.0007,0.3024,0.5914,-0.2467,0.2476,-0.3216,0.4041,-0.5406,-0.4857,0,0.0016,0.489,?,-0.1369,0,0.006,0.1482,?,0.0411,0,0.0046,0.0171,0.6386,3.5464,-11.8086,-3.3297,0.2674,0.3477,1.3002,0.0715,0.1209,1.6905,3.2996,-16.1786,-4.9033,1,0,0,3.2996,28.5927,8.6656,0.0051,0.6638,-0.9928,0.9756,-0.9682,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
-0.2232,6.246,2.4992,12.1836,-0.8682,-1.1196,2.6007,1.6127,7.6675,-2.2567,-0.4227,14.1522,3.7619,25.3823,-0.2955,3.9147,9.1561,3.0259,20.077,0.0164,0.1994,0.5281,-0.057,2.649,-0.286,-0.108,1.5497,0.6643,0.8259,0.4287,0.533,1.2432,2.4016,0.4413,0.6822,0.1838,0.284,1.5457,1.0657,0.978,-16.9213,0.9177,-15.8781,-17.3017,2.7699,0.3328,0.3195,0.1202,0.1153,0.9599,1.589,0.48,0.6068,0.3021,0.3819,1.2642,0.0128,5.8867,-0.0318,0.1574,0.3242,-0.2326,-0.5013,0.4751,-0.0414,0.0032,0.0568,0.2054,-1.5124,-0.3836,0.009,0.0949,0.7011,?,-0.3052,0.0301,0.1735,0.6148,?,0.1079,0.1356,1.2568,0.598,0.3271,0.547,0.3576,0.107,0.2992,0.1763,0.2011,1.1403,0,0,1,0.2929,0.334,1.1403,0.0052,0.7485,-0.4174,-0.3053,-0.6882,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.099,0.059,0.2428,2.413,-0.7149,0.0455,0.3171,0.5631,5.5613,-1.0992,0.0162,0.1438,0.3792,3.8618,-1.3858,0.361,0.4017,0.6338,3.8675,0.0174,2.1771,6.0938,0.2743,2.799,0.126,0.045,0.4312,0.6403,0.3831,1.485,0.8885,0.5983,0.1859,0.41,0.1468,2.2051,0.7894,0.358,0.3454,0.4484,-14.6905,1.2982,-42.5277,-32.7591,0.5311,0.8693,0.3575,1.6367,0.6731,0.4113,0.4339,0.6248,0.6239,1.4401,1.438,0.9985,0.0012,0.5615,-0.9678,-0.9627,-0.0938,0.9509,0.0949,0.0014,0.4025,0,0.0012,0.0034,0.9917,-0.6209,0,0.0013,0.6234,?,0.1275,0,0.0018,0.006,0.9537,-0.6483,3.1572,-4.8698,0.9389,0.6668,0.7103,0.8815,0.4447,0.5045,-0.6427,3.2358,-5.0347,0,3.1117,0,0.0054,0.5575,103.6237,0.0079,1.1509,1.0313,0.9767,0.9945,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.3765,2.4849,1.5764,7.1572,-0.6029,-0.6132,8.1953,2.8627,11.8072,-0.6733,0.0542,5.9636,2.442,12.443,-0.3822,3.8056,2.6817,1.6376,11.0773,0.0978,-0.614,6.9482,0.0989,-11.3159,-0.1611,0.0142,0.5507,0.6455,0.9626,1.1723,1.7481,1.4912,0.3032,0.4167,0.9266,1.3742,3.056,2.2238,0.5666,0.7824,-2.2408,1.3808,-3.9546,-2.864,0.6328,0.496,0.3636,0.7838,0.5747,0.7332,0.6062,0.5752,0.6461,0.9489,1.0659,1.1233,0.0075,5.8057,0.0306,0.3931,0.1077,0.5861,0.0797,0.171,0.0209,0.0046,0.0678,0.1959,-0.4873,-0.3608,0.0004,0.02,0.3992,?,0.4176,0.068,0.2607,0.8523,-0.1401,-0.0581,0.0502,-0.8641,3.388,0.26,0.0767,11.4787,0.0676,0.0059,0.1608,0.6129,3.8122,0,0.1761,0,0.4906,0.2298,0.4684,0.0058,0.8511,0.4405,-0.4686,-0.8318,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0432,0.0081,0.0902,0.6995,-0.1888,-0.1172,0.0935,0.3058,2.9173,-0.88,-0.0173,0.027,0.1642,1.5726,-1.2026,0.2605,0.0766,0.2768,1.7784,0.0156,-0.3685,-2.4988,0.1658,6.7803,-0.4499,-0.0664,0.295,0.5493,0.3258,1.8621,1.1045,0.5932,0.087,0.3017,0.1062,3.4675,1.22,0.3518,0.0814,0.1294,-3.9414,1.5903,-48.4367,-30.4576,0.3792,0.8241,0.3257,2.1733,0.8589,0.3952,0.2398,0.4448,0.3933,1.855,1.6403,0.8843,0.0013,0.3687,0.6928,0.5457,0.3933,0.7655,0.1468,-0.035,-0.1475,0,0.0019,0.1525,?,-0.7312,0,0.0004,0.7318,?,-0.4746,0,0.0007,0.4764,?,0.2017,0.3107,1.5407,4.7458,2.7067,0.5703,22.5228,7.326,0.3253,0.2084,0.3202,1.5361,1,1,1,0.2084,0.3202,1.5361,0.0092,1.3533,-0.8687,-0.3378,0.5344,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.0969,0.0021,0.046,0.239,-11.3251,-0.0786,0.0025,0.0503,0.2354,-6.8841,0.0103,0.002,0.0448,0.256,-0.8855,0.1377,0.0034,0.058,0.2784,0.0892,1.2332,-9.448,-0.7039,-7.6613,-0.5708,0.0745,0.9143,1.027,0.7926,1.1233,0.867,0.7718,0.8359,1.0547,0.6283,1.2618,0.7517,0.5957,1.0684,1.8271,-8.0512,1.7101,-7.5359,-4.4066,0.6494,0.1429,0.0634,0.22,0.0977,0.4441,1.0152,0.9338,0.8586,0.9198,0.8457,0.9194,0.0013,0.2141,0.6411,-0.1559,-0.9176,0.5557,-0.8112,-0.0841,-0.6196,0,0.0009,0.6212,?,-0.3653,0,0.0003,0.3659,?,-0.693,0,0.0005,0.6937,?,1.6961,0.8941,0.5271,2.6598,1.6511,0.6208,7.0743,2.7261,0.3853,1.6977,0.8955,0.5275,1,1,1,1.6977,0.8955,0.5275,0.0105,1.678,-0.9305,-1.1552,0.6469,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.4464,2.5013,1.5815,6.4045,-0.4698,4.3499,1.735,1.3172,4.3015,0.2928,2.1649,8.5282,2.9203,9.0639,-0.2325,5.6805,4.3037,2.0745,7.1639,0.3172,0.1026,0.2062,0.0786,2.0093,0.7658,0.3811,1.2007,0.5416,0.7624,0.451,0.6349,1.4077,1.4416,0.2933,0.5812,0.2034,0.4031,1.9816,-1.1496,1.1974,-0.6152,-1.0416,0.5351,-0.5138,0.7164,0.5925,0.4153,0.827,0.5797,0.701,1.4889,0.7066,0.894,0.4746,0.6004,1.2652,0.4436,8.0155,0.727,0.4964,0.8271,0.0741,0.6097,0.7953,0.4628,0.0283,0.1683,0.5309,0.253,0.1918,0.0212,0.1456,0.4143,-0.0538,-0.5973,0.0022,0.0466,0.664,?,2.4128,-0.7747,-0.3211,1.1562,3.6083,3.1208,1.3368,13.0196,9.7394,-8.5079,-0.2709,0.0318,1.8077,0,0,1.2814,0.7996,0.624,0.0177,1.2547,0.9817,0.9814,0.9787,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.1387,25.1946,5.0194,28.3953,-2.0196,-0.2864,15.7962,3.9744,21.5057,-0.8848,-0.3154,33.0888,5.7523,48.8168,-1.5051,5.9372,39.0295,6.2474,30.0748,0.0137,-0.4843,-0.4398,0.0234,0.908,-0.0482,-0.0531,1.2629,0.8726,0.8034,0.6909,0.6362,0.9208,1.595,0.7614,0.6455,0.4774,0.4047,0.8478,1.8812,0.6475,-45.4663,0.3442,-24.1684,-70.2156,0.8241,0.4826,0.3084,0.5855,0.3742,0.6391,1.3204,0.5817,0.9442,0.4405,0.7151,1.6232,0.0047,9.2845,-0.938,-0.6644,-0.2381,0.4931,0.1368,0.0411,0.432,0.6953,0.8338,1.9242,-0.9951,-0.1286,0.0796,0.2821,0.7657,-0.9976,0.0835,0.0069,0.083,0.3242,-0.3019,-3.3593,5.1765,-1.5409,2.9554,10.0479,3.3998,8.7346,100.96,11.5587,2.5099,12.767,5.0866,2.5161,3.873,1.5393,2.513,5.9353,2.3618,0.0048,1.334,-0.9884,-0.0456,0.0515,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.1047,0.016,0.1265,0.5853,-2.9803,-0.0495,0.0136,0.1167,0.521,-1.4513,-0.0154,0.0081,0.0898,0.3844,-1.1761,0.2029,0.0101,0.1007,0.4261,0.0375,2.1133,6.8166,-0.516,3.2256,-0.2442,-0.0757,1.0841,1.4088,1.2558,1.2995,1.1584,0.8914,1.1752,1.9846,1.5771,1.6888,1.342,0.7946,1.4206,2.1092,-26.4068,1.4848,-18.5888,-12.5196,0.6918,0.8324,0.3322,1.2032,0.4801,0.3991,1.1233,1.5225,1.3736,1.3554,1.2228,0.9022,0.0012,0.3022,0.0162,-0.2242,-0.6957,0.9684,-0.1815,-0.0247,0.617,0,0.0006,0.0022,0.9965,0.3617,0,0.0011,0.0035,0.9904,0.6542,0,0.0008,0.0038,0.9942,1.7056,0.9431,0.553,0.5377,0.7322,1.3619,0.2891,0.5361,1.8547,1.7109,0.9447,0.5521,1.7005,0.9425,0.5543,0.6233,0.576,0.9241,0.0103,1.6329,0.0672,-0.549,-0.0328,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.112,0.0031,0.0559,0.2626,-52.8149,-0.0574,0.008,0.0892,0.428,-1.4413,0.0008,0.0066,0.0815,0.4004,-0.8294,0.1706,0.0045,0.0668,0.2647,0.1516,1.9514,-148.9836,-0.6566,-76.347,-0.3365,0.0044,0.6268,0.6857,0.8364,1.0939,1.3344,1.2199,0.3929,0.4702,0.6996,1.1966,1.7806,1.488,1.02,1.4197,-5.4502,1.3918,-5.3434,-3.8391,0.0278,0.0223,0.0156,0.8009,0.5619,0.7016,0.6136,0.6558,0.992,1.0688,1.6168,1.5127,0.0013,0.2619,-0.0157,-0.3156,-0.4938,0.9282,-0.4068,-0.1688,0.632,0,0.0008,0.003,0.9953,0.3573,0,0.001,0.0032,0.9911,0.6743,0,0.0005,0.0019,0.9972,1.769,0.9373,0.5298,0.7974,1.6924,2.1223,0.6359,2.8641,4.5042,1.7749,0.9367,0.5277,1.7673,0.9385,0.531,0.9231,1.5905,1.723,0.0104,1.6636,-0.9308,-0.6585,0.3792,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.5577,4.1892,2.0467,12.8678,-0.4681,-0.7465,13.6407,3.6933,18.2197,-0.9936,-0.1293,8.1682,2.858,14.3591,-1.9612,4.604,5.686,2.3845,10.0954,0.0737,-0.7471,-4.3136,0.1211,5.774,-0.1621,-0.0281,0.5542,0.7161,0.8583,1.2923,1.5489,1.1986,0.3071,0.5129,0.7368,1.67,2.399,1.4366,0.4518,0.4314,-5.1081,0.9548,-11.305,-11.8397,0.959,1.8075,0.8042,1.8847,0.8386,0.4449,0.7063,0.8961,1.2746,1.2689,1.8048,1.4223,0.0096,6.792,-0.0178,-0.5474,0.2369,-0.491,0.008,-0.2695,-0.5376,0.0005,0.0217,0.5791,?,0.3863,0.0003,0.0164,0.0654,0.8403,0.0771,0.0007,0.0259,0.1146,0.0249,-1.3919,-6.9736,5.0103,1.3185,0.8362,0.6342,1.7383,0.6993,0.4023,-1.6836,-197.7407,117.4504,0,0,3.4835,8.8596,5.0543,0.5705,0.0069,1.001,0.2987,0.534,0.1589,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
1.4906,14.7251,3.8373,17.6808,-0.396,-2.5017,6.7728,2.6025,15.3418,-6.7578,0.0412,16.8173,4.1009,15.0675,-0.7119,6.3573,6.3813,2.5261,16.1512,0.1158,-0.5958,36.1574,0.2345,-60.6834,-0.3935,0.0065,1.4745,0.9357,1.5191,0.6346,1.0302,1.6234,2.1742,0.8756,2.3075,0.4027,1.0613,2.6354,0.3753,0.8004,-2.3705,2.1328,-6.3171,-2.9619,6.4046,1.439,0.6934,0.2247,0.1083,0.4818,1.1525,1.1734,1.0947,1.0182,0.9499,0.9329,0.0317,9.6939,-0.3051,0.2345,0.6488,-0.2113,-0.7429,0.2531,0.4907,0.0056,0.0749,0.2282,0.5996,-0.176,0.0149,0.1219,0.4469,-2.551,0.3238,0.0249,0.1578,0.5023,0.1167,-2.7882,1.5157,-0.5436,0.6143,0.4746,0.7726,0.3774,0.2253,0.5969,-1.0645,5.1483,-4.8364,4.5285,1.0022,0.2213,0.5106,0.4543,0.8898,0.0066,1.0075,0.5427,0.9562,0.7544,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
1.4983,15.6059,3.9504,24.697,-1.0936,-0.7864,17.2694,4.1556,20.7285,-0.8622,0.6124,16.2383,4.0297,18.1186,-0.8904,6.6957,7.5199,2.7422,15.7426,0.081,-1.9053,2.4466,0.2238,-1.2841,-0.1174,0.0915,0.9506,0.9803,1.4406,1.0313,1.5154,1.4695,0.9037,0.9611,2.0753,1.0635,2.2965,2.1594,1.3441,1.5116,-9.3032,1.1246,-6.9213,-6.1546,1.0598,1.2308,0.6887,1.1614,0.6498,0.5595,1.1915,1.3631,1.5688,1.144,1.3167,1.1509,0.0193,10.3057,-0.4242,0.2828,-0.0413,0.3462,0.3588,0.3468,0.2778,0.0128,0.1129,0.463,0.2698,-0.1161,0.0056,0.0749,0.3023,-2.4113,0.5634,0.0353,0.1879,0.6497,0.1446,-2.3923,0.493,-0.2061,1.5078,0.601,0.3986,2.2734,0.3612,0.1589,-0.8007,1.5581,-1.9458,7.1567,0.8349,0.1167,1.532,0.7127,0.4652,0.0069,0.9679,0.9199,0.5422,0.5124,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
0.2257,4.6567,2.1579,9.8917,-1.0337,-0.8657,7.7145,2.7775,12.7803,-1.2581,-0.6752,4.5831,2.1408,8.3408,-1.5537,3.8538,3.3587,1.8327,7.8078,0.1174,-0.2607,-0.3342,0.0586,1.2822,-0.2246,-0.1752,0.7769,1.008,1.1775,1.2974,1.5156,1.1681,0.6036,1.0161,1.3865,1.6832,2.2969,1.3646,0.7061,0.9908,-4.8423,1.4032,-6.8577,-4.8873,0.8594,1.4892,0.5498,1.7329,0.6398,0.3692,0.774,1.186,1.2669,1.5323,1.6369,1.0683,0.0121,6.0051,-0.4377,0.0693,-0.0617,0.8267,-0.2993,-0.2836,0.5506,0.0025,0.0496,0.1359,0.7867,0.1783,0.0007,0.0273,0.0914,0.628,0.5973,0.0018,0.0425,0.1244,0.8052,3.089,0.9219,0.2984,1.8179,1.166,0.6414,3.3047,1.3595,0.4114,3.2476,0.9748,0.3001,2.5925,0.9977,0.3848,1.4865,1.0923,0.7348,0.0089,1.3262,0.8408,-0.9814,-0.8906,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
-0.1165,0.0055,0.0744,0.2863,-5.9321,0.1036,0.0082,0.0905,0.3826,-0.2053,0.0416,0.0051,0.0715,0.3947,-0.3233,0.1886,0.0093,0.0964,0.4426,0.0393,-1.1238,-2.8023,-0.6174,2.4935,0.5494,0.2203,0.822,1.0406,0.7718,1.2659,0.939,0.7417,0.6757,1.0828,0.5957,1.6026,0.8817,0.5502,3.7591,2.5406,-13.5468,0.6759,-3.6037,-5.332,0.1301,0.1385,0.0896,1.0643,0.6891,0.6474,0.7483,0.7254,0.6469,0.9694,0.8645,0.8918,0.0018,0.2957,-0.8452,0.0316,-0.813,0.4779,0.9367,0.4663,0.6626,0,0.0005,0.0021,0.9969,-0.0626,0,0.0025,0.0683,?,0.6455,0,0.0013,0.0043,0.9934,-10.5915,1.0265,-0.0969,0.2047,0.4006,1.9569,0.0419,0.1605,3.8295,-9.6772,1.0283,-0.1063,0,1.0247,0,0.03,0.482,16.0599,0.0104,1.3706,0.1463,-0.0898,0.9685,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
-0.0578,0.0181,0.1346,0.598,-2.3515,0.0594,0.0217,0.1472,0.6406,-0.5771,0.0244,0.0065,0.0807,0.3817,-0.5539,0.198,0.0145,0.1206,0.5486,0.0606,-0.9731,-2.3651,-0.2919,2.4306,0.3,0.1234,0.9146,1.6679,1.1162,1.8236,1.2203,0.6692,0.8365,2.782,1.2458,3.3255,1.4892,0.4478,1.7899,3.0834,-11.8635,1.7226,-6.628,-3.8476,0.4392,0.7263,0.3055,1.6535,0.6956,0.4207,0.9335,1.5665,1.09,1.6782,1.1677,0.6958,0.0009,0.3121,-0.9276,-0.0125,-0.6842,0.3801,0.6839,0.1464,0.6941,0,0.0014,0.0048,0.9931,-0.0882,0,0.001,0.0904,?,0.5985,0,0.0025,0.0081,0.9866,-7.8679,1.1598,-0.1474,1.4272,0.544,0.3812,2.0369,0.296,0.1453,-7.6462,1.1602,-0.1517,0,1.1526,0,0.0532,0.5939,11.1607,0.0097,1.3808,-0.6449,-1.0091,0.7246,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
-0.0329,0.0182,0.1349,0.7505,-1.8162,0.0517,0.0203,0.1426,0.8348,-0.4695,0.0095,0.0174,0.132,0.6929,-0.8698,0.2066,0.0171,0.1309,0.7285,0.0285,-0.6362,-3.4504,-0.1593,5.4239,0.2504,0.0462,0.9463,1.0225,1.0312,1.0805,1.0897,1.0085,0.8955,1.0455,1.0633,1.1675,1.1874,1.0171,1.8146,1.5016,-22.6274,0.8275,-12.4697,-15.0691,0.4691,0.7191,0.3554,1.533,0.7576,0.4942,0.899,1.0831,1.0302,1.2048,1.146,0.9512,0.0007,0.3215,-0.6254,0.3437,-0.1106,0.513,0.3929,0.3585,0.6866,0,0.001,0.0035,0.995,-0.0784,0,0.0015,0.081,?,0.562,0,0.0036,0.0114,0.9799,-8.7606,1.2216,-0.1394,0.679,0.2806,0.4133,0.4611,0.0787,0.1708,-8.4662,1.235,-0.1459,0,1.2162,0,0.0427,0.3028,7.0948,0.0096,1.3269,0.0253,-0.9604,0.1864,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
-0.1925,0.0167,0.1292,0.6881,-4.4223,0.2457,0.0318,0.1782,0.8953,-0.1895,0.0477,0.0135,0.1163,0.5272,-0.6086,0.3483,0.0404,0.2011,0.9107,0.0488,-0.7835,-4.0329,-0.5529,5.1471,0.7056,0.1371,0.7251,1.1112,0.6426,1.5325,0.8863,0.5783,0.5257,1.2347,0.413,2.3486,0.7855,0.3345,3.9353,2.8137,-12.0036,0.715,-3.0503,-4.2661,0.1686,0.3872,0.1326,2.2968,0.7862,0.3423,0.7686,1.3053,0.7556,1.6983,0.9832,0.5789,0.0033,0.55,-0.8995,-0.1992,-0.9097,0.6068,0.9674,0.5172,0.6943,0,0.0011,0.0034,0.9952,-0.146,0,0.003,0.1485,?,0.5667,0,0.0027,0.0116,0.9798,-4.7551,1.2251,-0.2576,0.3643,0.4148,1.1387,0.1327,0.1721,1.2967,-4.665,1.2298,-0.2636,0,1.2107,0,0.0226,0.2886,12.7592,0.0096,1.407,0.0287,-0.382,0.8504,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
-0.8159,2.733,1.6532,8.7668,-1.6432,-0.4198,10.9654,3.3114,13.7124,-0.6077,-1.08,1.7417,1.3197,6.5625,-2.0983,3.7635,3.2843,1.8123,8.4368,0.067,1.9437,0.7554,-0.2168,0.3887,-0.1115,-0.287,0.4992,1.2527,0.9122,2.5091,1.8272,0.7282,0.2492,1.5692,0.8321,6.2958,3.3387,0.5303,1.0514,1.2263,-8.9987,1.1663,-8.5584,-7.3382,0.3889,1.5659,0.3668,4.0267,0.9432,0.2342,0.6393,1.3359,1.0391,2.0895,1.6253,0.7778,0.0146,5.5072,-0.2535,-0.1393,-0.5414,0.6069,0.4601,0.4111,0.5499,0.004,0.0631,0.1708,0.7395,-0.0876,0.0006,0.0254,0.1439,?,0.1069,0.0019,0.0433,0.1421,0.1855,-6.2805,5.1426,-0.8188,2.4833,1.4575,0.5869,6.167,2.1242,0.3445,-3.367,14.9803,-4.4491,0,3.7577,0,1.1863,1.2019,1.0132,0.0058,0.7445,-0.7634,-0.1699,0.004,?,?,?,?,?,TASCA_GIACCA
-1.0746,2.1913,1.4803,7.3405,-1.4766,0.4365,3.4293,1.8518,8.7867,-0.8962,-0.6869,1.7417,1.3197,6.2609,-1.1764,2.8407,1.11,1.0536,4.7817,0.1033,-2.4619,1.5644,-0.3783,-0.6355,0.1537,-0.2418,0.7994,1.1217,1.405,1.4032,1.7577,1.2527,0.639,1.2581,1.9742,1.9689,3.0895,1.5691,1.0539,1.2932,-7.9475,1.2271,-7.5412,-6.1454,0.6396,1.0303,0.5558,1.6108,0.869,0.5395,0.8354,1.1725,1.5351,1.4034,1.8376,1.3093,0.0139,4.3926,-0.0358,0.0832,-0.4577,0.4356,-0.1196,0.1896,0.5853,0.0039,0.0628,0.2053,0.6972,-0.1246,0.0001,0.0105,0.1391,?,0.099,0.0019,0.0435,0.1507,0.073,-4.6988,5.9097,-1.2577,5.9968,1.4441,0.2408,35.9619,2.0853,0.058,-3.3982,39.8209,-11.7181,0,4.1708,0,1.4758,1.3624,0.9231,0.0063,0.8089,-0.1713,0.4697,-0.645,?,?,?,?,?,TASCA_GIACCA
-0.7131,7.8788,2.8069,14.1918,-1.0724,-1.1093,9.1365,3.0227,19.1241,-3.6258,-1.4157,2.0506,1.432,6.3101,-2.1365,4.2218,4.9859,2.2329,14.2523,0.0694,0.6429,0.5037,-0.1689,0.7836,-0.2628,-0.3353,0.9286,1.9601,1.2571,2.1108,1.3537,0.6413,0.8623,3.8421,1.5802,4.4555,1.8325,0.4113,0.4899,1.7086,-6.9088,3.4874,-14.1019,-4.0436,1.6564,3.4038,0.4471,2.0549,0.2699,0.1314,0.7421,2.2491,0.9958,3.0307,1.3418,0.4427,0.0199,6.2317,-0.0737,0.418,-0.5337,-0.0402,-0.484,-0.296,0.5573,0.0033,0.0576,0.202,0.6939,-0.0707,0.0015,0.0381,0.1238,-17.6209,0.1392,0.0041,0.0642,0.2191,0.0872,-7.8798,4.0035,-0.5081,1.513,0.8981,0.5936,2.2892,0.8066,0.3524,-3.9092,21.8785,-5.5967,99.2708,2.7498,0.0277,1.6319,0.9222,0.5651,0.006,0.7681,-0.8896,-0.5678,0.7531,?,?,?,?,?,TASCA_GIACCA
-0.8159,2.733,1.6532,8.7668,-1.6432,-0.4198,10.9654,3.3114,13.7124,-0.6077,-1.08,1.7417,1.3197,6.5625,-2.0983,3.7635,3.2843,1.8123,8.4368,0.067,1.9437,0.7554,-0.2168,0.3887,-0.1115,-0.287,0.4992,1.2527,0.9122,2.5091,1.8272,0.7282,0.2492,1.5692,0.8321,6.2958,3.3387,0.5303,1.0514,1.2263,-8.9987,1.1663,-8.5584,-7.3382,0.3889,1.5659,0.3668,4.0267,0.9432,0.2342,0.6393,1.3359,1.0391,2.0895,1.6253,0.7778,0.0146,5.5072,-0.2535,-0.1393,-0.5414,0.6069,0.4601,0.4111,0.5499,0.004,0.0631,0.1708,0.7395,-0.0876,0.0006,0.0254,0.1439,?,0.1069,0.0019,0.0433,0.1421,0.1855,-6.2805,5.1426,-0.8188,2.4833,1.4575,0.5869,6.167,2.1242,0.3445,-3.367,14.9803,-4.4491,0,3.7577,0,1.1863,1.2019,1.0132,0.0058,0.7445,-0.7634,-0.1699,0.004,?,?,?,?,?,TASCA_GIACCA
-1.0746,2.1913,1.4803,7.3405,-1.4766,0.4365,3.4293,1.8518,8.7867,-0.8962,-0.6869,1.7417,1.3197,6.2609,-1.1764,2.8407,1.11,1.0536,4.7817,0.1033,-2.4619,1.5644,-0.3783,-0.6355,0.1537,-0.2418,0.7994,1.1217,1.405,1.4032,1.7577,1.2527,0.639,1.2581,1.9742,1.9689,3.0895,1.5691,1.0539,1.2932,-7.9475,1.2271,-7.5412,-6.1454,0.6396,1.0303,0.5558,1.6108,0.869,0.5395,0.8354,1.1725,1.5351,1.4034,1.8376,1.3093,0.0139,4.3926,-0.0358,0.0832,-0.4577,0.4356,-0.1196,0.1896,0.5853,0.0039,0.0628,0.2053,0.6972,-0.1246,0.0001,0.0105,0.1391,?,0.099,0.0019,0.0435,0.1507,0.073,-4.6988,5.9097,-1.2577,5.9968,1.4441,0.2408,35.9619,2.0853,0.058,-3.3982,39.8209,-11.7181,0,4.1708,0,1.4758,1.3624,0.9231,0.0063,0.8089,-0.1713,0.4697,-0.645,?,?,?,?,?,TASCA_GIACCA
-0.7131,7.8788,2.8069,14.1918,-1.0724,-1.1093,9.1365,3.0227,19.1241,-3.6258,-1.4157,2.0506,1.432,6.3101,-2.1365,4.2218,4.9859,2.2329,14.2523,0.0694,0.6429,0.5037,-0.1689,0.7836,-0.2628,-0.3353,0.9286,1.9601,1.2571,2.1108,1.3537,0.6413,0.8623,3.8421,1.5802,4.4555,1.8325,0.4113,0.4899,1.7086,-6.9088,3.4874,-14.1019,-4.0436,1.6564,3.4038,0.4471,2.0549,0.2699,0.1314,0.7421,2.2491,0.9958,3.0307,1.3418,0.4427,0.0199,6.2317,-0.0737,0.418,-0.5337,-0.0402,-0.484,-0.296,0.5573,0.0033,0.0576,0.202,0.6939,-0.0707,0.0015,0.0381,0.1238,-17.6209,0.1392,0.0041,0.0642,0.2191,0.0872,-7.8798,4.0035,-0.5081,1.513,0.8981,0.5936,2.2892,0.8066,0.3524,-3.9092,21.8785,-5.5967,99.2708,2.7498,0.0277,1.6319,0.9222,0.5651,0.006,0.7681,-0.8896,-0.5678,0.7531,?,?,?,?,?,TASCA_GIACCA
