@RELATION WhereIsSmartphone
@ATTRIBUTE G_R_AVERAGE NUMERIC 
@ATTRIBUTE G_R_VARIANCE NUMERIC 
@ATTRIBUTE G_R_STD NUMERIC 
@ATTRIBUTE G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_G_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_G_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_G_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_G_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_G_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_G_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_G_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_G_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_G_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_G_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_G_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_G_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_G_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_G_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_G_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_G_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_G_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_G_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_G_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_G_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
-0.43057173,3.6236506,1.9035889,9.258274,-3.1505659,-0.2003793,3.906836,1.9765718,12.423601,-1.2484837,9.66557,3.1607962,1.7778628,7.8788247,0.42266086,104.340004,1581.9266,39.77344,225.01001,0.14138168,2.1487834,-0.044546954,-0.004126622,-0.020731244,-0.0019204456,0.092635326,0.963076,1.0707176,0.047860805,1.1117685,0.04969577,0.044699747,0.9275154,1.146436,0.0022906566,1.2360291,0.0024696696,0.0019980674,1.0187572,-1.218397,-0.18967779,-1.1959641,-0.18618548,0.15567814,0.4037058,0.16345277,0.008511793,0.4048809,0.021084147,0.052074935,0.7452166,1.1750832,0.041146055,1.5768343,0.05521355,0.03501544,0.10405625,12.34428,0.28663963,-0.25758538,-0.62917536,TASCA_DESTRA_DAVANTI_PANTALONI
0.36815524,14.500569,3.8079612,25.05209,-0.3450008,0.41966018,29.244314,5.407801,36.77569,-1.272615,10.362127,25.049295,5.004927,25.631737,0.124409705,176.47955,47697.395,218.39734,1527.2302,0.013188586,0.87726986,0.035528924,0.0020861072,0.040499423,0.0023779536,0.05871574,0.70416075,0.7608425,0.017435933,1.0804955,0.024761297,0.022916613,0.49584234,0.5788813,3.0401177E-4,1.1674706,6.1312184E-4,5.2517117E-4,0.31203946,-1.7644533,-0.3148277,-5.6545835,-1.0089355,0.1784279,1.1510296,0.6362742,0.012035137,0.552787,0.010455976,0.018915016,0.6812133,0.9773856,0.01640361,1.4347717,0.02407999,0.016783152,0.10809536,16.27812,-0.53656334,0.31599605,-0.49097934,TASCA_DESTRA_DAVANTI_PANTALONI
0.41776875,1.6293517,1.2764606,7.327443,-0.7662959,0.20246114,2.1303957,1.4595875,8.68091,-1.2572939,9.884704,1.5461836,1.2434564,6.742134,0.51258236,103.2288,831.32367,28.832684,175.29166,0.22735198,2.0634515,0.042264163,0.0040470175,0.020482266,0.0019612855,0.095755294,0.8745352,1.0265424,0.04427131,1.1738148,0.05062267,0.043126628,0.7648118,1.0537893,0.0019599488,1.3778414,0.002562655,0.0018599057,0.6574633,-0.4483588,-0.061632138,-0.68195254,-0.09374232,0.13746165,1.0787278,0.29991132,0.01828561,0.27802315,0.016951088,0.060970057,0.84408695,1.0868136,0.041801438,1.2875612,0.049522664,0.038462378,0.10307916,11.876941,-0.68508196,-0.053532843,-0.13200624,TASCA_DESTRA_DAVANTI_PANTALONI
-0.84182143,9.065116,3.010833,14.952667,-1.3172225,1.3478276,4.480173,2.116642,9.089469,-0.4878597,9.293655,10.937989,3.3072631,12.688501,0.18651235,113.38064,4251.691,65.204994,282.367,0.035787474,-0.6245765,-0.09058023,-0.0074247373,0.14502664,0.011887634,0.08196863,1.4224573,0.91037,0.046174884,0.6399981,0.03246135,0.05072101,2.0233853,0.8287735,0.00213212,0.40959752,0.0010537391,0.002572621,2.8519282,-2.9217503,-0.81103176,-1.0244825,-0.28438014,0.2775842,1.0562686,0.41370574,0.022034833,0.3916672,0.020861013,0.053262092,1.645054,1.1784424,0.052954726,0.7163548,0.032190267,0.044936202,0.09720142,13.878076,0.1988742,-0.06300402,0.5079838,TASCA_DESTRA_DAVANTI_PANTALONI
0.58985823,1.2396227,1.1133834,3.7097757,-0.34845322,0.7050621,1.695301,1.3020372,7.014082,-0.7545516,9.497071,4.324925,2.0796454,7.749863,0.4029456,98.29925,1510.9067,38.870384,141.21869,0.18835388,0.83660465,0.06210949,0.0060006385,0.07423995,0.007172609,0.09661388,0.85510874,0.5353718,0.028643489,0.6260862,0.033496898,0.053502053,0.73121095,0.28662294,8.204495E-4,0.39198393,0.0011220422,0.0028624698,0.31780636,-0.18328616,-0.029252045,-0.57672274,-0.09204361,0.15959767,0.68818796,0.21194912,0.015811982,0.30798146,0.022976257,0.07460272,0.52890396,0.4786892,0.026269723,0.9050588,0.049668226,0.05487845,0.108425654,11.41829,0.11023863,0.62891525,-0.61219037,TASCA_DESTRA_DAVANTI_PANTALONI
0.42092812,2.871692,1.6946068,7.943951,-0.9577205,-1.5446043,3.1553128,1.77632,7.613259,-3.4202602,9.442288,9.586569,3.0962186,12.335455,0.24252483,107.33338,5012.0103,70.795555,259.12894,0.093073346,-0.27251518,0.044579037,0.003921689,-0.16358368,-0.014390717,0.08797159,0.9539986,0.54731494,0.023936627,0.57370627,0.02509084,0.043734647,0.9101132,0.29955366,5.729621E-4,0.3291389,6.2955037E-4,0.0019127193,0.6596943,-0.9839695,-0.14613545,-1.4915537,-0.22151993,0.14851624,2.355934,0.24917191,0.014201758,0.10576354,0.00602808,0.056995824,1.0434364,0.6439934,0.030656364,0.6171851,0.029380195,0.04760354,0.11008098,12.48042,-0.2339515,-0.8413163,-0.18907717,TASCA_DESTRA_DAVANTI_PANTALONI
-0.19655818,0.5169019,0.7189589,3.28485,-1.5780472,0.027920889,1.2737681,1.1286134,5.0906076,-0.8743061,9.138724,2.2626882,1.5042235,7.9923143,0.39386454,87.60905,830.20355,28.813253,149.16563,0.16040525,-7.0398254,-0.021508273,-0.002243583,0.0030552282,3.186987E-4,0.10431256,0.6370285,0.47796017,0.024952369,0.75029635,0.039169937,0.052205957,0.40580535,0.22844593,6.226207E-4,0.5629446,0.0015342841,0.002725462,0.8467439,-0.38716397,-0.07055487,-0.45723855,-0.083324924,0.18223512,0.46913257,0.09663219,0.0071717575,0.20598055,0.015287274,0.074217066,0.6452766,0.4110011,0.022021493,0.63693786,0.034127213,0.05358013,0.10387364,10.634531,-0.34191447,0.3962093,0.2814908,TASCA_DESTRA_DAVANTI_PANTALONI
0.5876617,4.5168715,2.1252933,7.8882036,-0.8598075,-1.5739373,4.313339,2.076858,8.917045,-1.8248968,9.706332,9.140946,3.0233998,11.810788,0.1864037,115.006615,2478.6812,49.786354,186.94464,0.117095746,-0.37337047,0.060544156,0.0051098075,-0.16215572,-0.013685624,0.08439803,1.0233214,0.70294815,0.04268827,0.68692803,0.041715406,0.06072748,1.0471867,0.4941361,0.0018222883,0.4718701,0.0017401751,0.0036878267,0.63307434,-1.3476803,-0.14708583,-2.1287868,-0.23233579,0.10914,1.3436675,0.2921731,0.020031374,0.2174445,0.014907984,0.06855995,0.88462085,0.66788125,0.0421954,0.7549915,0.04769885,0.063177995,0.11322598,13.554258,-0.52910364,-0.8436711,0.47716942,TASCA_DESTRA_DAVANTI_PANTALONI
-0.5888162,0.45530024,0.6747594,2.7426567,-2.0408907,-0.34652308,0.75947565,0.871479,4.1983194,-1.3855671,9.256077,0.62142944,0.78830796,3.176495,0.70100826,87.97801,197.39282,14.049656,56.42064,0.5064493,1.6992122,-0.06361402,-0.0066927657,-0.03743736,-0.003938746,0.10520898,0.7742693,0.8559591,0.048026755,1.1055057,0.062028494,0.056108702,0.59949285,0.732666,0.0023065694,1.222143,0.0038475343,0.0031481867,0.75488186,-0.24716005,-0.031794224,-0.32741556,-0.042118143,0.1286382,0.51249164,0.08489492,0.007889772,0.16565132,0.015394928,0.09293574,0.6532749,0.86342233,0.048610877,1.3216829,0.07441106,0.05630023,0.10668112,10.756604,-0.29461214,0.0869994,0.23802543,TASCA_DESTRA_DAVANTI_PANTALONI
0.056849178,2.4957097,1.5797815,13.641987,-2.5033462,0.034749076,1.2162691,1.1028459,7.3647,-0.84093267,9.690778,4.8655105,2.2057903,15.58843,0.13943169,102.493065,2271.3706,47.658897,336.4271,0.02273279,1.6359911,0.0058663175,5.5466365E-4,0.0035857882,3.3903832E-4,0.09455057,1.432459,0.71619755,0.033147674,0.49997768,0.023140399,0.046282865,2.0519388,0.5129389,0.0010987681,0.24997771,5.3547806E-4,0.0021421034,2.897591,-3.8595529,-1.2456187,-1.3319867,-0.42988074,0.32273653,0.9733688,0.21496984,0.011311415,0.22085138,0.011620893,0.05261861,1.852348,0.87513536,0.04054961,0.47244653,0.021890923,0.046335243,0.050473996,11.552948,0.114072576,-0.23669904,-0.26466906,TASCA_DESTRA_DIETRO_PANTALONI
