@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
0.114,0.4307,0.6563,3.9594,-0.78,-0.2445,0.1281,0.3578,1.6207,-1.608,-0.192,0.2423,0.4922,1.87,-1.8776,0.8537,0.1818,0.4264,2.247,0.0238,-0.4661,-0.5934,0.1335,1.273,-0.2864,-0.225,1.834,1.3332,1.539,0.727,0.8391,1.1543,3.3635,1.7775,2.3684,0.5285,0.7042,1.3324,1.7362,1.4219,-31.631,0.819,-18.2186,-22.2456,3.5794,3.4229,0.9664,0.9563,0.27,0.2823,2.4429,2.1173,1.7621,0.8667,0.7213,0.8322,0.0012,1.2736,-0.1725,0.1783,-0.0765,-0.0627,-0.0893,-0.6072,0,0,0,0,0,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
1.37,17.3391,4.164,22.1056,-0.6935,-0.0898,8.4471,2.9064,12.5179,-1.2364,-1.2936,11.8708,3.4454,20.1792,-0.5667,5.9439,5.885,2.4259,13.7144,0.1083,-15.265,-1.0591,0.2305,0.0694,-0.0151,-0.2176,1.4327,1.2086,1.7165,0.8436,1.1981,1.4203,2.0527,1.4607,2.9463,0.7116,1.4354,2.0171,1.308,1.2401,-5.436,0.9481,-4.156,-4.3834,2.3321,1.0135,0.8488,0.4346,0.3639,0.8375,1.7659,1.0955,1.6119,0.6203,0.9128,1.4714,0.0068,9.0089,-0.1342,-0.175,0.4514,-0.439,-0.3173,0.0171,0.3841,0.5626,0.7501,3,0,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
0.2955,0.8218,0.9065,4.8954,-0.4116,-0.1269,0.2971,0.545,2.235,-0.8881,0.1928,0.0752,0.2742,1.7739,-1.3313,0.9469,0.438,0.6618,3.5789,0.0233,-2.3285,1.5325,0.3121,-0.6581,-0.134,0.2036,1.6632,3.3064,1.3697,1.988,0.8236,0.4143,2.7661,10.9326,1.8761,3.9523,0.6782,0.1716,1.3577,1.409,-16.724,1.0378,-12.3177,-11.8695,2.9297,4.5579,0.9465,1.5557,0.3231,0.2077,2.1903,2.7597,1.3678,1.2599,0.6245,0.4957,0.0014,1.363,0.2918,-0.1781,0.7379,0.0502,0.4658,0.0361,0,0,0,0,0,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
1.3055,6.0619,2.4621,16.4748,-0.2208,-0.4248,3.6895,1.9208,9.4589,-1.0072,-0.1947,2.2328,1.4942,10.9593,-1.3085,3.042,4.6532,2.1571,13.4435,0.0069,-3.0735,-6.7054,0.4292,2.1817,-0.1396,-0.064,1.2818,1.6477,1.1414,1.2855,0.8904,0.6927,1.643,2.715,1.3027,1.6524,0.7929,0.4798,0.6278,0.4797,-32.1006,0.7641,-51.1293,-66.9164,2.8637,2.8426,0.9969,0.9926,0.3481,0.3507,1.7417,1.5033,1.2255,0.8631,0.7036,0.8152,0.005,4.3844,0.3001,0.0712,0.7286,-0.047,0.0438,-0.0215,3.6272,0.2338,0.4835,1,0.75,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
0.1149,0.7196,0.8483,4.4632,-0.582,-0.0841,0.157,0.3963,2.0954,-0.7157,0.0122,0.281,0.5301,2.9749,-0.8437,0.9472,0.2809,0.53,2.9442,0.0191,-1.3663,9.41,0.1214,-6.887,-0.0888,0.0129,2.1407,1.6004,1.6005,0.7476,0.7477,1.0001,4.5826,2.5612,2.5617,0.5589,0.559,1.0002,1.8786,1.2061,-28.7127,0.642,-15.2841,-23.8055,2.31,1.7485,0.94,0.7569,0.4069,0.5376,2.13,1.5003,1.5159,0.7043,0.7117,1.0104,0.0005,1.3684,0.5151,-0.0639,0.2668,-0.1427,0.2676,-0.1427,0,0,0,0,0,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
-1.8163,13.5993,3.6877,14.65,-3.4191,-0.6096,8.9255,2.9876,14.1271,-1.0783,-0.583,9.2583,3.0428,11.2373,-1.4141,5.3963,6.6732,2.5833,10.7406,0.0742,2.9793,3.1155,-0.3366,1.0457,-0.113,-0.108,1.2344,1.212,1.4276,0.9819,1.1565,1.1779,1.5236,1.4689,2.0379,0.9641,1.3375,1.3874,1.5464,1.722,-13.1684,1.1135,-8.5154,-7.6472,0.4877,0.7122,0.2858,1.4603,0.5859,0.4012,1.037,1.3037,1.364,1.2572,1.3153,1.0462,0.0071,7.7509,0.1945,-0.0129,-0.7609,0.5314,-0.2619,-0.2054,297.1519,8394.5586,91.6218,330,0.1316,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
0.9362,6.9386,2.6341,17.4313,-0.414,-0.0034,2.939,1.7144,7.5282,-0.9451,0.2248,9.8717,3.1419,13.7587,-0.7218,4.252,2.5965,1.6114,12.3651,0.0392,-279.1325,4.1644,0.2202,-0.0149,-0.0008,0.0529,1.5365,0.8384,1.6347,0.5456,1.0639,1.9498,2.3608,0.7029,2.6722,0.2977,1.1319,3.8019,1.3952,0.8848,-10.1231,0.6342,-7.2556,-11.441,3.1852,1.5427,0.9579,0.4844,0.3007,0.6209,2.3155,1.2669,1.4097,0.5472,0.6088,1.1127,0.0067,6.2715,0.1471,0.438,0.4975,0.1782,0.3766,0.349,2,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-1.8316,6.7027,2.589,8.6165,-6.2136,-1.1257,2.9383,1.7141,6.9101,-3.3984,-0.8591,1.5667,1.2517,5.5894,-1.7453,3.1598,6.5837,2.5659,8.4737,0.0145,1.6271,2.132,-0.5797,1.3103,-0.3563,-0.2719,1.5104,2.0684,1.009,1.3695,0.6681,0.4878,2.2812,4.2782,1.0181,1.8755,0.4463,0.238,1.3901,2.0887,-59.3658,1.5025,-42.7051,-28.4225,0.7603,0.5867,0.1389,0.7716,0.1827,0.2368,1.2469,1.5416,1.0169,1.2363,0.8155,0.6596,0.0177,4.8613,0.7329,0.5115,-0.9363,0.6818,-0.8695,-0.6753,13.8397,64.6384,8.0398,24,0,125000,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
-1.2976,12.5611,3.5442,19.5223,-2.9694,-1.0541,6.0207,2.4537,9.3061,-2.1956,-0.6595,18.7668,4.3321,20.4369,-0.6457,5.211,13.4241,3.6639,16.3312,0.0041,1.231,1.9675,-0.249,1.5983,-0.2023,-0.1266,1.4444,0.8181,0.9673,0.5664,0.6697,1.1824,2.0863,0.6693,0.9357,0.3208,0.4485,1.398,2.2841,1.8214,-215.5119,0.7974,-94.3549,-118.3253,1.6889,0.396,0.2999,0.2345,0.1776,0.7573,2.0978,0.9552,1.1954,0.4554,0.5698,1.2514,0.012,7.641,0.4774,0.0766,-0.6252,-0.1014,-0.5758,0.3464,34.8449,115.402,10.7425,45.0137,0.0843,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
1.1248,11.6503,3.4133,14.743,-0.8671,0.3394,1.9998,1.4141,8.5382,-0.3722,-1.3082,6.364,2.5227,13.1721,-2.3526,3.4853,10.9587,3.3104,11.8178,0.013,3.3144,-0.8598,0.3227,-0.2594,0.0974,-0.3754,2.4137,1.353,1.0311,0.5606,0.4272,0.7621,5.8258,1.8307,1.0631,0.3142,0.1825,0.5807,2.9565,0.7408,-43.921,0.2506,-14.8559,-59.2919,1.269,2.0097,0.6595,1.5837,0.5197,0.3281,1.7267,1.1193,1.2475,0.6482,0.7225,1.1146,0.0117,5.1928,-0.7096,-0.5716,0.5649,0.0148,0.0573,-0.7867,4.0472,0,0,0,1,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.0381,3.4565,1.8592,8.5197,-0.7748,0.0814,4.2714,2.0667,12.0561,-1.2972,0.5303,6.8892,2.6247,12.071,-0.5882,3.4614,2.9249,1.7102,7.1896,0.093,-0.4685,-0.0719,-0.011,0.1535,0.0235,0.1532,0.8996,0.7083,1.0871,0.7874,1.2085,1.5347,0.8092,0.5017,1.1818,0.62,1.4604,2.3554,0.5463,0.8319,-5.0473,1.5228,-9.2389,-6.0669,0.9147,0.6316,0.6056,0.6905,0.6621,0.9589,0.7067,0.7058,1.185,0.9988,1.6769,1.679,0.0036,5.106,0.328,0.2315,-0.0219,0.0568,-0.0695,0.3985,4.2088,0.2726,0.5221,3.9881,0.5007,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
-1.5741,36.8573,6.071,26.6632,-1.3701,-0.7647,18.8232,4.3386,19.621,-1.6282,-0.8055,10.0931,3.177,25.49,-0.9101,6.8584,22.4469,4.7378,19.1876,0.0495,2.0583,1.954,-0.2295,0.9493,-0.1115,-0.1175,1.3993,1.911,1.2814,1.3656,0.9157,0.6706,1.9581,3.6517,1.642,1.865,0.8386,0.4496,1.268,1.2691,-15.4268,1.0009,-12.1662,-12.1558,1.5069,0.843,0.5573,0.5594,0.3698,0.6611,1.3589,1.046,1.3896,0.7698,1.0226,1.3285,0.0065,10.3362,0.8095,-0.162,-0.5711,-0.2272,-0.6212,0.195,3.4576,138.3514,11.7623,47,0,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.4301,26.2193,5.1205,26.1164,-0.9414,-0.7408,18.4859,4.2995,18.6405,-1.3063,-1.2703,21.6333,4.6512,37.0395,-1.0751,7.3547,14.5951,3.8203,19.3661,0.0394,0.5805,0.3386,-0.0585,0.5832,-0.1007,-0.1727,1.1909,1.1009,1.3403,0.9244,1.1254,1.2175,1.4183,1.212,1.7964,0.8545,1.2666,1.4822,1.1995,0.6599,-15.9443,0.5502,-13.2925,-24.1609,1.6644,0.7537,0.6673,0.4528,0.4009,0.8854,1.4011,0.7051,1.3486,0.5033,0.9625,1.9126,0.0051,11.0562,0.456,0.1695,-0.2812,0.1688,-0.3559,-0.1951,0.1443,0.1235,0.3514,1,0,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
1.8749,7.7428,2.7826,17.9938,-0.1703,-0.2928,6.9523,2.6367,11.3079,-1.0038,-1.3407,7.815,2.7955,24.1846,-0.4122,4.3937,8.604,2.9333,19.7122,0.0115,-6.4031,-1.3985,0.4267,0.2184,-0.0666,-0.3051,1.0553,0.9954,0.9486,0.9432,0.8989,0.953,1.1137,0.9908,0.8999,0.8896,0.808,0.9083,0.4622,0.3709,-11.3986,0.8025,-24.6602,-30.7303,2.7246,0.8978,0.771,0.3295,0.283,0.8588,1.5913,0.744,0.9128,0.4676,0.5736,1.2269,0.0085,6.716,0.1183,-0.0488,0.7309,-0.4349,0.0194,-0.0595,1.9779,0.176,0.4195,2,0.3333,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.3216,26.9773,5.194,34.1946,-1.2406,1.2727,16.4763,4.0591,25.2338,-0.2173,-1.6089,9.3278,3.0541,23.8341,-0.5623,6.0306,20.7254,4.5525,26.8555,0.0439,-0.2527,0.1999,-0.0533,-0.7911,0.211,-0.2668,1.2796,1.7006,1.1409,1.329,0.8916,0.6709,1.6373,2.8921,1.3017,1.7664,0.795,0.4501,4.2033,2.2071,-15.358,0.5251,-3.6538,-6.9586,0.7362,1.0004,0.5433,1.3588,0.738,0.5431,1.3551,1.4347,1.2733,1.0587,0.9396,0.8875,0.0075,8.7993,-0.1306,-0.1649,-0.0583,0.2998,0.7358,0.444,1.3718,0.8473,0.9205,3,0,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.1056,0.5561,0.7457,3.3523,-1.0319,-0.0746,0.158,0.3974,1.8255,-0.7794,-0.1138,0.5003,0.7074,3.1943,-0.6337,0.9913,0.2615,0.5114,2.278,0.0495,1.416,0.9277,-0.1065,0.6552,-0.0752,-0.1148,1.8763,1.0543,1.4583,0.5619,0.7772,1.3833,3.5206,1.1115,2.1267,0.3157,0.6041,1.9134,2.1291,1.374,-14.3551,0.6453,-6.7422,-10.4477,1.6082,0.8438,0.6884,0.5247,0.4281,0.8159,1.8364,1.0494,1.4716,0.5715,0.8014,1.4023,0.0006,1.5112,0.3133,-0.1928,-0.384,0.4157,0.2127,0.3826,0.1355,0.1172,0.3423,1,0,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0781,0.6188,0.7867,3.849,-0.6377,-0.0419,0.2398,0.4897,2.463,-1.2541,-0.1584,0.5127,0.716,2.8114,-1.4426,1.0048,0.3946,0.6282,2.5971,0.0455,-1.8641,-0.4932,0.0777,0.2646,-0.0417,-0.1576,1.6064,1.0987,1.2522,0.6839,0.7795,1.1397,2.5806,1.2071,1.5681,0.4678,0.6076,1.299,1.0937,0.9026,-12.1114,0.8253,-11.0735,-13.4176,2.151,2.042,0.8638,0.9493,0.4016,0.423,1.5628,1.3691,1.482,0.8761,0.9483,1.0825,0.0007,1.5349,0.4536,-0.0389,0.019,0.2526,0.1011,-0.3807,?,?,?,?,?,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
-1.3453,8.419,2.9016,14.6278,-1.6048,0.5143,1.2171,1.1032,6.4731,-1.4515,0.9165,11.6788,3.4174,14.7411,-0.6102,3.9157,8.8963,2.9827,11.5899,0.0554,-2.616,-1.4679,-0.3436,0.5611,0.1313,0.234,2.6301,0.849,0.9728,0.3228,0.3699,1.1458,6.9173,0.7209,0.9464,0.1042,0.1368,1.3128,2.3514,1.6132,-13.2494,0.6861,-5.6346,-8.2129,2.1268,0.6134,0.4577,0.2884,0.2152,0.7461,2.2598,0.9923,1.2621,0.4391,0.5585,1.2719,0.0114,5.9458,-0.55,-0.7269,-0.5771,0.2827,0.2486,0.5776,4.1432,0,0,0,1,1100,0,0,0,1,TASCA_SINISTRA_DIETRO_PANTALONI
0.5045,11.6139,3.4079,17.2707,-0.673,0.8994,5.3522,2.3135,10.2727,-0.6079,-0.8766,9.7548,3.1233,14.3997,-1.4217,4.8793,4.7454,2.1784,11.3221,0.0255,0.5609,-0.5755,0.1034,-1.0261,0.1843,-0.1797,1.4731,1.0911,1.5644,0.7407,1.062,1.4337,2.1699,1.1906,2.4474,0.5487,1.1279,2.0556,1.7888,0.8218,-23.4376,0.4594,-13.1022,-28.5191,1.6158,1.7361,0.8885,1.0745,0.5499,0.5118,1.6812,1.1994,1.5254,0.7134,0.9073,1.2718,0.0049,7.3941,-0.0422,0.3948,0.2741,-0.0923,0.2794,-0.3019,0,0,0,0,0,1100,0,0,0,1,TASCA_SINISTRA_DIETRO_PANTALONI
1.8597,14.0223,3.7446,17.5359,-0.2462,-0.2042,6.3979,2.5294,11.7764,-1.0673,-0.1647,4.1455,2.0361,14.7708,-0.9693,3.9604,12.4083,3.5225,14.8333,0.0273,-9.1072,-11.2933,0.4696,1.24,-0.0516,-0.0416,1.4804,1.8392,1.0631,1.2423,0.7181,0.578,2.1917,3.3825,1.1301,1.5433,0.5156,0.3341,0.5698,0.4765,-8.3312,0.8363,-14.6217,-17.4837,2.4703,1.876,0.9228,0.7594,0.3736,0.4919,1.4891,1.1872,1.1822,0.7973,0.7939,0.9958,0.0067,5.8869,0.5267,0.105,0.8778,0.0692,0.3473,0.0221,0,0,0,0,0,1100,0,0,0,1,TASCA_SINISTRA_DIETRO_PANTALONI
1.1599,8.3961,2.8976,17.5435,-0.2192,-0.1315,6.1189,2.4736,12.9582,-0.7297,-0.3236,6.2238,2.4948,14.2332,-1.3379,3.9844,6.3305,2.516,14.7701,0.025,-8.8231,-3.585,0.2911,0.4063,-0.033,-0.0812,1.1714,1.1615,1.1516,0.9915,0.9831,0.9915,1.3722,1.349,1.3263,0.9831,0.9666,0.9832,0.577,0.3873,-8.3214,0.6712,-14.4219,-21.4883,1.9207,2.3635,0.9498,1.2305,0.4945,0.4019,1.3539,1.2326,1.1878,0.9104,0.8773,0.9636,0.0043,5.9424,0.4247,0.553,0.5614,-0.0854,0.2748,0.0382,0,0,0,0,0,1100,0,0,0,1,TASCA_SINISTRA_DIETRO_PANTALONI
0.1287,1.0082,1.0041,5.0523,-0.8552,-0.2248,1.4155,1.1898,4.7269,-1.233,-0.3182,1.1717,1.0825,4.7143,-1.5202,1.8165,0.464,0.6812,2.6378,0.1565,-0.5726,-0.4045,0.0709,0.7064,-0.1238,-0.1752,0.8439,0.9276,1.474,1.0991,1.7466,1.5891,0.7122,0.8604,2.1727,1.2081,3.0506,2.5252,0.8923,0.819,-4.7582,0.9178,-5.3323,-5.8097,1.2865,1.4559,0.8708,1.1317,0.6769,0.5981,1.0689,1.0717,1.9153,1.0027,1.792,1.7872,0.0014,2.7262,-0.2305,-0.3423,0.26,0.2978,-0.0826,-0.2651,0,0,0,0,0,1100,0,0,0,1,TASCA_SINISTRA_DIETRO_PANTALONI
0.131,0.6704,0.8188,4.0348,-0.527,-0.1506,0.2989,0.5467,2.5711,-1.1644,-0.0706,0.5625,0.75,2.9705,-1.5207,1.0163,0.5438,0.7375,3.0065,0.0309,-0.8696,-1.8542,0.1289,2.1324,-0.1482,-0.0695,1.4976,1.0917,1.1103,0.729,0.7414,1.017,2.2427,1.1918,1.2327,0.5314,0.5497,1.0344,1.0067,0.777,-14.5333,0.7719,-14.4366,-18.7037,2.2244,2.2422,0.8517,1.008,0.3829,0.3799,1.5693,1.3583,1.342,0.8655,0.8552,0.988,0.0007,1.5777,-0.4409,-0.3946,0.4062,0.6372,-0.2052,-0.2636,0,0,0,0,0,1100,0,0,0,1,TASCA_SINISTRA_DIETRO_PANTALONI
0.0605,1.1177,1.0572,6.1152,-0.8777,-0.2104,0.676,0.8222,3.7865,-0.8105,-0.2286,1.087,1.0426,5.32,-1.8268,1.4554,0.8626,0.9288,3.4814,0.0658,-0.2875,-0.2646,0.0416,0.9202,-0.1445,-0.1571,1.2859,1.014,1.1383,0.7886,0.8852,1.1226,1.6534,1.0282,1.2957,0.6219,0.7836,1.2601,1.6864,0.8314,-11.6581,0.493,-6.9132,-14.0218,1.5572,1.7305,0.8739,1.1113,0.5612,0.505,1.615,1.1495,1.7565,0.7117,1.0876,1.5281,0.0011,2.1029,-0.1036,-0.3955,0.0484,0.465,0.3693,-0.2491,0,0,0,0,0,1100,0,0,0,1,TASCA_SINISTRA_DIETRO_PANTALONI
0.0011,8.8033,2.967,25.5516,-1.8347,1.1556,32.9124,5.7369,42.7049,-0.2884,-0.5651,8.9022,2.9837,15.1729,-1.1134,5.5635,21.3198,4.6173,36.2413,0.0256,0.001,-0.0019,0.0002,-2.0451,0.2077,-0.1016,0.5172,0.9944,0.6426,1.9228,1.2425,0.6462,0.2675,0.9889,0.4129,3.6971,1.5437,0.4176,1.7298,2.0689,-17.3856,1.196,-10.0506,-8.4032,0.272,1.2555,0.2424,4.6165,0.8912,0.193,0.5983,1.684,0.705,2.8146,1.1783,0.4187,0.0044,8.1262,-0.1869,0.6081,-0.2537,-0.1477,0.7481,-0.1699,0,0,0,0,0,1100,0,0,0,1,TASCA_GIACCA
0.5561,7.4763,2.7343,16.3368,-0.9259,0.8202,6.0612,2.4619,12.6636,-0.4683,-0.5903,18.949,4.353,27.7086,-1.6768,5.1453,7.3423,2.7097,16.9106,0.0484,0.678,-0.9421,0.1081,-1.3894,0.1594,-0.1147,1.1106,0.6281,1.0091,0.5656,0.9086,1.6065,1.2335,0.3945,1.0183,0.3199,0.8255,2.5808,1.9445,0.4525,-9.1381,0.2327,-4.6994,-20.1944,0.9835,0.8195,0.4773,0.8332,0.4853,0.5825,1.2901,0.5896,0.9661,0.457,0.7489,1.6385,0.0038,7.4896,0.4908,0.4312,0.2959,0.3644,0.3476,0.1204,0,0,0,0,0,1100,0,0,0,1,TASCA_GIACCA
0.6396,6.3972,2.5293,13.4729,-1.0742,0.7648,7.8239,2.7971,11.6955,-0.7641,-0.4916,10.5473,3.2477,14.7752,-0.9662,4.7476,3.4645,1.8613,8.5656,0.0595,0.8363,-1.301,0.1347,-1.5557,0.1611,-0.1036,0.9042,0.7788,1.3588,0.8613,1.5028,1.7448,0.8176,0.6065,1.8465,0.7418,2.2583,3.0443,1.3774,0.961,-12.8686,0.6977,-9.3429,-13.3912,0.9798,0.8644,0.7132,0.8823,0.7279,0.8251,1.152,0.9119,1.5729,0.7916,1.3654,1.7249,0.0038,7.1127,0.2179,0.1681,0.2232,-0.1299,0.2581,0.2709,0.6156,0.2366,0.4864,1,0,1100,0,0,0,1,TASCA_GIACCA
0.0011,8.8033,2.967,25.5516,-1.8347,1.1556,32.9124,5.7369,42.7049,-0.2884,-0.5651,8.9022,2.9837,15.1729,-1.1134,5.5635,21.3198,4.6173,36.2413,0.0256,0.001,-0.0019,0.0002,-2.0451,0.2077,-0.1016,0.5172,0.9944,0.6426,1.9228,1.2425,0.6462,0.2675,0.9889,0.4129,3.6971,1.5437,0.4176,1.7298,2.0689,-17.3856,1.196,-10.0506,-8.4032,0.272,1.2555,0.2424,4.6165,0.8912,0.193,0.5983,1.684,0.705,2.8146,1.1783,0.4187,0.0044,8.1262,-0.1869,0.6081,-0.2537,-0.1477,0.7481,-0.1699,0,0,0,0,0,1100,0,0,0,1,TASCA_GIACCA
0.5561,7.4763,2.7343,16.3368,-0.9259,0.8202,6.0612,2.4619,12.6636,-0.4683,-0.5903,18.949,4.353,27.7086,-1.6768,5.1453,7.3423,2.7097,16.9106,0.0484,0.678,-0.9421,0.1081,-1.3894,0.1594,-0.1147,1.1106,0.6281,1.0091,0.5656,0.9086,1.6065,1.2335,0.3945,1.0183,0.3199,0.8255,2.5808,1.9445,0.4525,-9.1381,0.2327,-4.6994,-20.1944,0.9835,0.8195,0.4773,0.8332,0.4853,0.5825,1.2901,0.5896,0.9661,0.457,0.7489,1.6385,0.0038,7.4896,0.4908,0.4312,0.2959,0.3644,0.3476,0.1204,0,0,0,0,0,1100,0,0,0,1,TASCA_GIACCA
