@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.1141,0.0959,0.3097,2.5145,-0.3498,-0.0257,0.0953,0.3087,2.4286,-0.6527,0.1011,0.1262,0.3552,3.3445,-0.4156,0.3627,0.2097,0.458,2.5937,0.0145,-4.4467,1.1283,0.3147,-0.2537,-0.0708,0.2789,1.0032,0.8718,0.6762,0.8691,0.674,0.7756,1.0063,0.7601,0.4572,0.7553,0.4543,0.6015,0.6794,0.6635,-17.1207,0.9767,-25.2011,-25.8019,1.2677,0.7885,0.7079,0.622,0.5584,0.8977,1.0353,0.7518,0.9695,0.7262,0.9364,1.2895,0.0016,0.5521,0.0547,-0.0362,0.5213,-0.5857,-0.0075,0.397,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
-0.0945,7.9235,2.8149,23.6129,-0.3465,-0.5437,3.8424,1.9602,15.3511,-0.4614,-0.159,4.6385,2.1537,19.0225,-0.8002,3.2497,6.174,2.4848,20.0781,0.0196,0.1737,0.5942,-0.0291,3.4205,-0.1673,-0.0489,1.436,1.307,1.1329,0.9102,0.7889,0.8668,2.0621,1.7082,1.2834,0.8284,0.6224,0.7513,1.2536,0.7186,-15.159,0.5732,-12.0919,-21.0958,1.6695,1.6596,0.8563,0.9941,0.5129,0.516,1.5382,1.2413,1.1761,0.807,0.7646,0.9474,0.006,4.7554,0.3917,0.4174,0.3737,0.0292,0.0951,0.1644,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0352,0.033,0.1818,1.2535,-0.1599,0.0283,0.0797,0.2823,2.1153,-0.2167,-0.1161,0.0052,0.0722,0.473,-1.3668,0.22,0.0851,0.2917,1.9441,0.0338,1.2438,-0.3033,0.1601,-0.2438,0.1287,-0.5278,0.6438,2.5162,0.6231,3.9086,0.9679,0.2476,0.4144,6.3314,0.3883,15.2774,0.9369,0.0613,0.4585,0.6325,-2.5421,1.3794,-5.5441,-4.0193,0.6216,5.407,0.5371,8.6985,0.864,0.0993,0.5926,2.6497,0.6447,4.4717,1.0881,0.2433,0.0013,0.3242,0.8705,0.5265,0.8611,0.3593,0.9365,0.2831,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.0384,4.2932,2.072,11.8691,-0.4315,-0.7812,2.7101,1.6462,8.0814,-0.8878,-0.2013,1.239,1.1131,5.1101,-0.9083,2.6815,1.7039,1.3053,7.9602,0.0536,0.0491,0.1905,-0.0143,3.8807,-0.2913,-0.0751,1.2586,1.8615,1.5873,1.479,1.2612,0.8527,1.5841,3.4651,2.5197,2.1874,1.5906,0.7271,0.9414,1.471,-7.9401,1.5626,-8.4347,-5.3977,1.9369,3.0962,0.9858,1.5986,0.509,0.3184,1.4687,2.3227,1.4911,1.5815,1.0152,0.642,0.0084,4.0892,0.4703,0.31,0.1951,0.1792,-0.1028,0.0318,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.0226,0.0105,0.1024,0.7961,-3.3801,-0.0635,0.0121,0.1102,0.9447,-3.0307,-0.135,0.0077,0.0878,0.4695,-2.2155,0.1953,0.0149,0.1222,0.8859,0.0185,0.3566,0.1678,-0.1159,0.4704,-0.3251,-0.6911,0.9293,1.1668,0.8378,1.2556,0.9015,0.718,0.8636,1.3613,0.7019,1.5764,0.8127,0.5156,0.8649,1.8991,-36.8472,2.1957,-42.6029,-19.4028,0.7755,1.2448,0.2014,1.6051,0.2597,0.1618,0.8427,1.6956,0.8986,2.012,1.0663,0.53,0.0016,0.2894,0.5977,-0.1024,-0.5473,0.1737,-0.7189,-0.4586,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0277,0.0032,0.0565,0.3038,-0.7647,-0.0354,0.0021,0.0453,0.2719,-1.7545,-0.1017,0.0044,0.066,0.2978,-5.5591,0.1373,0.0031,0.0558,0.292,0.0649,-0.7834,-0.2729,0.2021,0.3483,-0.258,-0.7406,1.2465,0.8556,1.0114,0.6863,0.8114,1.1822,1.5539,0.732,1.0229,0.4711,0.6583,1.3975,0.7601,0.5216,-6.4925,0.6863,-8.5421,-12.4473,1.7438,3.7917,0.5512,2.1744,0.3161,0.1454,1.1172,1.0202,1.0402,0.9131,0.9311,1.0197,0.0012,0.2001,-0.3283,0.0475,0.1982,-0.2286,-0.0535,-0.8152,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-2.5735,4.5239,2.1269,6.75,-85.4,-0.0851,0.6155,0.7845,3.1758,-1.5054,-1.7867,4.9264,2.2195,8.2773,-9.0665,3.5041,7.6091,2.7585,9.0473,0.0379,30.2273,1.4404,-0.7344,0.0477,-0.0243,-0.5099,2.7112,0.9583,0.7711,0.3535,0.2844,0.8046,7.3505,0.9183,0.5945,0.1249,0.0809,0.6474,3.4964,0.8949,-18.7134,0.256,-5.3522,-20.9101,0.0616,0.095,0.0083,1.5416,0.1348,0.0874,2.1255,0.8155,0.7461,0.3837,0.351,0.9149,0.1425,5.204,0.0964,0.8105,-0.9602,0.0754,-0.0934,-0.9343,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0211,22.0367,4.6943,46.436,-1.2588,-0.1399,2.8534,1.6892,8.9096,-1.6122,0.3898,9.9049,3.1472,33.6442,-0.6117,3.8742,19.9574,4.4674,28.8703,0.0193,-0.1506,0.0541,0.0054,-0.3589,-0.0361,0.1006,2.779,1.4916,1.0508,0.5367,0.3781,0.7045,7.7229,2.2248,1.1042,0.2881,0.143,0.4963,4.7061,2.0266,-45.4544,0.4306,-9.6587,-22.4291,6.0274,0.9848,0.6983,0.1634,0.1159,0.7091,5.2119,1.3802,1.6084,0.2648,0.3086,1.1654,0.0043,5.6334,-0.1448,0.7315,-0.1549,0.0942,0.0353,0.0242,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0978,0.0169,0.1301,0.5258,-0.4656,-0.1341,0.0203,0.1425,0.652,-2.958,-0.0813,0.0128,0.1132,0.5176,-3.0972,0.2594,0.0169,0.1299,0.5407,0.111,-0.7292,-1.2025,0.3768,1.6491,-0.5168,-0.3134,0.9127,1.1492,1.0012,1.2592,1.097,0.8712,0.833,1.3206,1.0024,1.5855,1.2034,0.759,0.3428,0.4269,-2.4742,1.2453,-7.2178,-5.7959,2.1779,2.8399,0.5899,1.3039,0.2708,0.2077,0.8064,1.0158,0.9724,1.2596,1.2058,0.9573,0.002,0.3938,-0.3935,-0.2906,0.6504,0.197,-0.7655,-0.4706,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0268,0.0089,0.0945,0.4703,-0.8271,-0.0435,0.0032,0.0567,0.2626,-2.6238,-0.1156,0.0047,0.0688,0.3797,-5.6952,0.1705,0.0038,0.0617,0.2748,0.1766,-0.616,-0.232,0.1574,0.3766,-0.2555,-0.6784,1.6675,1.3745,1.5323,0.8243,0.9189,1.1148,2.7805,1.8892,2.3479,0.6795,0.8444,1.2428,1.1195,0.6592,-3.6133,0.5888,-3.2275,-5.4814,3.5514,4.539,0.7714,1.2781,0.2172,0.17,1.7906,1.2387,1.7117,0.6918,0.9559,1.3819,0.0013,0.2522,0.0536,-0.2278,0.4528,0.0044,-0.1879,-0.6445,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
