@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
6.0915036,37.45186,6.1197925,23.932251,-0.21117657,-0.44666195,45.00272,6.7084064,25.477112,-0.8840418,6.0915036,37.45186,6.1197925,23.932251,-0.21117657,11.646709,58.67291,7.6598244,29.778736,0.020238556,-13.637838,1.0,0.5230236,-0.0733254,-0.038350914,0.5230236,0.91225725,1.0,0.79894686,1.096182,0.87579113,0.79894686,0.8322132,1.0,0.63831604,1.2016151,0.7670102,0.63831604,0.3490514,1.0,-6.78354,2.8649077,-19.434216,-6.78354,1.4612228,1.0,0.650115,0.68435836,0.44491163,0.650115,0.9393628,1.0,0.80366915,1.0645515,0.85554713,0.80366915,0.08985686,18.530186,-0.79011106,0.9999993,-0.79011106,TASCA_DESTRA_DAVANTI_PANTALONI
5.021612,32.837124,5.7303686,21.662567,-0.12372395,3.1608524,16.836252,4.1032004,15.177246,-0.17251752,5.021612,32.837124,5.7303686,21.662567,-0.12372395,10.325502,36.31865,6.0264955,25.512344,0.06423597,1.5886892,1.0,0.48633102,0.6294497,0.30612093,0.48633102,1.3965608,1.0,0.9508625,0.7160448,0.6808601,0.9508625,1.950382,1.0,0.90413946,0.51272005,0.46357045,0.90413946,1.0680637,1.0,-1.3618891,0.93627363,-1.275101,-1.3618891,1.489281,1.0,0.7070763,0.6714649,0.47477695,0.7070763,1.4273056,1.0,0.84910136,0.70062083,0.59489816,0.84910136,0.08097186,14.909538,-0.5725004,0.9999999,-0.5725004,TASCA_DESTRA_DAVANTI_PANTALONI
3.8537776,15.987504,3.9984376,16.6745,-0.4070449,3.2353332,9.686909,3.11238,12.973022,-0.4877005,3.8537776,15.987504,3.9984376,16.6745,-0.4070449,8.300765,12.929813,3.595805,16.581873,0.021073481,1.1911533,1.0,0.46426776,0.83952254,0.38976327,0.46426776,1.2846881,1.0,1.1119729,0.77839905,0.8655586,1.1119729,1.6504238,1.0,1.2364837,0.605905,0.7491917,1.2364837,1.1342487,1.0,-13.513486,0.88164085,-11.914041,-13.513486,1.3589991,1.0,0.69961864,0.7358356,0.5148043,0.69961864,1.2853211,1.0,1.005586,0.77801573,0.7823617,1.005586,0.066716075,12.146025,-0.5977192,1.0000007,-0.5977192,TASCA_DESTRA_DAVANTI_PANTALONI
3.2816625,21.850462,4.6744475,17.082733,-0.3287307,4.8644466,12.80569,3.5785038,16.629272,-0.3672914,3.2816625,21.850462,4.6744475,17.082733,-0.3287307,8.932363,21.920986,4.6819854,18.702435,0.03044439,0.67462194,1.0,0.3673902,1.4823117,0.5445868,0.3673902,1.3062575,1.0,0.99839,0.76554585,0.76431334,0.99839,1.7063088,1.0,0.9967828,0.58606035,0.5841749,0.9967828,0.9461015,1.0,-7.19661,1.056969,-7.606594,-7.19661,1.0570809,1.0,0.66649204,0.9460014,0.6305024,0.66649204,1.0272688,1.0,0.91339624,0.973455,0.88915014,0.91339624,0.070770554,13.333517,-0.17941624,1.0000006,-0.17941624,TASCA_DESTRA_DAVANTI_PANTALONI
-1.5297146,5.009682,2.238232,11.233595,-2.89701,2.9126875,7.6703386,2.7695377,15.801732,-0.039042823,-1.5297146,5.009682,2.238232,11.233595,-2.89701,4.5654736,10.009964,3.1638527,18.942154,0.01625399,-0.52519006,1.0,-0.33506155,-1.9040725,0.6379815,-0.33506155,0.80816084,1.0,0.7074387,1.2373774,0.8753687,0.7074387,0.653124,1.0,0.50046957,1.5311029,0.76627034,0.50046957,14.064516,1.0,-26.682768,0.07110091,-1.8971692,-26.682768,0.1895466,1.0,0.14970656,5.275748,0.78981405,0.14970656,0.71090907,1.0,0.5930474,1.4066496,0.83420986,0.5930474,0.039012853,6.9691353,-0.3200028,1.0000007,-0.3200028,TASCA_DESTRA_DAVANTI_PANTALONI
1.4628254,28.502108,5.3387365,33.264156,-0.15217392,2.294756,19.127357,4.3734837,28.910004,-0.22222222,1.4628254,28.502108,5.3387365,33.264156,-0.15217392,5.8720055,51.196743,7.15519,47.019783,0.0035269705,0.63746446,1.0,0.24911854,1.5687149,0.39079595,0.24911854,1.2207057,1.0,0.7461348,0.81919825,0.61123234,0.7461348,1.4901226,1.0,0.5567172,0.6710857,0.37360495,0.5567172,0.8358209,1.0,-26.398655,1.1964285,-31.584103,-26.398655,1.2205639,1.0,0.6118478,0.81929344,0.50128293,0.6118478,1.1506106,1.0,0.7074502,0.8691038,0.61484766,0.7074502,0.032183323,9.686517,0.70706683,1.0000001,0.70706683,TASCA_DESTRA_DAVANTI_PANTALONI
6.9925504,27.45488,5.2397404,27.5763,-0.91553134,-3.5410187,5.0362344,2.2441556,11.846434,-29.200003,6.9925504,27.45488,5.2397404,27.5763,-0.91553134,12.216218,21.040411,4.5869827,20.056597,0.08678496,-1.9747285,1.0,0.57239896,-0.50639874,-0.2898621,0.57239896,2.3348382,1.0,1.1423066,0.4282952,0.4892444,1.1423066,5.45147,1.0,1.3048643,0.18343677,0.23936008,1.3048643,1.150685,1.0,-6.914986,0.86904764,-6.0094523,-6.914986,36.7,1.0,0.6554847,0.027247954,0.017860617,0.6554847,2.3278146,1.0,1.3749242,0.4295875,0.59065026,1.3749242,0.10941484,19.79799,-0.38104042,1.000001,-0.38104042,TASCA_DESTRA_DAVANTI_PANTALONI
3.0879824,18.96617,4.3550167,17.455837,-0.30116957,0.24830012,14.494916,3.807219,15.769093,-2.4067795,3.0879824,18.96617,4.3550167,17.455837,-0.30116957,7.1148453,20.939156,4.575932,19.500114,0.03478717,12.436492,1.0,0.43401963,0.08040853,0.034898877,0.43401963,1.143884,1.0,0.9517223,0.8742146,0.83200955,0.9517223,1.3084705,1.0,0.90577525,0.7642511,0.69223976,0.90577525,0.36267602,1.0,-5.748899,2.7572818,-15.851335,-5.748899,2.898305,1.0,0.6640376,0.34502926,0.2291124,0.6640376,1.1069652,1.0,0.89516586,0.90337074,0.80866665,0.89516586,0.045094017,11.522106,-0.8209127,0.9999996,-0.8209127,TASCA_DESTRA_DAVANTI_PANTALONI
5.289009,20.890589,4.5706224,12.488155,0.042584434,2.1060266,3.2502286,1.802839,6.531382,-0.43881857,5.289009,20.890589,4.5706224,12.488155,0.042584434,8.7150345,29.462156,5.4279056,15.375484,0.1664805,2.5113685,1.0,0.60688335,0.39818928,0.24165443,0.60688335,2.5352361,1.0,0.84206,0.3944406,0.33214268,0.84206,6.427421,1.0,0.70906514,0.1555834,0.110318765,0.70906514,-0.27884614,1.0,0.1808724,-3.586207,-0.6486458,0.1808724,2.8734179,1.0,0.7071064,0.34801763,0.2460855,0.7071064,1.9120234,1.0,0.81221217,0.52300614,0.42479196,0.81221217,0.08830254,13.01009,-0.9122843,1.0000001,-0.9122843,TASCA_DESTRA_DAVANTI_PANTALONI
4.3974056,28.942139,5.37979,14.882358,-0.023715414,1.316976,3.5655334,1.888262,5.5737014,-0.469697,4.3974056,28.942139,5.37979,14.882358,-0.023715414,7.559718,44.709244,6.686497,19.069752,0.07266236,3.3390174,1.0,0.5816891,0.2994893,0.17420967,0.5816891,2.8490696,1.0,0.8045752,0.3509918,0.2823993,0.8045752,8.117197,1.0,0.64734125,0.12319523,0.07974935,0.64734125,0.19354838,1.0,-0.23073131,5.166667,-1.1921118,-0.23073131,3.8333335,1.0,0.7069445,0.26086956,0.1844203,0.7069445,2.670103,1.0,0.78041697,0.37451738,0.2922797,0.78041697,0.07306655,10.897746,-0.8996163,1.0000002,-0.8996163,TASCA_DESTRA_DAVANTI_PANTALONI
