@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
-0.4265,0.5526,0.7433,3.9244,-1.5322,0.1274,2.0931,1.4468,7.5448,-0.8903,-0.1676,2.0955,1.4476,6.7517,-1.2439,2.0813,0.6355,0.7972,3.9592,0.0645,-3.349,2.5453,-0.2049,-0.76,0.0612,-0.0805,0.5138,0.5135,0.9325,0.9994,1.8149,1.8159,0.264,0.2637,0.8695,0.9989,3.2937,3.2975,0.6683,0.6344,-8.7024,0.9494,-13.0224,-13.7166,0.3883,0.5151,0.3662,1.3266,0.9431,0.711,0.5201,0.5812,0.9912,1.1175,1.9056,1.7053,0.0013,3.0461,-0.2022,-0.156,-0.1412,0.3277,-0.0628,-0.3309,?,?,?,?,?,DAVANTI_PANTALONI
0.191,0.8244,0.908,3.1614,-0.9248,0.4875,3.3442,1.8287,7.3008,-0.7046,0.127,1.0561,1.0277,4.8381,-0.7908,2.0141,1.4582,1.2075,4.9678,0.0258,0.3917,1.5035,0.0948,3.8383,0.2421,0.0631,0.4965,0.8835,0.7519,1.7795,1.5144,0.851,0.2465,0.7806,0.5654,3.1666,2.2934,0.7242,0.5033,0.711,-11.5487,1.4125,-22.944,-16.2434,0.3835,0.6079,0.3221,1.5853,0.8399,0.5298,0.433,0.6534,0.6364,1.509,1.4696,0.9739,0.0014,3.1154,0.8641,0.2972,0.255,0.5523,0.4058,0.2372,?,?,?,?,?,DAVANTI_PANTALONI
-0.3801,5.8912,2.4272,13.0573,-0.9139,-0.5706,8.5892,2.9307,14.2307,-1.521,-0.356,9.4234,3.0698,24.3438,-0.9101,4.2445,6.485,2.5466,13.986,0.0149,0.6663,1.0678,-0.0896,1.6026,-0.1344,-0.0839,0.8282,0.7907,0.9531,0.9547,1.1509,1.2054,0.6859,0.6252,0.9084,0.9115,1.3245,1.4531,0.7262,0.5375,-29.5454,0.7402,-40.6861,-54.9653,1.2086,0.5353,0.4806,0.4429,0.3976,0.8977,0.9175,0.5364,0.9336,0.5846,1.0175,1.7406,0.0021,6.3326,-0.3599,-0.1827,0.0541,0.0376,-0.3581,-0.1267,?,?,?,?,?,DAVANTI_PANTALONI
0.0872,1.9515,1.397,5.0816,-0.8559,-0.065,4.3527,2.0863,8.138,-0.8373,-0.0744,2.8325,1.683,8.641,-0.5011,2.7719,1.4708,1.2128,5.5266,0.0537,-1.3409,-1.1719,0.0314,0.8739,-0.0235,-0.0268,0.6696,0.83,1.1519,1.2396,1.7203,1.3877,0.4483,0.689,1.3268,1.5367,2.9594,1.9258,0.6319,0.8124,-7.4785,1.2857,-11.8349,-9.2049,0.6182,0.4757,0.4689,0.7695,0.7584,0.9857,0.6244,0.5881,0.9195,0.9418,1.4725,1.5635,0.0004,4.2027,0.9056,-0.0133,0.356,0.1341,0.4759,0.2469,?,?,?,?,?,DAVANTI_PANTALONI
0.7511,5.3826,2.32,15.5829,-0.706,-1.3102,12.9079,3.5928,20.8578,-1.5116,0.5619,11.5883,3.4042,18.5455,-0.762,4.9071,8.3954,2.8975,15.3441,0.0055,-0.5733,1.3367,0.1531,-2.3315,-0.267,0.1145,0.6458,0.6815,0.8007,1.0554,1.24,1.1749,0.417,0.4645,0.6411,1.1139,1.5375,1.3803,0.5137,0.8041,-75.5695,1.5652,-147.1098,-93.9856,1.0999,0.8678,0.592,0.789,0.5382,0.6822,0.7471,0.8402,1.0156,1.1247,1.3593,1.2086,0.0042,7.6284,-0.654,0.0732,0.37,0.3992,-0.455,0.1591,?,?,?,?,?,DAVANTI_PANTALONI
0.4883,6.7812,2.6041,14.2922,-1.313,-2.0583,11.7257,3.4243,15.3833,-4.6869,0.9931,14.5444,3.8137,18.2684,-0.3438,4.87,14.7958,3.8465,14.8156,0.0355,-0.2372,0.4917,0.1003,-2.0727,-0.4226,0.2039,0.7605,0.6828,0.677,0.8979,0.8902,0.9915,0.5783,0.4662,0.4583,0.8062,0.7925,0.983,0.6399,1.736,-14.8602,2.7128,-23.2221,-8.5602,2.2843,0.4545,0.4023,0.199,0.1761,0.885,0.9291,0.7823,0.9647,0.8421,1.0383,1.2331,0.0135,7.5271,-0.5092,-0.2207,0.134,-0.2863,-0.8569,0.6057,?,?,?,?,?,DAVANTI_PANTALONI
-0.4576,8.2864,2.8786,19.2678,-1.0655,-0.9197,16.4539,4.0563,20.7904,-1.3854,0.9745,15.1076,3.8868,31.2535,-0.4407,5.6229,10.2361,3.1994,22.1774,0.02,0.4976,-0.4696,-0.0814,-0.9438,-0.1636,0.1733,0.7097,0.7406,0.8997,1.0436,1.2678,1.2149,0.5036,0.5485,0.8095,1.0891,1.6074,1.4759,0.8232,1.0398,-22.0084,1.2631,-26.7363,-21.1668,1.0703,0.43,0.4122,0.4017,0.3851,0.9587,0.9268,0.6165,0.8688,0.6652,0.9375,1.4092,0.0038,8.6146,0.4901,-0.1549,-0.2598,0.265,-0.3004,0.3987,?,?,?,?,?,DAVANTI_PANTALONI
-1.2893,7.5828,2.7537,13.8303,-1.2078,-1.3924,13.5053,3.675,18.3627,-1.4743,0.6032,13.0209,3.6084,27.7371,-0.4689,5.4659,8.1977,2.8632,20.1526,0.0127,0.926,-2.1375,-0.2359,-2.3084,-0.2547,0.1104,0.7493,0.7631,0.9618,1.0184,1.2835,1.2603,0.5615,0.5824,0.925,1.0372,1.6474,1.5883,0.6915,0.8545,-29.2495,1.2357,-42.2979,-34.2298,0.8441,0.3317,0.3069,0.393,0.3636,0.9251,0.7532,0.4986,0.6863,0.662,0.9112,1.3764,0.0054,8.483,0.0657,-0.1733,-0.1191,0.402,-0.2831,0.2566,?,?,?,?,?,DAVANTI_PANTALONI
0.0209,2.5581,1.5994,7.4194,-0.4875,-0.4528,6.1268,2.4752,9.2656,-1.2492,-0.0802,4.0621,2.0155,9.057,-0.5622,3.361,1.6624,1.2893,4.9397,0.2124,-0.0461,-0.2604,0.0062,5.6455,-0.1347,-0.0239,0.6462,0.7936,1.2405,1.2281,1.9198,1.5632,0.4175,0.6297,1.5388,1.5083,3.6856,2.4436,0.4725,0.7461,-1.8252,1.5789,-3.8626,-2.4464,1.2108,0.8603,0.7952,0.7105,0.6568,0.9244,0.8007,0.8192,1.502,1.023,1.8757,1.8335,0.0012,5.0608,0.678,-0.088,0.035,0.521,-0.0441,-0.0406,?,?,?,?,?,DAVANTI_PANTALONI
-0.0175,1.6635,1.2898,5.9157,-0.6082,-0.4666,3.8774,1.9691,9.0041,-1.4068,0.0402,5.5204,2.3496,9.2875,-0.7883,3.1157,1.5735,1.2544,5.3873,0.1336,0.0374,-0.4348,-0.0056,-11.6191,-0.1497,0.0129,0.655,0.5489,1.0282,0.8381,1.5698,1.873,0.429,0.3013,1.0572,0.7024,2.4642,3.5083,0.4251,0.5465,-2.6924,1.2855,-6.3336,-4.9269,0.9832,0.7083,0.5915,0.7204,0.6016,0.8352,0.657,0.637,1.0981,0.9695,1.6714,1.724,0.0013,4.6191,0.3866,-0.205,-0.0082,0.5058,-0.3807,-0.1994,?,?,?,?,?,DAVANTI_PANTALONI
