@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
5.1746,7.7541,2.7846,12.423,-0.066,-3.1771,5.1304,2.265,9.5446,-14.3677,-0.6352,13.2177,3.6356,13.8246,-1.7388,7.7722,2.9691,1.7231,6.9938,0.4217,-1.6287,-8.1467,0.6658,5.0018,-0.4088,-0.0817,1.2294,0.7659,1.616,0.623,1.3145,2.1099,1.5114,0.5866,2.6116,0.3881,1.7279,4.4517,0.0862,0.0876,-0.1508,1.0167,-1.7496,-1.7208,18.7641,2.3088,0.9636,0.123,0.0514,0.4174,1.3016,0.8986,1.7763,0.6904,1.3647,1.9767,0.0636,11.3205,0.7536,0.6167,0.2518,0.4848,-0.1982,-0.265,0.0658,0.0163,0.1276,0.3325,-0.2871,-0.4429,0.025,0.1582,0.649,?,-0.1126,0.0046,0.0681,0.2135,-5.9538,-0.1485,-0.5843,3.9353,0.8062,1.8733,2.3237,0.6499,3.5093,5.3994,0.1143,0.4057,3.5498,0,8.4133,0,0.5124,1.5573,3.0393,0.0048,0.6706,0.9911,-0.8108,-0.8751,140.2292,2972.2996,54.5188,221,0.0636,DESTRA_PANTALONI
3.8421,3.4548,1.8587,11.7008,-0.4325,-2.1979,5.024,2.2414,10.345,-1.8151,-0.0398,4.6928,2.1663,8.9518,-0.8443,5.5736,1.7003,1.3039,5.571,0.3411,-1.7481,-96.6413,0.6893,55.2837,-0.3943,-0.0071,0.8293,0.858,1.4255,1.0347,1.719,1.6613,0.6877,0.7362,2.0319,1.0706,2.9548,2.76,0.5297,0.8621,-1.2251,1.6276,-2.3131,-1.4211,2.2226,1.6828,0.9661,0.7571,0.4347,0.5741,1.1311,1.3071,2.1003,1.1556,1.8569,1.6069,0.0466,8.4022,0.1605,0.1092,0.549,-0.4561,-0.3709,0.3301,0.3823,0.0123,0.1107,0.3075,0.4224,-0.0013,0.0455,0.2134,0.6115,-1.1659,0.8102,0.0012,0.0351,0.0931,0.8905,-291.5168,0.4719,-0.0016,0.5188,3.1523,6.0758,0.2692,9.9373,36.915,-0.6831,0.2971,-0.4349,1.8858,0.6264,0.3322,0.5029,3.3047,6.5711,0.0094,1.3814,-0.945,-0.958,0.948,36.4842,11.0287,3.3209,12,0.7273,DESTRA_PANTALONI
4.3075,6.8066,2.609,12.0814,-0.1592,-1.4032,10.4292,3.2294,14.076,-2.1133,-0.1327,18.7643,4.3318,17.1545,-0.949,7.2702,3.6844,1.9195,7.7799,0.3305,-3.0698,-32.4585,0.5925,10.5734,-0.193,-0.0183,0.8079,0.6023,1.3592,0.7455,1.6824,2.2567,0.6527,0.3627,1.8474,0.5558,2.8306,5.0929,0.1737,0.1987,-0.4321,1.1439,-2.4879,-2.175,2.3051,1.1841,0.8969,0.5137,0.3891,0.7574,0.8583,0.7043,1.5529,0.8205,1.8093,2.205,0.0477,10.9789,0.8232,-0.0715,0.6263,0.0454,0.4133,-0.0017,0.4155,0.014,0.1184,0.3814,0.3627,0.0622,0.0308,0.1755,0.5006,-0.5514,0.764,0.0003,0.016,0.0483,0.9388,6.68,0.5439,0.0814,0.6748,7.3934,10.9562,0.4554,54.6625,120.038,-1.22,0.293,-0.2402,1.8546,0.7584,0.4089,0.7618,7.8924,10.3598,0.0092,1.3473,-0.9915,0.6365,-0.6658,24.1789,30.968,5.5649,21,0.3,DESTRA_PANTALONI
2.8935,46.1658,6.7945,35.2631,-0.2283,0.5365,38.2051,6.181,29.6684,-0.2954,0.4208,52.6061,7.253,27.8019,-0.7958,9.8217,49.3481,7.0248,33.8844,0.0787,5.3932,6.8764,0.2946,1.275,0.0546,0.0428,1.0993,0.9368,0.9672,0.8522,0.8799,1.0325,1.2084,0.8776,0.9355,0.7262,0.7742,1.066,0.9686,0.5319,-2.2627,0.5492,-2.3361,-4.254,1.2536,1.8545,0.7806,1.4794,0.6227,0.4209,1.1886,1.2684,1.0407,1.0671,0.8756,0.8205,0.0619,15.6607,0.7531,-0.0492,0.9001,-0.377,0.8123,0.0166,-0.0727,0.018,0.1341,0.3434,-1.6846,-0.237,0.0497,0.223,0.6425,-8.0329,-0.693,0.0005,0.0222,0.7336,?,0.3068,0.1049,0.3421,0.6012,6.0347,10.0378,0.3614,36.4176,100.7575,0.3772,0.2937,0.7788,1.7984,0,0,0.5345,0.4681,0.8758,0.0153,1.0898,0.8582,0.3742,-0.0378,246.0625,3693.5583,60.7747,250,0.1857,DESTRA_PANTALONI
2.9638,0.8645,0.9298,3.4011,0.3225,-0.1369,0.5719,0.7562,2.8104,-1.6546,-2.2216,4.1568,2.0388,7.1186,-1.6253,4.3667,0.2634,0.5132,2.4332,0.5692,-21.6566,-1.3341,0.6787,0.0616,-0.0313,-0.5088,1.2296,0.4561,1.8117,0.3709,1.4734,3.9725,1.5118,0.208,3.2821,0.1376,2.171,15.7808,-0.9242,-0.3673,0.5036,0.3975,-0.5449,-1.371,4.7418,1.8513,0.8889,0.3904,0.1875,0.4801,1.2102,0.4778,1.3978,0.3948,1.155,2.9256,0.0842,6.4481,-0.222,0.883,0.4714,-0.1816,-0.2742,0.2945,0.161,0.2115,0.4599,1.228,-1.086,0.0282,0.0015,0.0388,0.1202,-0.4181,0.4694,0.5241,0.7239,1.7574,-0.8499,5.7004,0.343,0.0602,11.8375,0.6352,0.0537,140.127,0.4035,0.0029,18.0389,0.7918,0.0439,6.945,0.6197,0.0892,10.2158,0.6987,0.0684,0.0113,1.3758,0.8179,0.9665,0.932,0,0,0,0,0,DESTRA_PANTALONI
-0.0838,3.8776,1.9692,6.9735,-1.4948,0.1476,10.0779,3.1746,10.2578,-0.64,0.2552,1.0743,1.0365,3.5725,-0.3834,3.5242,2.7038,1.6443,7.3569,0.0593,-0.5675,-0.3283,-0.0238,0.5785,0.0419,0.0724,0.6203,1.8999,1.1976,3.0628,1.9306,0.6303,0.3848,3.6095,1.4342,9.3809,3.7274,0.3973,1.0438,4.2203,-9.0155,4.0432,-8.6371,-2.1362,0.4469,1.0824,0.3574,2.422,0.7998,0.3302,0.6798,1.952,0.9479,2.8713,1.3943,0.4856,0.006,5.4571,-0.9504,-0.8725,-0.4526,0.9048,0.4048,0.4489,0.6357,0,0.0059,0.0175,0.973,-0.0989,0.0002,0.0124,0.1115,?,-0.541,0,0.0062,0.5586,?,-6.4281,-1.1751,0.1828,0.475,0.9539,2.0084,0.2256,0.9099,4.0336,-5.6364,-1.1253,0.1996,0,0,1,0.1566,0.0313,0.1996,0.0165,1.2756,-0.3444,-0.5914,0.1991,4.0425,0.0002,0.014,0.0472,0.9883,DESTRA_PANTALONI
0.5691,3.2448,1.8013,6.5171,-0.6676,-0.3387,5.1373,2.2666,7.5532,-1.7608,0.7343,2.5784,1.6057,6.4805,-0.8202,3.1697,1.891,1.3751,5.5386,0.0828,-1.6803,0.775,0.1795,-0.4613,-0.1069,0.2317,0.7947,1.1218,1.3099,1.4115,1.6483,1.1677,0.6316,1.2584,1.7159,1.9924,2.7167,1.3635,0.5416,0.8934,-5.2153,1.6497,-9.6296,-5.8373,1.4285,1.0977,0.6472,0.7684,0.453,0.5896,0.8628,1.0057,1.1767,1.1655,1.3637,1.1701,0.0194,4.8947,-0.7518,0.2905,0.5918,-0.2286,-0.8161,0.2986,-0.6509,0.0001,0.01,0.664,?,-0.2165,0.0026,0.0515,0.2923,?,-0.39,0.0081,0.0902,0.6039,?,3.0069,1.669,0.5551,0.1938,0.1106,0.5705,0.0376,0.0122,0.3254,2.2715,1.0994,0.484,1,1,1,2.2715,1.0994,0.484,0.0155,1.2573,-0.5468,0.2502,-0.912,4.0472,0,0,0,1,DESTRA_PANTALONI
-1.756,3.6662,1.9147,8.5891,-2.186,2.2269,4.4195,2.1023,8.8537,-0.4066,-2.8232,7.8257,2.7974,11.5204,-2.304,5.3632,3.1604,1.7777,7.9848,0.1364,-0.7885,0.622,-0.3274,-0.7888,0.4152,-0.5264,0.9108,0.6845,1.0771,0.7515,1.1825,1.5736,0.8296,0.4685,1.1601,0.5647,1.3984,2.4762,2.3029,0.7336,-4.6712,0.3185,-2.0285,-6.3678,0.4283,0.7732,0.2916,1.8052,0.6808,0.3771,0.9701,0.7456,1.0757,0.7685,1.1088,1.4428,0.0426,8.3364,0.3832,0.0009,-0.2387,-0.5251,0.3369,-0.778,0.5915,0.0018,0.0421,0.177,0.7363,-0.5301,0.0023,0.048,0.5897,?,0.0704,0.0146,0.1207,0.4276,-0.226,-1.1159,8.405,-7.532,0.878,0.3488,0.3972,0.7709,0.1216,0.1578,-0.8379,-6.2691,7.4817,0,1.924,0,0.3001,0.4139,1.379,0.0085,1.2156,0.4506,-0.9684,-0.3383,1.9468,0.0504,0.2244,1,0.5,SINISTRA_PANTALONI
-0.2585,0.1658,0.4072,1.3783,-2.8304,-0.5229,0.0846,0.2908,1.2527,-5.7056,0.0955,0.0725,0.2692,1.1471,-0.3717,0.7793,0.0648,0.2546,1.0582,0.2112,0.4943,-2.7061,-0.3316,-5.4747,-0.6709,0.1226,1.4,1.5125,1.5993,1.0804,1.1424,1.0574,1.96,2.2878,2.5579,1.1672,1.305,1.1181,0.9555,3.2764,-3.594,3.4291,-3.7615,-1.0969,1.926,0.4303,0.2682,0.2234,0.1393,0.6233,1.1002,1.2016,1.3025,1.0921,1.1839,1.084,0.0064,1.1286,0.0076,0.4552,-0.5874,0.3605,-0.6383,-0.363,0.6501,0,0.0031,0.0114,0.9826,0.3659,0,0.0044,0.0179,0.9518,0.6534,0,0.0025,0.006,0.9908,1.7769,0.9949,0.5599,0.6874,1.2372,1.7998,0.4725,1.5307,3.2393,1.8277,0.9939,0.5438,1.7704,1.0022,0.5661,0.6382,1.8974,2.9732,0.0107,1.6693,-0.4767,-0.7948,-0.1753,0,0,0,0,0,SINISTRA_PANTALONI
-1.3905,34.3161,5.858,24.4951,-2.0628,1.9626,26.424,5.1404,17.0867,-0.3693,0.0603,4.5294,2.1282,11.8766,-1.2117,7.526,14.4173,3.797,15.4315,0.0752,-0.7085,-23.0469,-0.1848,32.5288,0.2608,0.008,1.1396,2.7525,1.5428,2.4153,1.3538,0.5605,1.2987,7.5762,2.3802,5.8338,1.8328,0.3142,3.58,2.5354,-13.1501,0.7082,-3.6733,-5.1865,0.6409,1.4894,0.4793,2.3238,0.7478,0.3218,1.4336,2.0625,1.5873,1.4387,1.1073,0.7696,0.0259,10.6467,-0.004,-0.1586,-0.6298,-0.2939,0.5329,-0.1246,0.4047,0.0056,0.0749,0.2167,0.5914,-0.6048,0.0069,0.083,0.6969,?,-0.2128,0.0051,0.0712,0.3134,?,-0.6692,-1.9023,2.8425,0.902,1.0515,1.1657,0.8137,1.1056,1.3588,-0.4501,-1.0008,2.2235,0,0,1,0.311,0.6915,2.2235,0.0082,1.2223,0.9862,-0.948,-0.9667,2.8925,0.2035,0.4511,2,0.3333,SINISTRA_PANTALONI
