@RELATION WhereIsSmartphone
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
15.008962,175.53067,13.248798,44.87915,-0.19677734,39.65113,39.630207,6.295253,20.458984,0.54105765,-4.7821364,40.96284,6.400222,20.878601,-3.2441068,0.37852544,-3.1385474,-8.29151,2.1045697,2.070053,0.9835992,4.429214,4.2851195,0.96746725,-0.30594042,0.4623769,-1.51133,0.8412117,7.622829,9.061725,2.1936157,2.1495285,0.9799021,0.1119831,62.773468,-0.8777637,-0.4915977,0.7087754,TASCA_DESTRA_DAVANTI_PANTALONI
1.5345196,226.46916,15.048892,43.977356,-1.6558238,27.694963,22.209394,4.7126846,17.82074,0.4458626,4.178948,22.165356,4.7080097,19.137573,-0.39293647,0.055407893,0.36720237,6.6272573,3.1932738,3.1964445,1.000993,10.196999,10.217258,1.0019869,-1.912206,5.078858,-2.6560204,0.5148985,1.2052422,2.3407373,2.4677627,2.2979589,0.9311912,0.07323885,46.90464,0.8659781,0.7222651,0.68389297,TASCA_DESTRA_DAVANTI_PANTALONI
-23.410677,36.03532,6.0029426,34.01947,?,20.908579,241.9885,15.55598,40.91797,-0.14617883,-7.767112,62.403072,7.8995614,26.638794,-4.7674265,-1.1196685,3.0140774,-2.6919374,0.38589293,0.7599083,1.9692206,0.14891337,0.57746065,3.8778298,6.519006,1.544938,0.23698981,0.0,0.0,7.7291045,0.8314066,1.2770649,1.5360293,0.08576941,55.27701,0.80472463,0.13878079,0.6643077,TASCA_DESTRA_DAVANTI_PANTALONI
-22.135933,22.386711,4.7314596,35.879517,?,27.331995,138.38571,11.763745,50.038147,-0.39461598,-1.2430813,45.914135,6.775997,32.69806,-2.1874163,-0.80989087,17.807308,-21.987295,0.4022069,0.69826764,1.7360907,0.16177039,0.48757777,3.0140111,2.5341094,1.5989392,0.63096696,0.0,0.0,3.4975457,0.7170433,1.097298,1.5303094,0.09261449,56.155987,0.84782106,0.31865975,0.66377187,TASCA_DESTRA_DAVANTI_PANTALONI
-47.886486,5.7269826,2.3931115,52.25,?,22.789188,67.73931,8.23039,25.5,0.30136988,-7.037838,6.4303293,2.5358095,12.25,?,-2.101281,6.8041472,-3.238095,0.2907653,0.94372684,3.2456656,0.08454445,0.8906204,10.534346,-4.75,4.265306,-0.8979592,0.0,1.0,?,2.0490196,4.265306,2.0816326,0.28917626,77.71352,0.32014558,-0.4717182,-0.94134355,TASCA_DESTRA_DAVANTI_PANTALONI
-26.191406,22.026949,4.693288,40.8125,?,-34.96126,23.52802,4.8505692,43.125,?,15.1536455,51.44957,7.1728354,30.625,-0.031578947,0.74915504,-1.7283897,-2.307119,0.96757466,0.65431416,0.6762415,0.9362007,0.428127,0.45730257,0.9463768,43.533333,46.0,1.0,0.0,0.0,0.9463768,1.332653,1.4081633,0.24082066,76.32064,-0.40716794,0.4109607,0.6080274,TASCA_DESTRA_DAVANTI_PANTALONI
-32.639973,26.405458,5.138624,40.3125,?,16.582357,11.335162,3.3667734,13.625,0.3699422,59.447918,13.192563,3.6321568,14.4375,0.7839102,-1.9683554,-0.5490516,0.27893925,1.5262756,1.4147583,0.926935,2.3295176,2.0015411,0.85920846,-5.0390625,-0.76968974,0.15274464,0.0,0.0,0.323667,2.9587157,2.7922077,0.94372296,0.3636296,108.67025,-0.7304745,0.95341426,-0.7866768,TASCA_DESTRA_DAVANTI_PANTALONI
-40.856316,74.85757,8.652027,52.1875,?,4.775451,145.98714,12.082514,43.875,-0.5096774,19.96263,127.413536,11.287761,50.125,-0.23195085,-8.555488,-2.04664,0.23921955,0.7160784,0.7664963,1.0704083,0.5127682,0.5875166,1.1457741,3.5232067,5.5298014,1.5695364,0.0,0.0,0.71428573,1.1894587,1.0411471,0.87531173,0.23568316,71.93331,0.628504,0.72188306,0.18395981,TASCA_DESTRA_DAVANTI_PANTALONI
-29.2725,7.9673276,2.8226454,32.8125,?,2.405,86.63576,9.307833,31.75,-0.5074184,-0.8464286,12.626328,3.5533545,11.5625,-1.5694444,-12.171517,34.58354,-2.84135,0.30325484,0.79436076,2.6194496,0.0919635,0.63100904,6.861516,3.0701754,4.6460176,1.5132743,0.0,0.0,4.6805553,1.0334646,2.837838,2.745946,0.1679047,39.3725,-0.1837934,0.17428942,0.4012155,TASCA_DESTRA_DAVANTI_PANTALONI
-35.25323,36.69771,6.057863,40.6875,?,15.380747,45.51411,6.7464147,24.5,0.08624709,16.09447,38.56752,6.210275,29.1875,0.10192308,-2.2920363,-2.1903942,0.9556542,0.8979382,0.9754581,1.086331,0.806293,0.9515185,1.180115,-17.594595,-12.283019,0.6981132,0.0,0.0,0.825,1.6607143,1.3940042,0.8394004,0.23962069,66.72845,0.4190008,0.74099123,-0.0050124414,TASCA_DESTRA_DAVANTI_PANTALONI
-38.466072,50.031223,7.073275,47.0,?,-16.012857,252.2546,15.8825245,60.9375,-1.4746193,28.879286,297.19012,17.239202,59.125,-0.30123797,2.402199,-1.3319607,-0.55447555,0.44534954,0.41030174,0.92130274,0.19833623,0.16834752,0.8487987,1.2943201,3.43379,2.652968,0.0,0.0,0.5419532,0.7712821,0.794926,1.0306554,0.28969026,88.9775,0.9030065,0.647668,0.69901526,TASCA_DESTRA_DAVANTI_PANTALONI
-30.962645,50.6099,7.1140637,40.0,?,23.997126,67.42329,8.211168,31.25,0.15682968,18.231321,55.54739,7.453012,26.3125,0.19502868,-1.2902647,-1.6983215,1.3162582,0.86638874,0.95452195,1.1017249,0.7506294,0.9111121,1.2137976,-6.8817205,-6.27451,0.9117647,0.0,0.0,1.1338432,1.28,1.52019,1.1876484,0.24832165,73.19109,0.84200734,0.14618637,-0.3935504,TASCA_DESTRA_DAVANTI_PANTALONI
-14.032328,29.580303,5.438778,28.4375,?,-4.1167383,14.59895,3.8208573,14.0,-3.0727272,44.585846,17.34951,4.165274,18.9375,0.6085271,3.4086032,-0.31472605,-0.092332855,1.4234444,1.3057431,0.9173123,2.0261939,1.7049648,0.84146184,2.6923077,-0.9660297,-0.35881105,0.0,0.0,0.07105943,2.03125,1.5016502,0.7392739,0.2696714,63.474857,-0.31650406,0.94269055,-0.2870949,TASCA_DESTRA_DAVANTI_PANTALONI
10.182643,54.22736,7.363923,39.599976,-1.9981515,-42.727856,0.59683913,0.7725536,45.552597,?,-13.164304,2.469334,1.5714115,18.972687,?,-0.23831393,-0.7735041,3.2457361,9.531925,4.686184,0.49163038,90.85758,21.96032,0.24170046,0.5793708,1.3910441,2.4009566,?,?,1.0,0.8693242,2.0872097,2.4009566,0.22927357,68.14206,0.7510059,0.34603062,0.32498464,TASCA_DESTRA_DAVANTI_PANTALONI
-3.438358,234.0902,15.300006,43.59999,-4.730704,-28.36214,854.25354,29.227615,80.90947,-1.4572718,-15.533378,42.04489,6.4842033,29.659409,?,0.12123056,0.22135289,1.8258836,0.52347773,2.3595815,4.5075107,0.27402896,5.567625,20.317654,0.7500971,1.2135054,1.6177977,0.231064,?,?,0.5388738,1.4700222,2.727953,0.1625976,67.32274,-0.6765041,0.71723914,-0.90169764,TASCA_DESTRA_DAVANTI_PANTALONI
-7.0021553,132.05637,11.491578,47.88829,-6.054534,12.488738,10.961744,3.3108525,26.09999,-0.10593224,-36.617214,236.96294,15.3936,71.87128,-1.5576961,-0.5606776,0.19122578,-0.34106195,3.470882,0.7465166,0.2150798,12.047021,0.55728704,0.04625932,16.439997,0.9389718,0.05711509,0.28763992,0.24157645,0.83985716,1.8348011,0.6663064,0.3631491,0.1956065,59.8279,-0.29878366,-0.86798877,-0.13343956,TASCA_DESTRA_DAVANTI_PANTALONI
