@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
1.4970309,13.222016,3.636209,14.762808,-0.85365,-1.9928561,11.320212,3.3645523,13.720226,-2.427013,1.9252518,50.076435,7.0764704,29.439487,-0.59024805,8.31033,15.476216,3.9339821,17.64425,0.07673751,-0.75119865,0.7775766,0.18014096,-1.0351145,-0.23980469,0.23166971,1.0807408,0.513845,0.92430747,0.47545627,0.8552536,1.798806,1.1680007,0.2640367,0.85434425,0.22605868,0.73145866,3.2357028,0.69968647,0.6221873,-4.635914,0.88923734,-6.6257014,-7.450993,1.9892792,0.43020543,0.4167381,0.21626197,0.20949201,0.9686956,1.0759887,0.5014628,0.8366922,0.46604842,0.7776032,1.6685032,0.032806996,12.280227,-0.0743476,-0.4805847,-0.21650265,TASCA_DESTRA_DAVANTI_PANTALONI
1.1174332,5.2051,2.2814689,10.095819,-0.49787024,-1.7764806,6.572216,2.5636334,10.205996,-2.5887194,1.3120655,29.804413,5.459342,21.734451,-0.817307,6.445865,6.158612,2.4816551,10.907859,0.13027859,-0.62901515,0.8516596,0.1733566,-1.3539573,-0.27560002,0.2035515,0.8899357,0.4179018,0.9193336,0.46958652,1.0330337,2.1998794,0.7919855,0.17464192,0.84517425,0.22051151,1.0671587,4.8394694,0.4558088,0.34330326,-2.0537667,0.7531739,-4.505764,-5.9823694,2.3700173,0.5635689,0.5374128,0.23779105,0.22675481,0.95358855,0.98920476,0.46450767,0.92555463,0.46957687,0.93565524,1.9925498,0.025782157,9.387525,-0.132807,-0.23519202,0.09097271,TASCA_DESTRA_DAVANTI_PANTALONI
-0.11311317,4.9173293,2.2175052,10.903328,-1.2455449,1.9458029,5.4747114,2.3398101,10.787357,-0.40207773,0.5825538,7.3377466,2.7088275,10.296097,-1.1179482,4.3144193,3.2538853,1.8038529,7.549511,0.103713535,-0.058131874,-0.19416776,-0.026217474,3.3401258,0.45099998,0.13502485,0.9477287,0.8186218,1.229316,0.8637723,1.2971181,1.5016898,0.89818966,0.6701416,1.5112178,0.7461026,1.6825151,2.2550724,1.9549865,1.1128017,-6.92292,0.56921196,-3.54116,-6.221163,0.63109446,0.99880356,0.57645494,1.5826529,0.913421,0.57714546,1.0107507,1.0589768,1.444243,1.0477133,1.4288816,1.3638098,0.021413518,6.4412107,0.10452358,0.031203326,0.33235273,TASCA_DESTRA_DAVANTI_PANTALONI
-0.12911992,11.718333,3.4232051,16.372623,-0.86630607,1.2142392,7.219213,2.6868594,12.69218,-0.3501763,1.00221,21.088541,4.592226,17.07597,-0.8859242,6.0645695,5.742556,2.396363,10.370005,0.09861365,-0.10633812,-0.12883519,-0.021290863,1.2115617,0.20021854,0.16525657,1.2740544,0.7454348,1.4285002,0.5850887,1.1212238,1.9163315,1.6232147,0.555673,2.0406127,0.3423287,1.2571428,3.6723266,2.308736,0.94743425,-6.698873,0.41036922,-2.9015326,-7.0705414,0.9332321,0.9688896,0.76254845,1.0382086,0.81710476,0.7870334,1.2899773,0.95881075,1.5788443,0.74327725,1.2239319,1.6466694,0.016628493,8.960493,-0.34907007,-0.07048157,-0.14819834,TASCA_DESTRA_DAVANTI_PANTALONI
1.5749766,6.6637516,2.5814242,15.272585,-0.74921614,-0.2973843,16.019503,4.002437,14.964331,-0.74544,0.27639312,18.954365,4.353661,22.122078,-0.68587244,6.041661,7.781343,2.789506,12.755194,0.100997895,-5.2960987,5.6983204,0.26068604,-1.0759468,-0.049222276,0.04574787,0.6449631,0.5929318,0.9254055,0.9193268,1.4348193,1.5607283,0.41597745,0.3515682,0.8563755,0.8451617,2.0587068,2.4358733,1.0235548,0.726828,-4.5649652,0.71010166,-4.459913,-6.280668,1.018396,0.66537714,0.61537904,0.653358,0.604263,0.9248575,1.0205992,0.6903775,1.1973621,0.6764433,1.1731951,1.7343584,0.017488848,9.443615,0.4798147,-0.5965346,-0.51533,TASCA_DESTRA_DAVANTI_PANTALONI
0.41481793,16.513866,4.0637255,24.686405,-0.3731785,-1.5607094,33.21239,5.763019,35.09075,-2.8308876,1.1788657,25.795603,5.078937,25.113758,-0.23113276,6.6092205,35.83768,5.9864583,35.306984,0.04006405,-0.26578808,0.35187888,0.06276352,-1.3239077,-0.23614122,0.17836682,0.7051383,0.8001134,0.67881966,1.13469,0.96267587,0.8484043,0.49722004,0.6401814,0.46079618,1.2875214,0.926745,0.71979,0.25872093,1.4229156,-4.5527544,5.4998083,-17.597162,-3.1995957,1.9626262,0.8813005,0.48877892,0.44904146,0.2490433,0.55461097,0.70350176,0.9829833,0.69919324,1.397272,0.9938756,0.71129715,0.020827113,10.114041,-0.6039461,0.22517861,-0.5193467,TASCA_DESTRA_DAVANTI_PANTALONI
-0.019061178,6.1573415,2.481399,10.857274,-1.1517848,0.3843687,23.408081,4.83819,27.114319,-2.641035,0.59696877,15.08151,3.883492,22.664816,-0.9817201,5.725988,12.364463,3.5163138,20.452103,0.044501305,-0.04959087,-0.03192994,-0.003328889,0.6438673,0.06712705,0.104256034,0.5128775,0.6389608,0.7056819,1.245835,1.3759267,1.1044214,0.2630434,0.4082709,0.49798697,1.5521046,1.8931742,1.2197465,0.2954917,0.5176018,-6.101164,1.7516626,-20.647497,-11.787371,0.67756057,0.4411762,0.23572959,0.65112436,0.34790927,0.5343207,0.40042585,0.4790365,0.53086346,1.1963177,1.3257473,1.1081901,0.007398579,8.586896,-0.21930955,-0.2544615,0.6132626,TASCA_DESTRA_DAVANTI_PANTALONI
-2.0118935,11.641475,3.4119606,15.432301,-2.7597494,-0.036362723,3.3963463,1.8429179,7.8855233,-1.269169,0.75082964,16.219,4.0272818,16.614862,-0.8506857,5.5188675,5.411708,2.3263078,12.00332,0.04391887,55.32846,-2.6795607,-0.36454827,-0.04843006,-0.0065888017,0.13604778,1.8513905,0.8472118,1.4666849,0.4576084,0.79220724,1.7311904,3.4276466,0.7177677,2.1511648,0.2094054,0.6275923,2.9970205,2.5683742,1.4832289,-20.543936,0.57749724,-7.9988093,-13.850819,1.1811583,0.45720157,0.32693782,0.38707897,0.27679422,0.7150847,1.957042,0.9288251,1.2856693,0.4746066,0.6569452,1.3841889,0.02214164,7.9673367,0.31070268,-0.4712719,0.31105658,TASCA_DESTRA_DAVANTI_PANTALONI
-0.27722764,0.42424595,0.6513417,3.4340591,-2.4079587,2.2120707,4.0197873,2.0049407,5.5856156,-0.016269801,1.0035613,7.526584,2.743462,8.692495,-0.5704736,3.4196646,6.2537565,2.5007513,6.6892943,0.012151466,-0.12532495,-0.27624387,-0.081068665,2.204221,0.64686775,0.29346773,0.3248683,0.23741595,0.2604584,0.7308068,0.8017354,1.0970552,0.105539404,0.056366332,0.06783858,0.5340786,0.64277965,1.2035301,27.134274,0.76844555,-29.487902,0.02832011,-1.08674,-38.373444,0.18333752,0.18205374,0.14880703,0.9929977,0.8116562,0.8173797,0.614804,0.3950602,0.5133664,0.6425791,0.8350082,1.2994637,0.027782284,4.9796352,0.0011385984,-0.1707409,0.4859375,TASCA_DESTRA_DAVANTI_PANTALONI
1.752067,3.9176095,1.9792951,6.8187857,-0.047370702,-0.84725785,2.8135645,1.6773683,6.6003265,-2.898332,0.89443374,14.941144,3.8653777,13.796986,-0.38165894,3.9912636,10.329727,3.2139893,9.981126,0.05070765,-2.0679264,1.9588561,0.4389755,-0.94725615,-0.2122781,0.22409788,1.1800003,0.51205736,0.6158375,0.43394682,0.52189606,1.2026728,1.3924007,0.26220277,0.37925586,0.18830985,0.2723755,1.446422,0.062846586,0.08092033,-0.5784468,1.287585,-9.204108,-7.1483493,3.8452098,0.6519635,0.61919445,0.16955212,0.16103008,0.94973797,1.0330982,0.49422285,0.683168,0.47838902,0.66128075,1.3823075,0.024619166,5.9558525,-0.727232,0.2698695,-0.4516073,TASCA_DESTRA_DAVANTI_PANTALONI
