@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
0.7159,2.6413,1.6252,8.3456,-1.6319,-0.6825,8.7148,2.9521,20.0751,-1.7528,0.3672,4.7966,2.1901,13.7491,-0.4907,3.5365,4.7587,2.1814,15.5498,0.019,-1.0489,1.9497,0.2024,-1.8588,-0.193,0.1038,0.5505,0.7421,0.745,1.3479,1.3533,1.004,0.3031,0.5507,0.555,1.8169,1.8313,1.008,0.4048,1.1434,-17.14,2.8244,-42.3394,-14.9904,0.4348,0.3438,0.2,0.7907,0.46,0.5819,0.4157,0.607,0.5367,1.4601,1.291,0.8842,0.011,5.5261,-0.13,-0.0425,-0.0325,-0.8769,-0.2908,0.3269,0,0,0,0,0,PANTALONI
0.2014,0.8137,0.9021,5.0539,-0.5191,0.4393,2.8378,1.6846,9.98,-1.0916,-0.0082,1.0712,1.035,5.6918,-0.9628,1.9705,1.0735,1.0361,4.7393,0.0941,0.4585,-24.656,0.1022,-53.7779,0.2229,-0.0041,0.5355,0.8716,0.8706,1.6276,1.6259,0.9989,0.2867,0.7596,0.758,2.6492,2.6435,0.9978,0.3315,0.6185,-3.5065,1.8655,-10.5762,-5.6693,0.6973,1.1473,0.6359,1.6454,0.912,0.5543,0.5064,0.8879,1.0664,1.7534,2.1058,1.201,0.005,2.8779,-0.2059,0.0319,0.1429,-0.4992,0.0281,-0.0456,0,0,0,0,0,PANTALONI
3.1408,2.3004,1.5167,6.9461,-0.0432,-3.4198,20.498,4.5275,13.1635,-4.9287,3.2293,9.6827,3.1117,11.8807,-0.1199,7.1792,12.929,3.5957,11.5405,0.1282,-0.9184,0.9726,0.4375,-1.059,-0.4764,0.4498,0.335,0.4874,0.4218,1.455,1.2591,0.8654,0.1122,0.2376,0.1779,2.117,1.5854,0.7489,0.0263,0.2262,-0.1695,8.6047,-6.4476,-0.7493,2.9989,0.6276,0.503,0.2093,0.1677,0.8014,0.5277,0.5847,0.6019,1.108,1.1406,1.0295,0.056,10.8495,0.1853,0.5455,0.4329,-0.2854,-0.6812,0.8437,10.5577,149.7279,12.2363,40.0915,0.0937,PANTALONI
-2.087,30.6652,5.5376,26.0618,-3.2785,-3.3408,74.4028,8.6257,35.3026,-3.5805,0.0931,51.4459,7.1726,29.3006,-0.806,10.5704,60.3062,7.7657,32.8994,0.01,0.6247,-22.4261,-0.1974,-35.8986,-0.3161,0.0088,0.642,0.7721,0.7131,1.2026,1.1107,0.9236,0.4122,0.5961,0.5085,1.4462,1.2338,0.8531,0.7237,1.5272,-60.1193,2.1103,-83.0741,-39.3652,0.7904,0.3754,0.1833,0.475,0.2319,0.4882,0.7382,0.8895,0.7922,1.2048,1.073,0.8906,0.0406,16.4555,0.8136,-0.0763,-0.7154,-0.0218,-0.7573,0.2351,4.0412,51.6271,7.1852,25,0,PANTALONI
0.7256,3.2607,1.8057,7.8917,-0.7522,0.5723,3.1039,1.7618,9.8761,-1.7636,1.0004,7.0445,2.6541,13.2361,-0.1828,3.1111,5.5847,2.3632,11.0136,0.0256,1.2679,0.7253,0.2332,0.572,0.1839,0.3216,1.0249,0.6804,0.7641,0.6638,0.7455,1.1231,1.0505,0.4629,0.5839,0.4406,0.5558,1.2614,0.5375,1.6559,-11.7025,3.0807,-21.7711,-7.0669,1.2603,0.4025,0.3985,0.3194,0.3162,0.99,0.7991,0.5962,0.7165,0.7461,0.8967,1.2018,0.0143,4.719,-0.3247,-0.0874,0.232,0.0602,0.0812,0.7816,0,0,0,0,0,PANTALONI
-0.0693,0.0143,0.1195,0.5914,-1.6379,-0.0911,0.0255,0.1596,0.7285,-1.5309,0.01,0.0165,0.1283,0.6979,-0.8535,0.238,0.0128,0.113,0.4823,0.0585,0.7601,-6.9127,-0.291,-9.0943,-0.3829,0.0421,0.749,0.9315,1.0577,1.2436,1.4121,1.1355,0.561,0.8676,1.1187,1.5465,1.9941,1.2894,0.8334,1.1428,-12.2586,1.3712,-14.7091,-10.7271,0.7789,0.5955,0.4377,0.7645,0.5619,0.735,0.8119,0.8475,1.2263,1.0439,1.5104,1.4469,0.0012,0.3601,0.135,-0.118,-0.4148,0.1467,-0.3584,0.1558,0,0,0,0,0,PANTALONI
0.7718,4.6767,2.1626,8.713,-0.9057,0.9486,2.9155,1.7075,10.8425,-0.2604,0.9572,8.5926,2.9313,13.0746,-0.2625,3.5439,6.0372,2.4571,12.2094,0.0326,0.8137,0.8064,0.2178,0.9911,0.2677,0.2701,1.2665,0.7377,0.8801,0.5825,0.6949,1.193,1.6041,0.5443,0.7747,0.3393,0.4829,1.4233,1.8485,1.5231,-10.0597,0.824,-5.442,-6.6047,0.5315,0.4415,0.3623,0.8307,0.6816,0.8205,0.8036,0.6664,0.7136,0.8293,0.888,1.0709,0.0169,5.2707,-0.3717,-0.2147,-0.0846,0.551,0.6606,0.8651,?,?,?,?,?,PANTALONI
-4.1357,35.3844,5.9485,21.5938,-4.4057,0.6495,22.2394,4.7159,16.7472,-1.2848,3.5837,50.8399,7.1302,35.7983,-0.6431,9.6046,46.5846,6.8253,21.8173,0.0014,-6.3671,-1.154,-0.4306,0.1813,0.0676,0.3731,1.2614,0.8343,0.8715,0.6614,0.6909,1.0447,1.5911,0.696,0.7596,0.4374,0.4774,1.0913,1.8688,1.2561,-561.4318,0.6721,-300.4229,-446.9711,0.545,0.1833,0.1828,0.3364,0.3355,0.9972,1.2894,0.6032,0.9898,0.4678,0.7676,1.6408,0.0593,14.5113,0.0563,0.0802,-0.6693,0.4221,-0.2416,0.2641,0,0,0,0,0,PANTALONI
-0.0155,0.0191,0.1382,0.5706,-1.2622,-0.0148,0.0079,0.089,0.4467,-0.8131,-0.0027,0.0059,0.0766,0.4875,-2.0012,0.163,0.0068,0.0823,0.4039,0.0596,1.0495,5.6838,-0.095,5.4156,-0.0905,-0.0167,1.5523,1.8042,1.6782,1.1623,1.0811,0.9302,2.4096,3.2551,2.8163,1.3509,1.1688,0.8652,1.5892,0.9794,-12.4449,0.6163,-7.8309,-12.7061,1.0238,1.5529,0.5873,1.5168,0.5736,0.3782,1.2774,1.1705,1.4128,0.9163,1.106,1.207,0.0002,0.2471,0.5127,-0.1317,-0.1664,0.7234,-0.1288,-0.0956,0,0,0,0,0,PANTALONI
0.1274,1.4031,1.1845,15.5494,-0.7629,-0.2063,0.774,0.8798,5.6696,-1.6093,-0.0318,0.4089,0.6394,4.1212,-1.2936,0.9775,1.6903,1.3001,9.5554,0.0059,-0.6173,-3.9996,0.1303,6.479,-0.2111,-0.0326,1.3464,1.8525,0.9111,1.3758,0.6767,0.4918,1.8129,3.4316,0.8301,1.8929,0.4579,0.2419,1.9244,2.8951,-118.7645,1.5044,-61.7151,-41.0233,4.0593,4.9089,0.9176,1.2093,0.2261,0.1869,2.7426,3.7731,1.6273,1.3757,0.5933,0.4313,0.0026,1.4299,-0.354,-0.2972,0.2517,-0.6936,-0.2876,-0.0597,0,0,0,0,0,PANTALONI
