@RELATION WhereIsSmartphone
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
8.026135,0.61913687,0.7868525,2.0369644,0.76936764,-3.6503959,1.3837563,1.1763318,5.5982084,?,4.0383773,0.17931743,0.42345887,1.4811697,0.6935015,-2.1987028,1.9874655,-0.90392643,0.6689035,1.8581556,2.7779126,0.447432,3.4527423,7.7167974,-1.2138025,2.027558,-1.6704185,?,1.8276236,0.0,0.36386004,1.3752404,3.779586,0.19396158,15.714906,0.9893943,-0.8774729,-0.8159055,TASCA_DESTRA_DAVANTI_PANTALONI
9.060853,0.33651328,0.5800977,1.6585512,0.828801,-2.7982419,1.2396082,1.113377,4.591851,?,0.8067592,4.0788007,2.0196042,5.434599,-0.61777025,-3.2380521,11.231174,-3.468497,0.5210254,0.28723335,0.55128473,0.27146745,0.082503,0.30391487,-1.7485981,-3.869013,2.212637,?,2.8838785,0.0,0.36119446,0.30518374,0.84492916,0.19034714,13.820753,0.97044027,-0.70088166,-0.5960375,TASCA_DESTRA_DAVANTI_PANTALONI
4.657271,0.3335739,0.5775586,1.9296374,0.6293453,7.2579627,1.0513631,1.02536,3.0540986,0.65748966,4.3476343,1.5785087,1.2563872,3.462749,0.4141023,0.64167744,1.0712196,1.6694051,0.56327397,0.4596979,0.8161178,0.31727755,0.21132217,0.66604835,0.5588521,1.3387156,2.395474,0.583844,0.88086015,1.5087253,0.63181895,0.5572559,0.88198674,0.19315292,16.26287,-0.91654307,0.89761704,-0.9940605,TASCA_DESTRA_DAVANTI_PANTALONI
2.8430703,0.31247157,0.55899155,1.9522402,0.502802,8.707485,0.4671512,0.6834846,2.7569666,0.70574045,3.2062457,1.2709678,1.1273721,4.5132647,0.27352238,0.32650876,0.88672876,2.7157886,0.81785536,0.49583587,0.6062635,0.66888744,0.24585325,0.36755547,0.29857606,1.1618217,3.8912086,0.41908583,0.6320266,1.5081078,0.7081117,0.43255612,0.6108586,0.19409622,14.756803,-0.9337799,0.91904753,-0.9781956,TASCA_DESTRA_DAVANTI_PANTALONI
7.8606653,2.108534,1.4520792,4.1577544,0.55460054,-3.9322062,1.0024117,1.0012051,5.670508,?,3.2033887,5.6101646,2.3685787,7.298672,-0.19542512,-1.9990472,2.4538593,-1.2275145,1.4503314,0.6130593,0.4227029,2.103461,0.37584174,0.17867777,-0.912993,-4.338979,4.7524776,?,1.5289302,0.0,0.73322433,0.569659,0.77692324,0.18709783,15.167683,0.9952414,-0.90902644,-0.8853858,TASCA_DESTRA_DAVANTI_PANTALONI
7.963252,0.14290924,0.3780334,1.5236812,0.8304687,-3.819769,0.06803791,0.26084077,4.23664,?,4.1871824,0.48754552,0.6982446,2.9948223,0.38181314,-2.084747,1.9018164,-0.9122528,1.449288,0.54140544,0.37356648,2.1004355,0.2931198,0.13955192,-1.7617567,4.0352025,-2.2904427,?,1.8552094,0.0,0.35964376,0.50877184,1.4146549,0.19548556,15.970199,0.60017544,-0.94170904,-0.32333598,TASCA_DESTRA_DAVANTI_PANTALONI
4.952317,0.7622686,0.87307996,2.590513,0.5742577,-7.4389277,0.63371146,0.79605997,8.491542,?,3.815275,0.42048863,0.648451,1.9619701,0.6157544,-0.66573,1.2980237,-1.949775,1.0967515,1.3464086,1.2276332,1.2028638,1.8128163,1.5070834,-0.4114899,1.1113597,-2.700819,?,1.1916684,0.0,0.3050698,1.3203632,4.3280687,0.1943393,16.20652,0.8823886,0.36495864,0.75584394,TASCA_DESTRA_DAVANTI_PANTALONI
4.3768344,1.179379,1.0859922,3.2584834,0.42190656,-8.409441,0.42409897,0.6512288,9.500211,?,1.8931311,1.1039915,1.05071,3.0389593,0.13248953,-0.52046674,2.3119552,-4.4420805,1.6676048,1.0335795,0.61979884,2.780905,1.0682863,0.38415056,-0.25032285,5.1239166,-20.46923,?,1.6090418,0.0,0.34299064,1.0722367,3.1261396,0.10176249,14.679403,0.962664,0.6953758,0.85289174,TASCA_DESTRA_DAVANTI_PANTALONI
5.6630826,0.36282718,0.60235137,2.9467096,0.54245454,-7.861785,0.13462791,0.36691675,8.970734,?,0.99856365,0.810194,0.9001078,2.9479408,-0.0997121,-0.7203304,5.6712284,-7.8730936,1.6416568,0.66919917,0.40763643,2.695037,0.44782752,0.1661675,-0.3894381,-13.070096,33.56142,?,2.4024994,0.0,0.32848033,0.99958235,3.0430508,0.100416444,14.578065,0.9469912,-0.47804365,-0.20787159,TASCA_DESTRA_DAVANTI_PANTALONI
4.2743635,1.3132508,1.1459715,3.059537,0.45436162,-8.347654,0.053075884,0.23038204,8.6958,?,1.223936,5.31938,2.3063781,5.912592,-0.29994366,-0.51204365,3.4923098,-6.820336,4.9742227,0.49687064,0.0998891,24.742891,0.24688043,0.009977833,-0.29298332,-1.8674947,6.3740654,?,1.2328136,0.0,0.35184076,0.5174612,1.4707255,0.10061577,14.823669,0.68179023,-0.9790518,-0.7059046,TASCA_DESTRA_DAVANTI_PANTALONI
5.113958,1.7423736,1.31999,4.650261,0.30053073,-8.052231,0.42424878,0.6513438,9.286541,?,1.335269,1.225125,1.1068536,3.616606,-0.1648202,-0.6350983,3.8299084,-6.0304184,2.0265641,1.1925607,0.5884643,4.1069617,1.4222007,0.3462902,-0.2151511,-3.9043148,18.14685,?,2.1412451,0.0,0.50075275,1.285808,2.5677502,0.10033253,14.629563,0.9743509,-0.5685744,-0.46023697,TASCA_DESTRA_DAVANTI_PANTALONI
