@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
3.8078504,20.578283,4.5363293,13.803856,-0.3048168,-1.9728891,3.6334276,1.9061552,5.9991317,-5.3616714,-0.4779303,10.05829,3.1714807,11.3570595,-0.78816134,6.724452,7.6721716,2.7698686,10.062987,0.20123436,-1.9300884,-7.9673758,0.5662692,4.127985,-0.2933903,-0.071073495,2.379832,1.4303507,1.6377417,0.60103005,0.6881753,1.1449932,5.663601,2.045903,2.682198,0.36123714,0.47358528,1.3110094,0.6377822,0.64419216,-1.2719795,1.0100503,-1.994379,-1.9745343,11.218472,1.6656803,0.83973706,0.14847657,0.07485307,0.5041406,2.3009756,1.2154428,1.3717453,0.5282293,0.59615815,1.1285973,0.0863028,10.210098,-0.93225527,0.88124835,-0.8787471,TASCA_DESTRA_DAVANTI_PANTALONI
5.261048,5.2974434,2.3016176,8.264559,0.21939245,-4.539366,1.1883334,1.0901071,6.0690603,?,0.20339096,12.75392,3.571263,12.568007,-0.57611805,7.8712406,5.6091194,2.368358,10.002928,0.29507422,-1.158983,25.866676,0.66838866,-22.318424,-0.5767027,0.025839759,2.1113684,0.6444828,0.97182,0.30524412,0.4602797,1.5079068,4.457876,0.41535807,0.94443405,0.09317397,0.2118574,2.273783,-0.38272527,-0.5056144,0.55474526,1.3210896,-1.4494607,-1.0971706,?,1.3277284,0.7461105,0.0,0.0,0.56194514,1.3617526,0.65758705,0.82621396,0.48289758,0.6067284,1.2564329,0.13903357,12.835833,-0.18716499,0.87759924,0.106140554,TASCA_DESTRA_DAVANTI_PANTALONI
1.3772366,1.3304524,1.1534524,5.07454,-0.34233087,1.0649844,3.3208315,1.8223149,7.223493,-0.39414808,0.672696,17.14231,4.140327,14.051575,-0.524349,4.4672728,5.320574,2.3066368,9.360873,0.16643177,1.2931988,2.0473387,0.3082947,1.5831586,0.238397,0.15058315,0.63295996,0.2785897,0.5000581,0.44013792,0.79003114,1.7949626,0.40063834,0.07761221,0.25005808,0.19372137,0.62414914,3.2218912,0.6337025,0.26774552,-0.69242346,0.42250982,-1.0926633,-2.5861254,0.72962344,0.4101064,0.33663705,0.56207955,0.46138465,0.820853,0.702505,0.36113676,0.54210114,0.51407003,0.77166873,1.5010966,0.037328232,6.7718153,0.74058384,0.7029162,0.9168945,TASCA_DESTRA_DAVANTI_PANTALONI
0.4126117,4.3846335,2.0939517,10.602805,-0.42658818,0.9440684,3.5778282,1.8915148,8.442339,-0.23274145,0.89454514,18.378464,4.287011,16.755936,-0.6110752,4.4654512,8.262392,2.8744378,10.56827,0.04347593,0.437057,0.46125308,0.09240089,1.0553614,0.21141613,0.20032582,1.1070237,0.48844093,0.7284735,0.44121993,0.65804684,1.491426,1.2255014,0.23857453,0.5306736,0.19467504,0.43302572,2.2243514,1.989145,0.49886546,-6.6004586,0.2507939,-3.318239,-13.23094,1.085254,0.7146104,0.6726888,0.65847296,0.6198446,0.94133645,1.2559085,0.63277906,1.0032679,0.5038417,0.7988383,1.5854948,0.027289005,6.3679395,0.6404808,0.1821315,0.5565966,TASCA_DESTRA_DAVANTI_PANTALONI
3.8508031,6.5919366,2.5674767,9.079314,-0.04004542,-3.9141157,9.578296,3.0948822,11.582365,-2.5840766,1.422748,7.111236,2.66669,10.607553,-0.9251489,7.080782,5.3172045,2.3059065,7.7055955,0.25282383,-0.98382455,2.7065954,0.5438387,-2.7510955,-0.55278015,0.20093091,0.8295879,0.9627953,1.1134349,1.1605706,1.3421543,1.1564606,0.68821603,0.9269748,1.2397373,1.3469242,1.8013781,1.3374013,0.0418628,0.06857899,-0.13407642,1.6381845,-3.2027578,-1.9550654,2.7013497,1.5843455,0.8464816,0.5865014,0.3133551,0.53427845,0.7838912,0.85592926,1.1782755,1.091898,1.503111,1.3766038,0.113442846,10.704041,0.1864237,0.6639848,0.46137986,TASCA_DESTRA_DAVANTI_PANTALONI
3.8539221,11.587177,3.4039943,10.430399,-0.06905405,-3.0463583,0.43946782,0.6629237,4.5826597,?,0.34142068,10.07159,3.1735768,13.359446,-0.5383835,6.162387,8.372805,2.89358,12.090164,0.12657198,-1.2650915,11.287899,0.6253944,-8.922595,-0.49434716,0.055403966,5.134821,1.072605,1.1763954,0.2088885,0.22910157,1.0967649,26.366385,1.1504813,1.3839064,0.0436344,0.052487526,1.2028933,0.14701878,0.14410362,-0.3845455,0.98017144,-2.6156216,-2.6685348,?,1.1235113,0.7048491,0.0,0.0,0.6273627,2.276058,0.7807509,0.86271775,0.34302768,0.37904033,1.1049846,0.098487735,9.446336,-0.07942213,0.77760905,-0.28587413,TASCA_DESTRA_DAVANTI_PANTALONI
3.674462,0.9599917,0.97979164,4.4063654,0.17053384,-3.1722202,7.7238355,2.7791789,10.610235,-3.3200288,-0.79911906,7.273087,2.696866,9.220953,-0.99484056,6.0687995,3.329827,1.8247814,7.9035835,0.17259961,-1.1583251,-4.598141,0.6054677,3.9696467,-0.52270967,-0.13167663,0.35254717,0.3633075,0.53693646,1.0305216,1.5230201,1.4779118,0.124289505,0.13199233,0.28830075,1.0619749,2.3195906,2.1842237,-0.11109951,-0.1970023,0.5494703,1.7732058,-4.9457493,-2.789157,2.162935,1.1492493,0.5561264,0.53133786,0.25711656,0.48390406,0.41529384,0.4778644,0.5575149,1.1506658,1.3424588,1.16668,0.09839358,9.548548,-0.36308017,0.16851363,-0.7573562,TASCA_DESTRA_DAVANTI_PANTALONI
3.976676,13.028747,3.6095355,15.954802,-0.4178023,-4.8384595,7.679729,2.7712324,9.717251,?,-0.0182482,15.965661,3.9957054,14.727232,-1.3378032,7.9500957,12.6950865,3.5630164,11.939032,0.10304786,-0.82188886,-217.92154,0.5002048,265.14722,-0.60860395,-0.0022953434,1.3025019,0.90335375,1.013056,0.69355273,0.777777,1.121439,1.6965113,0.816048,1.0262827,0.4810154,0.60493714,1.2576252,0.48384154,0.55788046,-3.4277387,1.153023,-7.0844245,-6.1442175,?,1.7863336,0.84542656,0.0,0.0,0.47327474,1.6419048,1.0833538,1.3363564,0.65981513,0.81390613,1.2335366,0.13047884,12.536491,-0.5103629,0.72610164,-0.3957897,TASCA_DESTRA_DAVANTI_PANTALONI
3.8018622,57.081787,7.555249,27.38357,-0.7566175,-3.9468853,25.590235,5.058679,16.43039,-1.8856018,-0.47539973,23.741999,4.872576,22.445108,-1.3222506,10.676323,22.688217,4.763215,17.76827,0.03358728,-0.9632563,-7.9971905,0.35610223,8.302246,-0.36968583,-0.044528414,1.4935222,1.5505656,1.5861659,1.038194,1.0620304,1.0229595,2.2306082,2.4042537,2.515922,1.0778466,1.1279086,1.0464462,1.0985702,0.9229174,-19.099934,0.8401078,-17.386173,-20.695171,2.737798,1.6128733,0.8478721,0.5891133,0.30969125,0.52569044,1.6666416,1.220024,1.54115,0.7320254,0.9247039,1.2632129,0.11225986,16.688614,-0.86578786,0.6438001,-0.6829781,TASCA_DESTRA_DAVANTI_PANTALONI
4.09128,12.983829,3.603308,14.142404,-0.18825324,-4.354836,11.579038,3.4027984,12.351885,-8.462012,0.23462316,15.167606,3.894561,15.062454,-1.26185,8.062825,10.479538,3.2372115,11.339761,0.17747629,-0.9394797,17.437664,0.5074251,-18.56098,-0.5401129,0.029099373,1.0589249,0.9252154,1.11309,0.8737309,1.0511512,1.2030604,1.1213219,0.85602355,1.2389696,0.76340574,1.1049187,1.4473544,0.20283051,0.2666349,-0.9157162,1.31457,-4.5146866,-3.4343445,9.117263,1.7872376,0.86329406,0.19602787,0.09468786,0.4830326,1.1449592,0.93891764,1.2471519,0.82004464,1.0892545,1.3282868,0.12723015,12.144933,-0.237973,0.3707584,-0.7024805,TASCA_DESTRA_DAVANTI_PANTALONI
