@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
-2.6633,22.7536,4.7701,27.2098,-2.68,-1.6674,18.7364,4.3286,27.4893,-0.862,0.8334,20.1002,4.4833,30.2838,-0.6269,6.8366,25.4195,5.0418,22.8637,0.022,1.5972,-3.1956,-0.3896,-2.0007,-0.2439,0.1219,1.102,1.064,0.9461,0.9655,0.8585,0.8892,1.2144,1.132,0.8951,0.9322,0.7371,0.7907,1.5571,1.698,-38.5359,1.0905,-24.7482,-22.6942,0.5008,0.3972,0.3163,0.7931,0.6315,0.7962,0.9898,0.8985,1.1901,0.9077,1.2023,1.3245,0.0163,10.5184,-0.1447,-0.3392,-0.6424,0.5339,-0.0796,0.3007,-0.4189,3.6729,1.9165,9.6825,-1.5359,0.0881,6.4254,2.5348,12.1722,-3.5618,2.2752,9.5246,3.0862,12.1936,-0.3162,-4.7565,-0.1841,0.0387,0.7561,0.621,0.8213,0.5716,0.3856,0.6746,0.617,2.0018,3.2442,1.4309,0.4121,0.288,0.7955,0.7941,0.9982,0.0116,5.8512,0.4217,-0.2955,0.0024,0,0,0,0,0,TASCA_DESTRA_DAVANTI_PANTALONI
-3.3465,26.9525,5.1916,28.3989,-1.5352,-1.4542,19.0977,4.3701,19.9781,-2.2792,0.0111,16.2565,4.0319,22.2164,-1.154,7.7215,15.9994,3.9999,17.3677,0.0584,2.3013,-300.9244,-0.4334,-130.7621,-0.1883,0.0014,1.188,1.2876,1.2979,1.0839,1.0925,1.008,1.4113,1.6579,1.6846,1.1748,1.1937,1.0161,1.2385,1.4448,-15.9571,1.1666,-12.8846,-11.0443,1.8387,1.0861,0.6073,0.5907,0.3303,0.5592,1.4215,1.2783,1.6352,0.8993,1.1503,1.2792,0.0186,11.6677,0.11,-0.31,-0.2828,0.0335,-0.5297,0.105,-0.7326,2.4526,1.5661,8.0515,-0.8596,-0.0739,14.147,3.7612,19.5764,-2.3715,2.1646,3.2263,1.7962,7.5024,-0.1712,9.9123,-0.3385,-0.0341,0.4164,0.8719,2.094,0.1734,0.7602,4.3848,0.2703,3.3938,12.557,0.7457,0.6759,0.9064,0.4113,1.0732,2.6093,0.0117,6.1188,-0.1057,-0.09,0.0609,0,0,0,0,0,TASCA_DESTRA_DAVANTI_PANTALONI
0.1175,0.285,0.5339,2.8065,-1.5252,-0.0683,0.3152,0.5615,2.4556,-0.8048,0.2528,0.0799,0.2826,1.3642,-0.567,0.7758,0.1607,0.4009,2.1659,0.0519,-1.7209,0.4647,0.1514,-0.27,-0.088,0.3258,0.9509,1.8891,1.3318,1.9866,1.4005,0.705,0.9042,3.5686,1.7736,3.9466,1.9615,0.497,1.548,3.4341,-14.3104,2.2184,-9.2443,-4.1672,0.8168,1.2766,0.4865,1.5629,0.5956,0.3811,1.1429,2.0572,1.2958,1.8,1.1338,0.6299,0.0028,1.1902,-0.6616,-0.2003,-0.1737,0.2785,0.2113,0.5079,-0.403,0.019,0.1379,0.6555,?,0.4009,0.0078,0.0881,0.3848,0.3656,0.181,0.059,0.2428,0.8196,-0.3781,-1.0051,-2.2259,2.2146,1.5649,0.5678,0.3629,2.4489,0.3225,0.1317,-2.9567,2.9147,-0.9858,0,0,1.0197,1.7036,0.7997,0.4694,0.0059,1.0592,-0.4613,-0.5853,-0.0977,4.1432,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.1927,1.2154,1.1025,4.1699,-0.5917,0.6246,4.123,2.0305,7.5972,-0.5371,-0.0418,1.6403,1.2807,5.4326,-0.9462,2.4208,1.5474,1.2439,4.7171,0.1121,0.3085,-4.6086,0.0796,-14.9401,0.258,-0.0173,0.5429,0.8608,0.8863,1.5855,1.6323,1.0296,0.2948,0.741,0.7855,2.5137,2.6645,1.06,0.5839,0.5869,-2.6039,1.005,-4.4592,-4.4368,0.53,0.9385,0.4931,1.7707,0.9304,0.5254,0.5489,0.7676,0.884,1.3984,1.6106,1.1517,0.0065,3.5035,-0.1533,0.0264,0.4266,-0.0902,0.6393,0.0112,0.3507,0.1441,0.3796,1.5476,-0.326,-0.3371,0.2695,0.5191,1.8578,-3.8552,-0.4167,0.5444,0.7378,2.2511,-3.0076,-1.0404,-0.8417,0.809,0.7313,0.5145,0.7036,0.5347,0.2647,0.495,0.2579,0.2252,0.8732,3.0501,2.0778,0.6812,0.833,0.6875,0.8253,0.0063,1.5365,-0.7745,-0.7349,0.552,4.3871,0.1317,0.3629,1.219,0.7727,TASCA_DESTRA_DAVANTI_PANTALONI
2.0191,2.8133,1.6773,6.2252,-0.1102,-1.1762,0.8032,0.8962,3.8164,-19.6309,-1.0035,3.1714,1.7808,7.1714,-1.7063,3.272,2.5485,1.5964,5.4741,0.1372,-1.7166,-2.0121,0.6171,1.1721,-0.3595,-0.3067,1.8715,0.9419,1.0507,0.5033,0.5614,1.1155,3.5026,0.8871,1.1039,0.2533,0.3152,1.2444,0.1701,0.1366,-0.7098,0.8031,-4.1725,-5.1953,30.3125,2.1161,0.8838,0.0698,0.0292,0.4177,1.6311,0.8681,1.1372,0.5322,0.6972,1.3101,0.0252,4.982,-0.3854,0.0956,0.8783,-0.3816,-0.4855,-0.1095,0.281,1.2736,1.1285,4.5618,-0.9552,-1.1152,2.158,1.469,4.7931,-7.4372,0.5276,0.4642,0.6813,2.2767,-0.0988,-0.252,0.5325,-2.1135,0.7682,1.6564,2.156,0.5902,2.7435,4.6485,0.5275,10.8906,20.6458,4.1069,1.126,0.2742,0.9517,2.0037,2.1053,0.0125,2.6563,-0.1734,-0.0254,-0.1563,5.8723,1.4529,1.2054,4.0344,0.5067,TASCA_DESTRA_DAVANTI_PANTALONI
2.4768,35.0318,5.9188,23.2151,-0.5706,-2.212,17.7351,4.2113,14.1535,-3.5991,-0.655,4.5887,2.1421,10.6159,-1.2984,7.1886,17.1365,4.1396,14.6756,0.0732,-1.1197,-3.7813,0.3445,3.3771,-0.3077,-0.0911,1.4054,2.763,1.4298,1.9659,1.0173,0.5175,1.9753,7.6344,2.0443,3.865,1.0349,0.2678,0.7615,1.4064,-7.2762,1.8469,-9.5551,-5.1736,4.8029,3.2002,0.9334,0.6663,0.1943,0.2917,1.6402,2.1868,1.5819,1.3332,0.9644,0.7234,0.0172,10.3711,-0.3549,-0.0097,0.6795,-0.0781,-0.6049,-0.1002,0.194,1.3085,1.1439,5.0351,-0.5171,-1.2313,3.2866,1.8129,5.4645,-17.8296,1.0291,3.1277,1.7685,5.2562,-0.1305,-0.1576,0.1885,-1.1965,0.631,0.6468,1.0251,0.3981,0.4184,1.0508,0.3317,2.8291,8.5293,11.436,0.7138,0.0624,0.9214,0.9579,1.0396,0.0082,3.3798,-0.1481,0.549,-0.8896,0.4061,1.0534,1.0263,4,0,TASCA_DESTRA_DAVANTI_PANTALONI
-1.5195,12.6962,3.5632,19.4052,-0.8329,-1.1384,11.026,3.3205,14.9453,-3.1588,-0.0073,17.2245,4.1502,22.4544,-0.6578,6.041,8.0578,2.8386,13.9876,0.1096,1.3348,208.0466,-0.2515,155.8652,-0.1884,-0.0012,1.0731,0.8585,1.2552,0.8001,1.1698,1.4621,1.1515,0.7371,1.5756,0.6401,1.3684,2.1376,0.7768,0.9897,-5.1239,1.274,-6.5961,-5.1774,2.9461,0.7817,0.674,0.2653,0.2288,0.8622,1.2984,0.8642,1.3873,0.6656,1.0685,1.6053,0.0196,9.2122,-0.0689,-0.1586,0.0842,-0.0311,-0.6391,0.0598,0.0844,2.1146,1.4542,5.7507,-1.2234,-0.0819,1.5134,1.2302,6.8979,-0.5016,0.6125,0.7113,0.8434,3.7177,-0.3236,-1.03,0.1378,-0.1338,1.1821,1.7242,1.4587,1.3973,2.973,2.1277,1.3733,3.4812,2.5349,0.563,0.9208,1.6355,0.8337,1.5468,1.8554,0.0064,2.9681,0.2813,0.2506,-0.1138,2,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
1.6851,12.1089,3.4798,15.7168,-1.1031,-3.0229,27.1437,5.21,16.8419,-2.3419,1.0062,18.8768,4.3447,15.9504,-0.7029,7.3162,17.5927,4.1944,15.1208,0.0475,-0.5574,1.6747,0.2303,-3.0043,-0.4132,0.1375,0.6679,0.8009,0.8296,1.1991,1.2421,1.0359,0.4461,0.6415,0.6883,1.4379,1.5429,1.073,0.6985,1.2521,-10.9364,1.7926,-15.6571,-8.7343,1.4829,0.7978,0.4708,0.538,0.3175,0.59,0.9332,0.9854,1.0394,1.0559,1.1138,1.0549,0.0185,11.2407,-0.6779,0.4018,0.6302,-0.322,-0.8105,0.5033,-0.5479,1.3837,1.1763,4.9219,-2.4044,0.0385,6.326,2.5152,9.5543,-1.0081,1.8576,3.6693,1.9155,6.8552,-0.2956,-14.2162,-0.2949,0.0207,0.4677,0.6141,1.313,0.2187,0.3771,1.7241,0.7247,2.2224,3.0665,0.3039,0.2732,0.8992,0.5151,0.718,1.3937,0.0099,5.03,0.3562,-0.7491,0.1077,17.4615,25.9408,5.0932,25,0.0385,TASCA_DESTRA_DIETRO_PANTALONI
2.6224,7.9033,2.8113,9.1097,-0.1523,-4.3466,17.7977,4.2187,14.2408,-33.7373,-1.2315,4.2072,2.0511,9.6204,-1.4088,5.9668,21.5915,4.6467,15.801,0.0116,-0.6033,-2.1294,0.4395,3.5294,-0.7285,-0.2064,0.6664,1.3706,0.605,2.0568,0.9079,0.4414,0.4441,1.8785,0.366,4.2303,0.8243,0.1949,0.0871,0.2141,-6.4685,2.4582,-74.2846,-30.2194,19.2835,1.9794,0.4945,0.1026,0.0256,0.2498,0.6397,0.9469,0.5765,1.4803,0.9013,0.6088,0.0522,9.2478,-0.9423,-0.2758,0.9621,0.2393,-0.9869,-0.2869,-1.1349,1.9417,1.3934,5.374,-4.2576,-1.2685,5.1693,2.2736,7.0858,-5.4294,1.343,1.095,1.0464,4.2357,0.0625,0.8947,-0.8451,-0.9445,0.6129,1.3316,2.1728,0.3756,1.7732,4.721,0.7273,-15.4076,-21.1849,0.9275,0.2262,0.2439,0.7584,1.2687,1.6729,0.0217,4.5546,0.5008,0.0406,0.0611,7.7649,43.8107,6.619,22.6253,0.1533,TASCA_DESTRA_DIETRO_PANTALONI
1.7767,17.2476,4.153,29.6949,-0.1877,-1.0861,9.9865,3.1601,11.1804,-1.357,-0.9214,6.8413,2.6156,22.9163,-0.4873,5.1426,12.8142,3.5797,28.7238,0.028,-1.6358,-1.9283,0.3455,1.1788,-0.2112,-0.1792,1.3142,1.5878,1.1602,1.2082,0.8828,0.7307,1.7271,2.5211,1.346,1.4597,0.7793,0.5339,0.7291,0.625,-5.681,0.8572,-7.7922,-9.0899,5.2707,1.6227,0.8461,0.3079,0.1605,0.5214,2.656,1.2958,1.0338,0.4879,0.3892,0.7978,0.0122,7.7047,-0.2487,0.2659,0.8371,0.121,-0.4651,0.1941,0.2075,0.9329,0.9659,4.406,-1.5246,-0.5067,1.8461,1.3587,6.0295,-2.1611,1.6855,3.9382,1.9845,7.7716,-0.2885,-0.4095,0.1231,-0.3006,0.7109,0.4867,0.6847,0.5053,0.2369,0.4688,0.6455,1.529,2.3688,0.915,0.2894,0.3162,0.7307,0.5669,0.7758,0.0095,3.7221,-0.1777,-0.5732,-0.2158,0.328,0.2204,0.4695,1,0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0698,0.6059,0.7784,3.9594,-0.78,-0.3248,0.1566,0.3957,1.6207,-1.608,-0.3558,0.2302,0.4798,1.7269,-2.4078,1.0418,0.1444,0.3799,1.9413,0.1566,-0.2148,-0.1961,0.067,0.9129,-0.3118,-0.3416,1.967,1.6222,2.0487,0.8247,1.0415,1.2629,3.8691,2.6317,4.197,0.6802,1.0848,1.5948,1.7362,1.4219,-4.8119,0.819,-2.7715,-3.3841,3.5794,4.3895,0.9664,1.2263,0.27,0.2202,2.4429,2.2927,2.0396,0.9385,0.8349,0.8896,0.0026,1.537,-0.1826,0.2117,-0.0717,-0.3016,0.2273,-0.5591,-0.7099,0.3908,0.6251,1.7186,-10.3355,-0.4587,0.0601,0.2452,0.78,?,0.2964,0.0261,0.1615,0.643,-0.1471,1.5474,-2.3952,-1.5478,2.5499,3.8707,1.518,6.5018,14.9826,2.3044,2.009,19.0033,9.4591,0,0.2705,0,2.2034,2.6728,1.213,0.0048,1.4867,0.9608,-0.6581,-0.5659,0,0,0,0,0,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.1256,13.6716,3.6975,20.7218,-0.7757,1.4022,4.1074,2.0267,7.9462,-0.4197,-1.9045,9.7996,3.1304,13.099,-1.2585,5.3785,4.2592,2.0638,10.4868,0.137,-0.0896,0.066,-0.0234,-0.7362,0.2607,-0.3541,1.8244,1.1812,1.7916,0.6474,0.982,1.5168,3.3286,1.3951,3.2099,0.4191,0.9643,2.3008,3.8537,1.2401,-5.436,0.3218,-1.4106,-4.3834,2.0849,2.0121,0.9603,0.9651,0.4606,0.4773,2.6078,1.5819,1.976,0.6066,0.7577,1.2491,0.0129,8.0519,0.4711,-0.5041,0.2793,-0.2723,-0.1346,-0.4657,-0.3752,0.7822,0.8844,4.296,-1.3466,-0.0204,1.6391,1.2803,5.4591,-1.8815,-1.3403,1.7603,1.3268,5.0533,-3.7178,18.4015,0.28,0.0152,0.6908,0.6666,0.965,0.4772,0.4443,0.9311,0.6916,0.6191,0.8951,0.9663,1.7092,1.7688,0.7869,0.8501,1.0803,0.0076,3.3436,-0.2993,-0.1809,0.4656,0,0,0,0,0,TASCA_SINISTRA_DAVANTI_PANTALONI
0.3517,0.8444,0.9189,4.8954,-0.4116,-0.2467,0.2983,0.5461,2.235,-0.8881,0.0851,0.0639,0.2528,1.5509,-1.8832,0.939,0.5167,0.7188,3.5789,0.0233,-1.4256,4.1338,0.3745,-2.8998,-0.2627,0.0906,1.6826,3.6356,1.2784,2.1608,0.7598,0.3516,2.8311,13.2178,1.6342,4.6688,0.5772,0.1236,1.3577,1.409,-16.724,1.0378,-12.3177,-11.8695,2.9297,6.4472,0.9465,2.2006,0.3231,0.1468,2.1903,3.1564,1.3678,1.4411,0.6245,0.4334,0.0025,1.3087,0.3352,-0.1382,0.8053,-0.2635,0.4428,-0.0449,-0.0232,0.0097,0.0985,0.4646,-1.0238,0.0015,0.0043,0.0658,0.314,-0.7018,0.0538,0.0337,0.1835,0.6387,-0.4313,-15.332,-0.4305,0.0281,1.4975,0.5365,0.3583,2.2426,0.2879,0.1284,1.815,1.2212,0.6728,1.2442,0.5145,0.4135,1.4796,0.7274,0.4916,0.0003,0.2709,0.1988,-0.6626,0.1381,0,0,0,0,0,TASCA_SINISTRA_DAVANTI_PANTALONI
1.763,6.9636,2.6389,16.4748,-0.2208,-0.6666,1.5454,1.2431,7.6941,-0.6827,-0.3842,2.9744,1.7247,10.9593,-1.3085,3.0215,6.0537,2.4604,13.4435,0.0069,-2.6448,-4.5887,0.5835,1.735,-0.2206,-0.1272,2.1228,1.5301,1.0725,0.7208,0.5052,0.701,4.5061,2.3411,1.1503,0.5195,0.2553,0.4913,0.9546,0.4797,-32.1006,0.5025,-33.6271,-66.9164,2.9514,2.8426,0.9969,0.9632,0.3378,0.3507,2.1412,1.5033,1.2255,0.7021,0.5723,0.8152,0.0103,4.3084,0.106,0.167,0.8727,-0.1031,-0.0165,-0.0373,0.3316,0.6969,0.8348,6.0648,-0.4657,-0.5683,0.1483,0.3851,2.9021,-4.0999,1.3335,2.1564,1.4685,5.8981,-0.5192,-0.5835,0.2487,-0.4262,2.1676,0.5685,0.2623,4.6985,0.3232,0.0688,0.8259,0.9559,1.1574,7.2715,1.0658,0.1466,2.0898,1.0283,0.492,0.008,2.8291,-0.2681,0.5236,0.1471,3.9409,0.0556,0.2359,1,0.75,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.0801,0.7534,0.868,4.4632,-0.582,-0.1407,0.2099,0.4582,2.0954,-0.7157,0.078,0.2884,0.537,2.9117,-0.8046,1.0023,0.2795,0.5286,2.783,0.0728,0.5696,-1.0273,-0.08,-1.8034,-0.1404,0.0778,1.8944,1.6163,1.6419,0.8532,0.8667,1.0158,3.5886,2.6124,2.6959,0.728,0.7512,1.032,1.8786,1.2649,-7.5167,0.6733,-4.0013,-5.9428,2.31,1.7485,0.94,0.7569,0.4069,0.5376,2.13,1.5328,1.6038,0.7196,0.7529,1.0463,0.001,1.4763,0.4805,0.0996,0.2068,-0.0198,0.2795,-0.0137,-0.2105,0.0527,0.2296,1.003,-1.7541,-0.066,0.0333,0.1825,0.7722,-1.7103,0.0784,0.0334,0.1827,0.7327,-0.5634,3.1906,-2.6844,-0.8414,1.2583,1.2568,0.9988,1.5832,1.5794,0.9976,1.3108,2.4193,1.8456,1.2781,0.777,0.6079,1.2988,1.3688,1.0539,0.0013,0.5737,0.6975,0.4887,0.0184,0,0,0,0,0,TASCA_SINISTRA_DAVANTI_PANTALONI
-3.1132,15.1923,3.8977,14.65,-3.4191,-1.2354,10.6565,3.2644,14.1271,-1.0783,-0.9412,9.4683,3.0771,11.2373,-1.4141,6.399,6.4739,2.5444,10.7406,0.0742,2.5199,3.3076,-0.4865,1.3126,-0.1931,-0.1471,1.194,1.2667,1.5319,1.0609,1.283,1.2094,1.4256,1.6045,2.3467,1.1255,1.6461,1.4625,1.5464,1.722,-13.1684,1.1135,-8.5154,-7.6472,0.4877,0.7122,0.2858,1.4603,0.5859,0.4012,1.037,1.3037,1.364,1.2572,1.3153,1.0462,0.0184,9.2029,0.0811,-0.1008,-0.6969,0.5538,-0.1784,-0.1917,0.2738,0.3536,0.5946,2.5998,-0.5738,0.7839,2.4014,1.5497,6.0146,-0.3936,-1.3887,2.9242,1.71,4.9464,-13.3986,0.3493,-0.1972,-0.5645,0.3837,0.3477,0.9062,0.1472,0.1209,0.8212,0.558,0.2059,0.3691,0.3828,4.8085,12.5626,0.4323,0.5256,1.2159,0.0086,3.1028,0.3093,-0.1577,0.0257,265.4603,9354.3584,96.7179,303,0.1416,TASCA_SINISTRA_DAVANTI_PANTALONI
