@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
-1.2613,12.6619,3.5584,11.7258,-0.9521,-3.0539,2.884,1.6982,7.5318,?,-1.4334,6.0482,2.4593,9.3018,-1.4065,5.7284,1.7516,1.3235,5.5709,0.4043,0.413,0.88,-0.2202,2.1306,-0.5331,-0.2502,2.0953,1.4469,2.6886,0.6905,1.2832,1.8582,4.3904,2.0935,7.2287,0.4768,1.6465,3.4529,0.7593,1.052,-1.5127,1.3854,-1.9922,-1.438,0,1.554,0.6423,0,0,0.4133,1.5568,1.2606,2.1048,0.8097,1.352,1.6697,0.072,9.1419,-0.8265,0.6484,0.7224,-0.5527,-0.758,0.4919,TASCA_DESTRA_DAVANTI_PANTALONI
-3.2836,1.5485,1.2444,5.5807,-15.7205,-1.4156,3.1892,1.7858,11.6151,-1.5826,-2.2091,1.9603,1.4001,9.0852,-1.8168,4.7937,1.3843,1.1766,6.1484,0.2386,2.3196,1.4864,-0.685,0.6408,-0.2953,-0.4608,0.6968,0.8888,1.0576,1.2755,1.5178,1.19,0.4856,0.79,1.1186,1.6269,2.3038,1.416,0.7372,0.8954,-2.7225,1.2146,-3.6932,-3.0406,0.0742,0.1035,0.0413,1.3944,0.5569,0.3994,0.4805,0.6143,0.9077,1.2785,1.8891,1.4777,0.0876,7.4161,-0.0351,0.3153,-0.4075,-0.1564,-0.2881,-0.5557,TASCA_DESTRA_DAVANTI_PANTALONI
-0.465,3.9263,1.9815,6.7747,-1.0935,-0.8664,1.5621,1.2499,4.1899,-1.5443,-1.6073,7.2658,2.6955,9.0875,-3.0231,3.8312,1.6265,1.2754,5.355,0.2266,0.5367,0.2893,-0.1214,0.539,-0.2261,-0.4195,1.5854,0.7351,1.5537,0.4637,0.98,2.1135,2.5134,0.5404,2.4139,0.215,0.9604,4.467,1.3915,0.5182,-2.255,0.3724,-1.6206,-4.3515,1.9651,1.4326,0.4674,0.729,0.2378,0.3262,1.6169,0.7455,1.2651,0.4611,0.7824,1.697,0.0428,5.7226,0.6237,-0.3617,0.078,-0.3196,-0.0242,-0.861,TASCA_DESTRA_DAVANTI_PANTALONI
0.0016,0.0176,0.1325,0.5481,-0.8721,0.0347,0.0088,0.0936,0.5178,-1.0881,-0.0138,2.6512,1.6282,5.5739,-0.9056,1.3677,0.8083,0.8991,2.7949,0.0457,0.0448,-0.1122,0.0011,-2.5074,0.0253,-0.0101,1.4153,0.0814,0.1474,0.0575,0.1042,1.811,2.003,0.0066,0.0217,0.0033,0.0108,3.2798,0.9463,0.0964,-1.9061,0.1019,-2.0143,-19.7748,1.1806,0.1001,0.1,0.0848,0.0847,0.9987,1.0585,0.0983,0.1961,0.0929,0.1853,1.9943,0.0007,1.5307,-0.0771,0.5098,-0.0482,-0.1646,-0.1634,0.0231,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0092,0.0247,0.1572,0.7254,-1.2395,0.0054,0.0087,0.0935,0.3672,-0.732,-0.003,2.8266,1.6812,5.6481,-0.9528,1.4368,0.7957,0.892,2.7807,0.0387,-1.6931,3.0173,-0.0064,-1.7821,0.0038,-0.0021,1.6812,0.0935,0.1763,0.0556,0.1048,1.8848,2.8264,0.0087,0.0311,0.0031,0.011,3.5523,2.5867,0.1457,-3.5894,0.0563,-1.3876,-24.6382,1.5277,0.112,0.112,0.0733,0.0733,0.9999,1.9753,0.1284,0.2609,0.065,0.1321,2.0312,0.0002,1.6146,-0.0316,0.643,-0.0565,-0.0303,0.1052,-0.0571,TASCA_DESTRA_DAVANTI_PANTALONI
-2.1512,27.7276,5.2657,22.7289,-1.6776,0.7013,11.7759,3.4316,12.0152,-0.7243,0.4145,13.6926,3.7004,17.287,-0.5523,7.2014,6.6266,2.5742,13.3678,0.1298,-3.0673,-5.1903,-0.2987,1.6921,0.0974,0.0576,1.5345,1.423,2.0456,0.9274,1.3331,1.4375,2.3546,2.025,4.1843,0.86,1.7771,2.0663,2.8214,2.3153,-7.142,0.8206,-2.5313,-3.0847,1.2182,0.7622,0.5526,0.6257,0.4536,0.7249,1.8917,1.3148,1.7003,0.695,0.8988,1.2932,0.046,10.665,0.1834,-0.3205,-0.5728,-0.4236,-0.1317,0.4422,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0168,0.0201,0.1417,0.5554,-0.9545,0.0251,0.0141,0.1187,0.5733,-1.0951,-0.0845,2.1371,1.4619,5.2059,-1.2551,1.2506,0.6153,0.7844,2.8794,0.0092,-0.6678,0.1983,-0.0134,-0.2969,0.0201,-0.0676,1.1932,0.0969,0.1806,0.0812,0.1514,1.8636,1.4236,0.0094,0.0326,0.0066,0.0229,3.473,0.9051,0.0936,-10.1521,0.1034,-11.2167,-108.4512,1.0385,0.1231,0.0978,0.1185,0.0942,0.7944,0.9688,0.1067,0.1929,0.1101,0.1991,1.808,0.0018,1.4271,-0.177,0.256,0.0868,0.0549,-0.0893,-0.2009,TASCA_DESTRA_DAVANTI_PANTALONI
-0.2009,2.135,1.4612,6.4736,-0.6904,1.1862,1.4089,1.187,4.5249,-0.344,-2.4132,14.946,3.866,16.6431,-1.145,4.6203,4.4138,2.1009,8.4605,0.0489,-0.1694,0.0833,-0.0435,-0.4916,0.2567,-0.5223,1.231,0.378,0.6955,0.307,0.565,1.8402,1.5154,0.1428,0.4837,0.0943,0.3192,3.3862,2.2828,0.2976,-6.0762,0.1304,-2.6617,-20.4165,1.1375,0.4936,0.4305,0.4339,0.3785,0.8722,1.4307,0.389,0.7652,0.2719,0.5348,1.9672,0.0529,6.4982,0.509,-0.5434,0.3024,-0.4773,0.5229,-0.3681,TASCA_DESTRA_DAVANTI_PANTALONI
1.4096,3.056,1.7481,7.5382,-0.2264,0.1246,2.1874,1.479,5.4629,-1.2358,-3.2002,2.7793,1.6671,6.8797,?,3.975,4.4659,2.1133,8.6842,0.0841,11.3165,-0.4405,0.3546,-0.0389,0.0313,-0.8051,1.182,1.0486,0.8272,0.8872,0.6999,0.7889,1.3971,1.0996,0.6843,0.787,0.4898,0.6223,0.4608,0.2023,-1.7454,0.4389,-3.7875,-8.6297,2.5157,0,0.6483,0,0.2577,0,1.3799,1.0957,0.868,0.7941,0.6291,0.7922,0.0686,6.2162,-0.7316,-0.6042,0.7454,0.4652,-0.5904,-0.9693,TASCA_DESTRA_DAVANTI_PANTALONI
-1.0328,6.8485,2.617,12.9628,-0.7747,-2.294,2.6701,1.634,9.3294,-2.9914,-0.737,2.0697,1.4387,5.2418,-2.4352,4.0388,2.1487,1.4658,7.175,0.2122,0.4502,1.4013,-0.2557,3.1125,-0.568,-0.1825,1.6015,1.819,1.7853,1.1358,1.1147,0.9815,2.5649,3.3088,3.1873,1.29,1.2427,0.9633,0.8093,1.5228,-2.9283,1.8817,-3.6185,-1.923,3.125,4.7869,0.802,1.5318,0.2566,0.1675,1.3895,2.473,1.8067,1.7798,1.3003,0.7306,0.0535,6.1718,0.4891,-0.4722,0.208,0.3499,-0.3421,-0.4698,TASCA_DESTRA_DAVANTI_PANTALONI
