@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
0.7398332,7.9322076,2.8164175,14.762808,-0.85365,-2.6912963,32.29245,5.682645,29.054663,-2.4819822,0.6505831,33.932514,5.825162,29.439487,-0.59024805,7.4668365,26.61726,5.1591916,22.993906,0.0593289,-0.27489844,1.1371847,0.099082544,-4.136745,-0.36043328,0.08712968,0.49561736,0.4834917,0.54590285,0.9755342,1.1014603,1.1290842,0.2456366,0.23376422,0.29800993,0.9516669,1.2132146,1.2748312,0.32827145,0.6221873,-4.6879163,1.895344,-14.280609,-7.5345736,0.9544473,0.43020543,0.32581142,0.45073774,0.34136134,0.7573391,0.5081046,0.5014628,0.6420313,0.9869283,1.263581,1.280317,0.015004991,11.113746,-0.0886581,-0.31704074,-0.40144032,TASCA_DESTRA_DAVANTI_PANTALONI
0.48004684,3.677581,1.9177021,12.070858,-0.46481305,-1.602366,10.201357,3.1939564,18.59334,-1.7054937,0.42250392,18.514935,4.3028984,20.73574,-0.7192196,5.0176454,10.193643,3.1927485,12.294357,0.05569295,-0.29958627,1.136195,0.095671736,-3.792547,-0.3193462,0.08420362,0.6004159,0.44567683,0.600643,0.74228024,1.0003783,1.3477098,0.3604992,0.19862781,0.360772,0.5509799,1.0007567,1.8163217,0.32679337,0.44155473,-5.282524,1.351174,-16.164722,-11.963464,1.1990714,0.6832313,0.6329412,0.5698003,0.52785945,0.92639375,0.6492033,0.5821281,0.981821,0.8966808,1.5123475,1.6866063,0.008985743,7.1232314,-0.15743376,-0.15754464,0.03808021,TASCA_DESTRA_DAVANTI_PANTALONI
0.0026770446,2.7635663,1.6623977,10.903328,-1.2455449,-0.11767915,10.751125,3.2788908,19.557407,-0.7393382,0.34121594,10.119534,3.1811213,15.841795,-0.5222173,4.1711354,6.3661556,2.5231242,14.984289,0.024229635,-0.022748673,0.007845602,6.418024E-4,-0.34488174,-0.028212737,0.08180409,0.507,0.5225823,0.6588648,1.0307343,1.299536,1.2607867,0.25704902,0.27309227,0.43410283,1.0624131,1.688794,1.5895832,0.7274888,1.1128017,-16.254042,1.5296478,-22.342669,-14.606413,0.43182728,0.46656227,0.3161905,1.0804372,0.7322152,0.6777027,0.55750376,0.6882634,0.72765064,1.2345449,1.3051943,1.057227,0.0019097808,6.4424543,-0.30147704,0.17954005,0.78620076,TASCA_DESTRA_DAVANTI_PANTALONI
-0.097968705,6.8565025,2.6184924,16.372623,-0.86630607,0.27352014,17.864357,4.226625,24.669771,-0.91904503,0.49017668,17.13376,4.1392946,17.07597,-0.8859242,5.807975,8.446717,2.9063237,14.988695,0.03064069,-0.3581773,-0.19986407,-0.016867964,0.5580032,0.047093894,0.084397174,0.6195232,0.63259387,0.9009638,1.0210979,1.4542857,1.4242374,0.3838091,0.400175,0.81173575,1.0426408,2.1149468,2.028452,0.6432652,0.94743425,-16.040916,1.4728519,-24.93671,-16.930902,0.68242586,0.9688896,0.56735694,1.4197727,0.8313826,0.5855744,0.6636715,0.95881075,1.0923315,1.4447069,1.6458919,1.1392566,0.002999004,8.892851,-0.51687825,0.02732375,0.7204186,TASCA_DESTRA_DAVANTI_PANTALONI
0.4760367,7.2049117,2.6841967,18.275593,-1.09316,0.88857406,24.395473,4.9391775,29.247635,-0.47055343,-0.025683692,12.385673,3.5193284,22.122078,-0.68587244,5.881089,10.415681,3.2273333,22.56249,0.01375814,0.535731,-18.53459,0.08094363,-34.59682,0.15109006,-0.0043671657,0.5434501,0.7627014,0.8317073,1.4034432,1.5304207,1.0904757,0.29533806,0.5817134,0.691737,1.9696527,2.3421872,1.1891371,1.0198444,1.0604942,-30.32421,1.0398587,-29.734152,-28.594414,0.43899453,0.66537714,0.38165015,1.5156844,0.8693734,0.57358474,0.6248571,0.8261246,0.8099989,1.3221016,1.2962946,0.9804803,0.005450714,8.762456,0.1564581,-0.29998514,-0.39502117,TASCA_DESTRA_DAVANTI_PANTALONI
0.019684019,9.028708,3.004781,24.686405,-0.3731785,-0.5617642,10.42265,3.2284129,21.484013,-0.99975634,0.63199955,19.001776,4.3591027,29.521069,-0.44718903,5.00959,14.072518,3.7513356,25.598568,0.02075117,-0.03503965,0.031145621,0.003929267,-0.88886803,-0.11213775,0.12615794,0.9307301,0.6893118,0.8009896,0.74061406,0.8606036,1.1620135,0.8662584,0.47515076,0.6415844,0.5485093,0.7406386,1.3502754,0.62461865,0.73544383,-12.36751,1.1774285,-19.800097,-16.81639,1.673372,0.8813005,0.6877146,0.52666146,0.4109753,0.78034055,1.1490593,0.83623004,0.9643667,0.72775185,0.8392662,1.1532313,0.004405246,7.5712113,0.35979858,0.09507232,-0.10611895,TASCA_DESTRA_DAVANTI_PANTALONI
0.35980096,7.0783005,2.6605077,17.927567,-0.47966066,-2.361428,33.328053,5.7730455,35.472042,-1.6466626,0.35094836,11.4779005,3.3879051,22.664816,-0.9817201,6.3170495,17.808092,4.2199636,22.930183,0.021726726,-0.15236583,1.0252248,0.056957122,-6.728705,-0.3738182,0.055555742,0.46084994,0.7852958,0.6304575,1.7040163,1.3680321,0.8028281,0.21238266,0.6166895,0.39747664,2.9036715,1.8715117,0.64453286,0.26333046,0.5176018,-11.411736,1.9655979,-43.33618,-22.047327,0.9040066,1.059374,0.5169064,1.1718653,0.5717949,0.48793566,0.5053999,0.79098666,0.7818327,1.5650709,1.5469584,0.98842716,0.0125746075,9.201951,0.6013393,-0.16086486,0.17388646,TASCA_DESTRA_DAVANTI_PANTALONI
-1.0361834,7.2197833,2.6869655,15.432301,-2.7597494,-1.7175919,12.67797,3.5606136,18.748684,-4.191709,0.36780217,11.899653,3.4495873,16.614862,-0.8506857,4.9430103,11.523142,3.3945754,19.226263,0.0145706395,0.6032768,-2.8172302,-0.20962597,-4.6698794,-0.34747893,0.07440854,0.7546355,0.77892375,0.7915469,1.0321854,1.0489129,1.0162059,0.5694747,0.6067222,0.62654644,1.0654067,1.1002182,1.0326744,0.74832433,1.4832289,-39.846798,1.982067,-53.24803,-26.8649,1.1366098,0.45720157,0.21037902,0.40225026,0.18509345,0.460145,0.8231138,0.9288251,0.80266774,1.1284285,0.97516006,0.8641753,0.010512275,7.6362762,0.803684,-0.4106701,-0.09850116,TASCA_DESTRA_DAVANTI_PANTALONI
-0.14099237,0.3375991,0.5810328,3.5062733,-2.2469316,0.2932131,1.1273488,1.0617669,5.833853,-0.55403805,0.4924433,4.1094804,2.0271854,8.692495,-0.5704736,1.6662791,3.1462932,1.7737794,5.696562,0.0053550256,-0.4808529,-0.2863119,-0.084615104,0.5954251,0.17596878,0.2955347,0.54723203,0.28662047,0.3275677,0.5237641,0.59859014,1.1428622,0.29946285,0.08215129,0.10730059,0.2743288,0.35831016,1.306134,1.1666191,0.76844555,-79.11452,0.6586945,-67.81521,-102.953964,0.28765956,0.1951007,0.18855059,0.6782347,0.6554643,0.966427,0.6010219,0.40336788,0.61550695,0.67113674,1.0241007,1.5259196,0.0033726543,2.3449547,0.037958607,-0.17235099,0.16199346,TASCA_DESTRA_DAVANTI_PANTALONI
0.7493705,3.5369816,1.8806865,8.62829,-0.32531196,-0.8924557,4.419572,2.1022778,10.037083,-4.6000557,0.50266045,8.588022,2.9305327,13.796986,-0.38165894,3.0975826,8.560262,2.9257925,11.266708,0.04049329,-0.8396725,1.4908086,0.24192108,-1.7754643,-0.28811362,0.16227508,0.89459467,0.6417559,0.6427956,0.7173705,0.71853274,1.0016202,0.8002996,0.41185054,0.41318616,0.5146204,0.51628935,1.003243,0.25687888,0.55570954,-4.4542494,2.1633134,-17.339882,-8.015428,3.6323814,0.6519635,0.55444384,0.1794865,0.15263921,0.85042167,0.85964125,0.62537503,0.76582175,0.72748375,0.89086205,1.2245799,0.007293873,4.6973863,-0.7793464,0.2518369,-0.5180481,TASCA_DESTRA_DAVANTI_PANTALONI
