@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
-0.7984,1.3611,1.1667,7.5972,-1.4739,-0.0528,2.0226,1.4222,12.4074,-1.5879,0.6803,3.0533,1.7474,17.1251,-1.5414,2.1323,2.9935,1.7302,10.7282,0.0088,15.126,-1.1736,-0.3745,-0.0776,-0.0248,0.3191,0.8203,0.6677,0.6743,0.8139,0.822,1.0099,0.673,0.4458,0.4547,0.6624,0.6757,1.02,0.5945,0.4358,-47.5544,0.733,-79.9865,-109.129,0.6405,0.4557,0.2837,0.7115,0.443,0.6226,0.6123,0.4436,0.7081,0.7245,1.1565,1.5963,0.0071,3.1018,-0.0384,0.0853,-0.4531,0.0066,-0.2979,-0.2297,1100,0,0,0,1,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
1.3798,8.125,2.8504,24.6275,-0.1717,-0.5717,5.2913,2.3003,11.4973,-0.8981,-0.6454,4.0159,2.004,19.6386,-0.9872,3.5638,7.3787,2.7164,23.2353,0.0046,-2.4136,-2.138,0.3872,0.8858,-0.1604,-0.1811,1.2392,1.4224,1.0494,1.1479,0.8468,0.7377,1.5355,2.0232,1.1011,1.3176,0.7171,0.5442,0.6632,0.3698,-33.4501,0.5576,-50.4344,-90.4488,3.4701,2.127,0.9005,0.6129,0.2595,0.4234,2.142,1.254,1.0599,0.5854,0.4948,0.8452,0.0114,5.2311,0.1708,0.0968,0.674,0.0314,-0.1975,-0.0959,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.006,0.0316,0.1778,2.0938,-3.1416,-0.0608,0.0525,0.2291,2.8674,-3.0678,0.0315,0.0044,0.0663,0.4216,-1.1818,0.159,0.068,0.2607,2.6578,0.013,-0.0988,0.1904,0.0378,-1.9275,-0.3826,0.1985,0.7763,2.6836,0.6822,3.457,0.8788,0.2542,0.6026,7.2018,0.4654,11.9511,0.7722,0.0646,0.7345,6.9557,-45.4167,9.4705,-61.8366,-6.5294,0.7172,2.6166,0.1877,3.6483,0.2618,0.0718,0.7302,4.967,0.7878,6.802,1.0788,0.1586,0.0005,0.2383,0.8346,0.3891,-0.7492,0.2116,-0.7707,-0.2672,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
1.0063,6.2787,2.5057,15.0267,-0.2465,-1.3861,7.2116,2.6855,10.9923,-1.3414,-0.4212,1.1601,1.0771,5.284,-1.5395,3.497,5.5323,2.3521,12.4593,0.0083,-0.726,-2.3892,0.2878,3.2908,-0.3964,-0.1204,0.9331,2.3264,1.0653,2.4933,1.1417,0.4579,0.8706,5.4123,1.1349,6.2166,1.3036,0.2097,0.4719,0.9278,-28.557,1.966,-60.514,-30.7803,2.5677,5.7935,0.9595,2.2563,0.3737,0.1656,1.367,2.8438,1.2061,2.0803,0.8823,0.4241,0.0122,5.213,-0.2381,-0.1913,0.7041,0.2407,-0.5839,-0.2049,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0619,0.0119,0.109,0.8862,-1.9503,-0.0886,0.0139,0.1178,0.9486,-3.222,0.0206,0.0073,0.0855,0.4938,-0.9726,0.1729,0.0153,0.1237,0.8778,0.0098,-0.6992,3.0053,0.3582,-4.2982,-0.5124,0.1192,0.9253,1.2752,0.8815,1.3782,0.9526,0.6912,0.8562,1.6262,0.777,1.8993,0.9075,0.4778,0.8093,2.4063,-67.6413,2.9734,-83.5847,-28.1107,1.3369,1.2,0.3389,0.8976,0.2535,0.2824,0.9342,1.7947,1.0096,1.9211,1.0807,0.5625,0.0008,0.2666,0.1167,0.0428,-0.0355,-0.059,-0.8225,0.0855,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0167,0.0033,0.0574,0.3279,-1.0481,-0.0229,0.0027,0.0521,0.2669,-1.0265,0.021,0.0051,0.0711,0.3333,-0.7325,0.1033,0.0016,0.0405,0.2206,0.0602,-0.7296,0.7971,0.1618,-1.0926,-0.2218,0.203,1.1031,0.8078,1.4169,0.7323,1.2845,1.7539,1.2169,0.6526,2.0076,0.5363,1.6499,3.0763,1.2411,1.1906,-11.8799,0.9593,-9.5717,-9.978,1.2157,0.8321,0.6819,0.6845,0.5609,0.8195,1.2286,0.9837,1.486,0.8007,1.2095,1.5106,0.0002,0.1567,-0.4267,0.1448,0.133,-0.1978,-0.1399,0.3004,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-1.6099,3.6457,1.9094,6.783,-18.2846,-0.1123,0.6881,0.8295,4.0588,-1.2376,-1.2376,4.0648,2.0161,8.8542,-9.0345,2.5779,5.8891,2.4267,8.6828,0.0155,14.3414,1.3008,-0.6245,0.0907,-0.0435,-0.4801,2.3017,0.947,0.7868,0.4115,0.3418,0.8308,5.2978,0.8969,0.6191,0.1693,0.1169,0.6902,2.8648,0.8067,-46.9552,0.2816,-16.3902,-58.203,0.1939,0.3986,0.0399,2.0557,0.2057,0.1,1.6712,0.7661,0.7812,0.4584,0.4675,1.0197,0.0155,3.7956,0.0645,0.7297,-0.9261,0.0431,-0.0575,-0.9089,125000,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-1.4599,17.6737,4.204,45.3506,-2.0412,0.1064,2.6468,1.6269,8.4781,-1.0752,-1.9945,14.8172,3.8493,36.4403,-0.5867,4.6008,20.0906,4.4823,31.1809,0.022,-13.72,0.7319,-0.3173,-0.0533,0.0231,-0.4335,2.5841,1.0921,0.9379,0.4226,0.363,0.8588,6.6774,1.1928,0.8797,0.1786,0.1317,0.7375,6.9295,2.259,-43.3683,0.326,-6.2585,-19.1984,3.65,0.6493,0.4677,0.1779,0.1281,0.7203,5.3492,1.2445,1.4544,0.2327,0.2719,1.1687,0.0172,6.4544,-0.0386,0.2441,-0.4426,0.2179,-0.0039,-0.2763,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0964,0.027,0.1643,0.7848,-0.783,-0.0805,0.0198,0.1407,0.6643,-1.8529,-0.0445,0.0247,0.1572,0.8657,-2.7121,0.2652,0.019,0.1377,0.7214,0.0147,-1.1983,-2.1656,0.3637,1.8072,-0.3035,-0.1679,1.1678,1.0455,1.1937,0.8953,1.0221,1.1417,1.3638,1.0931,1.4249,0.8015,1.0448,1.3035,0.7988,0.5449,-31.9566,0.6821,-40.0059,-58.6487,1.8902,1.8872,0.6011,0.9984,0.318,0.3185,1.1814,0.9065,1.0878,0.7673,0.9208,1.2,0.0009,0.4029,-0.2914,-0.261,0.4805,0.1602,-0.5019,-0.4823,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.0017,0.0105,0.1022,0.5674,-0.8956,0.0071,0.007,0.0837,0.4603,-0.7006,-0.0225,0.0055,0.0741,0.583,-2.0057,0.1368,0.0048,0.0694,0.3999,0.0372,-0.2455,0.077,-0.0127,-0.3137,0.0516,-0.1644,1.2217,1.379,1.4741,1.1287,1.2065,1.069,1.4926,1.9015,2.1729,1.2739,1.4557,1.1427,1.4136,0.689,-17.3273,0.4874,-12.2578,-25.1474,1.1058,1.5431,0.7205,1.3955,0.6516,0.4669,1.2326,0.9732,1.4187,0.7895,1.151,1.4578,0.0002,0.204,-0.0574,-0.1992,0.0694,-0.2027,0.2102,-0.1995,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
