@RELATION WhereIsSmartphone
@ATTRIBUTE RATIO_X_NO_G_R_AVERAGE NUMERIC
@ATTRIBUTE RATIO_X_NO_G_R_VARIANCE NUMERIC
@ATTRIBUTE RATIO_X_NO_G_R_STD NUMERIC
@ATTRIBUTE RATIO_X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_X_NO_G_R_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Y_NO_G_R_AVERAGE NUMERIC
@ATTRIBUTE RATIO_Y_NO_G_R_VARIANCE NUMERIC
@ATTRIBUTE RATIO_Y_NO_G_R_STD NUMERIC
@ATTRIBUTE RATIO_Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Y_NO_G_R_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Z_NO_G_R_AVERAGE NUMERIC
@ATTRIBUTE RATIO_Z_NO_G_R_VARIANCE NUMERIC
@ATTRIBUTE RATIO_Z_NO_G_R_STD NUMERIC
@ATTRIBUTE RATIO_Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Z_NO_G_R_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_|V|_NO_G_R_AVERAGE NUMERIC
@ATTRIBUTE RATIO_|V|_NO_G_R_VARIANCE NUMERIC
@ATTRIBUTE RATIO_|V|_NO_G_R_STD NUMERIC
@ATTRIBUTE RATIO_|V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_|V|_NO_G_R_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC
@ATTRIBUTE RATIO_X_NO_G_R_Y_NO_G_R_Z_NO_G_R_MAGNITUDE_AREA NUMERIC
@ATTRIBUTE RATIO_X_NO_G_R_Y_NO_G_R_Z_NO_G_R_SIGNAL_MAGNITUDE_AREA NUMERIC
@ATTRIBUTE RATIO_CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC
@ATTRIBUTE RATIO_CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC
@ATTRIBUTE RATIO_CORRELATION_X_NO_G_R_|V|_NO_G_R NUMERIC
@ATTRIBUTE RATIO_CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC
@ATTRIBUTE RATIO_CORRELATION_Y_NO_G_R_|V|_NO_G_R NUMERIC
@ATTRIBUTE RATIO_CORRELATION_Z_NO_G_R_|V|_NO_G_R NUMERIC
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
1.09131,1.82892,1.35238,0.94968,2.35107,1.13184,2.18563,1.47839,1.05704,0,1.77261,0.79443,0.89131,0.84454,0.68174,1.09346,3.57049,1.88957,1.54799,0.30146,0.96418,0.61565,0.99803,0.63852,1.0351,1.62109,0.91477,1.5173,0.7157,1.65868,0.78239,0.4717,0.8368,2.30219,0.51223,2.7512,0.61214,0.2225,1.0723,1.93563,3.68389,1.80512,3.43549,1.9032,0,0.56128,0.47236,0,0,0.84159,0.89843,1.1245,0.61349,1.25163,0.68285,0.54557,1.16812,1.14406,-5.50114,-1.25395,-1.64646,-3.48335,1.7493,1.07137, TASCA_DESTRA_DAVANTI_PANTALONI
0.85634,6.49279,2.5481,1.35562,0.5623,7.70556,2.54694,1.59592,0.93304,2.98528,-4.7044,7.07189,2.6593,1.95223,0.72673,1.79091,7.5865,2.75436,1.56477,0.48902,0.11113,-0.18203,0.47816,-1.63795,4.30259,-2.62682,1.59664,0.95818,0.92511,0.60013,0.57941,0.96549,2.54925,0.91811,0.85583,0.36015,0.33572,0.93217,0.62014,0.54738,1.24588,0.88267,2.00904,2.27608,3.29236,0.70745,1.08353,0.21488,0.3291,1.53159,1.45291,0.69439,0.86634,0.47793,0.59627,1.24761,1.72051,1.89036,0.78956,4.70933,-3.31014,0.88566,4.90516,3.30389, TASCA_DESTRA_DAVANTI_PANTALONI
0.39271,0.07985,0.28257,0.36426,1.44597,-4.09116,1.17463,1.0838,1.03249,0.45485,-5.76594,2.88885,1.69966,1.43514,0.64155,1.19191,0.70415,0.83914,0.59455,2.09468,-0.09599,-0.06811,0.32948,0.70954,-3.43243,-4.83755,0.26072,0.16625,0.33674,0.63766,1.29157,2.02549,0.06798,0.02764,0.11339,0.40661,1.66815,4.10261,0.59867,0.36231,0.2141,0.60519,0.35762,0.59092,0.18832,0.16075,0.31015,0.85361,1.64691,1.92935,0.3528,0.25381,0.61266,0.71944,1.73659,2.41381,2.38464,1.07405,-0.86088,0.47805,-0.07918,-0.59921,-0.02223,6.6232, TASCA_DESTRA_DAVANTI_PANTALONI
-0.4129,0.00491,0.07007,0.08819,0.75471,0.92777,0.25595,0.50592,0.46085,0.87904,0.16017,0.05102,0.22588,0.24897,1.12441,0.129,0.00753,0.0868,0.12853,2.71002,-0.44505,-2.57783,-3.20088,5.79225,7.1922,1.24169,0.1385,0.31022,0.80729,2.23975,5.82862,2.60235,0.01918,0.09623,0.65171,5.01649,33.97285,6.77223,0.17832,0.28941,0.20314,1.62299,1.13921,0.70192,0.2077,0.43119,0.72946,2.07601,3.51209,1.69175,0.19137,0.35423,0.68619,1.85102,3.58565,1.93712,0.78237,0.14831,0.6354,0.0251,-8.86398,-0.97972,-4.07937,3.70642, TASCA_DESTRA_DAVANTI_PANTALONI
0.23952,0.00325,0.05702,0.0892,1.53274,-0.48585,1.11406,1.05549,0.88285,1.39265,-2.75249,0.07565,0.27505,0.28957,1.43607,0.13856,0.01458,0.12076,0.15854,0.90419,-0.49299,-0.08702,1.72864,0.17651,-3.50647,-19.865,0.05402,0.2073,0.47215,3.83751,8.74033,2.27761,0.00292,0.04297,0.22293,14.72648,76.39341,5.18748,0.10199,0.30948,0.75395,3.03433,7.39229,2.43621,0.09267,0.28996,0.44477,3.12893,4.79952,1.53392,0.10103,0.30804,0.56262,3.04884,5.56862,1.82647,1.49524,0.16531,0.8033,-0.22324,-0.8923,-3.02555,-2.16647,5.66394, TASCA_DESTRA_DAVANTI_PANTALONI
3.14796,0.49238,0.70169,0.67745,1.44757,11.34847,0.38051,0.61686,0.57425,0.96767,-2.17096,0.96472,0.9822,1.1266,0.70709,0.86753,0.33322,0.57725,0.44617,3.4005,0.27739,-1.45003,3.62865,-5.2274,13.08134,-2.50246,1.13753,0.71441,1.21558,0.62803,1.06862,1.70152,1.29398,0.51038,1.47764,0.39443,1.14194,2.89518,1.46196,0.86396,0.4263,0.59096,0.29159,0.49342,0.97729,0.42202,1.00142,0.43182,1.02469,2.37295,1.17971,0.60133,1.51838,0.50972,1.28707,2.52505,2.51413,0.83301,0.93481,1.39022,1.86516,-1.15505,1.68424,1.20916, TASCA_DESTRA_DAVANTI_PANTALONI
-0.12837,0.00523,0.07233,0.1001,0.58678,0.79628,0.42743,0.65378,0.8194,1.28744,0.44066,0.14027,0.37453,0.41138,1.03429,0.20778,0.03407,0.18459,0.21444,8.93268,-0.16121,-0.2913,-0.6178,1.807,3.83231,2.12082,0.11063,0.19311,0.39182,1.74561,3.54179,2.02897,0.01224,0.03729,0.15353,3.04716,12.54428,4.11672,0.08231,0.18276,0.03666,2.22049,0.44545,0.20061,0.18059,0.32215,0.55814,1.78387,3.09067,1.73257,0.12216,0.24331,0.46677,1.99182,3.82102,1.91836,0.47859,0.21399,-0.06821,0.2268,-0.37833,-0.4704,-0.32867,-0.47764, TASCA_DESTRA_DAVANTI_PANTALONI
-1.79902,0.17867,0.42269,0.45451,0.03707,0.06476,0.317,0.56303,0.57348,0.40785,-3.16243,2.23383,1.4946,1.13252,0.44603,0.57517,0.29892,0.54674,0.71684,2.90778,-27.77859,0.56887,-3.1278,-0.02048,0.1126,-5.49824,0.75075,0.28281,0.77312,0.37671,1.0298,2.73368,0.56363,0.07998,0.59772,0.14191,1.06049,7.47301,0.14056,0.06088,0.01922,0.43312,0.13671,0.31564,1.54663,0.73259,1.50745,0.47367,0.97467,2.05771,0.79255,0.40133,0.63405,0.50638,0.80002,1.57987,0.47013,0.68316,-2.77384,-6.17839,1.88531,0.33944,1.13977,1.10992, TASCA_DESTRA_DAVANTI_PANTALONI
-0.02277,2.27908,1.50966,1.02205,-42.51955,1.78283,0.85763,0.92609,0.95609,2.91274,6.99417,6.33065,2.51608,1.94314,0.96626,1.39662,1.49858,1.22417,1.06794,0.8741,-0.01277,-0.00326,-0.01631,0.2549,1.27653,5.00792,1.63015,0.60001,1.23322,0.36807,0.7565,2.05534,2.6574,0.36001,1.52083,0.13547,0.5723,4.22443,-18.04565,-10.02301,-20.6226,0.55543,1.1428,2.05753,1.23619,0.22777,0.42395,0.18426,0.34295,1.86129,1.06898,0.52598,0.95703,0.49203,0.89527,1.81953,1.39647,1.52698,-56.44385,-4.77332,1.15039,0.67186,1.05384,0.98155, TASCA_DESTRA_DAVANTI_PANTALONI
1.29382,3.25989,1.80552,0.90687,1.47267,0.63499,1.99621,1.41287,1.16649,0.21482,-8.26407,6.68975,2.58646,1.96363,0.62706,1.83508,1.47704,1.21534,1.21981,1.2163,2.03756,-0.15656,0.70505,-0.07684,0.34603,-4.50337,1.2779,0.69807,1.48561,0.54626,1.16254,2.12818,1.63303,0.4873,2.20704,0.2984,1.3515,4.52916,1.26087,0.7125,0.66895,0.56508,0.53055,0.93888,0.18393,0.30338,0.5525,1.64946,3.00388,1.82113,0.77744,0.46184,0.74346,0.59405,0.95629,1.60979,1.35998,1.88342,0.94191,-1.46524,0.90807,4.71212,0.77465,3.1507, TASCA_DESTRA_DAVANTI_PANTALONI
