@RELATION WhereIsSmartphone
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
-14.988821,94.99959,9.746773,37.319946,?,-3.669602,296.2353,17.211487,59.999084,-0.36797243,-34.842342,200.30238,14.1528225,44.459534,?,4.0845904,0.43018982,0.105320185,0.56629467,0.68868047,1.2161169,0.32068965,0.47428086,1.4789404,2.312376,0.8394138,0.36300924,0.0,1.0,?,0.6220086,0.8394138,1.3495213,0.19951145,64.8207,-0.33485502,-0.627095,0.9277519,TASCA_DESTRA_DAVANTI_PANTALONI
-11.616427,53.383175,7.306379,28.439331,?,-8.318839,47.684555,6.9054003,27.537537,-0.92050654,-28.541075,58.185917,7.6279693,33.059692,?,1.3964001,0.40700737,0.291469,1.0580674,0.9578406,0.90527374,1.1195066,0.9174587,0.81952053,2.1546822,0.86024183,0.39924306,0.0,1.0,?,1.0327479,0.86024183,0.83296406,0.16623785,50.60667,-0.9155951,-0.91694665,0.98331594,TASCA_DESTRA_DAVANTI_PANTALONI
11.595047,123.594215,11.117293,45.05768,-1.4704258,-30.7396,33.637943,5.799823,34.498596,?,-18.269007,15.893906,3.986716,28.199768,?,-0.37720227,-0.634684,1.6826092,1.9168333,2.7885842,1.454787,3.6742501,7.7762017,2.116405,0.7773895,0.9510308,1.2233646,?,?,1.0,1.3060728,1.5978031,1.2233646,0.1988971,64.42058,-0.90948665,0.5716703,-0.48037553,TASCA_DESTRA_DAVANTI_PANTALONI
15.085254,119.98967,10.9539795,48.239136,-1.2584655,-30.036865,12.75455,3.5713513,33.779907,?,-23.133595,12.032878,3.468844,30.599976,?,-0.5022246,-0.65209293,1.2984089,3.0671806,3.1578186,1.0295509,9.407598,9.971818,1.059975,0.79573584,0.8784282,1.1039194,?,?,1.0,1.4280423,1.5764436,1.1039194,0.21475628,71.30551,-0.71294516,0.49091768,-0.5671851,TASCA_DESTRA_DAVANTI_PANTALONI
-44.425674,70.48056,8.39527,69.5,?,27.437838,87.87653,9.3742485,34.75,0.25268817,-12.820271,40.79241,6.3868937,45.5,?,-1.6191391,3.4652681,-2.1401918,0.8955673,1.3144528,1.4677321,0.80204076,1.7277861,2.1542373,-5.9148936,1.5274725,-0.25824177,0.0,1.0,?,2.0,1.5274725,0.76373625,0.29062966,84.683784,-0.29274628,0.73400134,-0.3207101,TASCA_DESTRA_DAVANTI_PANTALONI
-27.615885,41.61422,6.4509087,43.6875,?,-16.800455,9.523925,3.0860858,26.3125,?,-36.125652,93.247444,9.656471,44.5,?,1.6437582,0.76443976,0.4650561,2.0903206,0.66804,0.31958732,4.36944,0.44627732,0.10213604,1.6603326,0.98174155,0.59129214,1.0,1.0,1.0,1.6603326,0.98174155,0.59129214,0.25248092,80.54199,0.63747644,-0.87163275,-0.5551099,TASCA_DESTRA_DAVANTI_PANTALONI
-31.00228,255.51625,15.984876,57.0,?,12.352214,38.63405,6.2156296,21.5,-0.039274924,56.557617,108.97476,10.439097,37.25,0.4471243,-2.509856,-0.54815394,0.21840054,2.5717227,1.5312507,0.5954183,6.613758,2.3447287,0.35452288,70.15385,-1.8921162,-0.026970955,0.0,0.0,0.30705008,2.6511629,1.5302013,0.5771812,0.34202862,99.98633,-0.113314204,0.95726126,-0.05396276,TASCA_DESTRA_DAVANTI_PANTALONI
-21.440077,88.60567,9.413058,51.0,?,-39.536728,37.79943,6.148124,42.4375,?,-26.11308,49.873665,7.062129,35.625,-9.0,0.5422825,0.8210474,1.5140585,1.5310456,1.3328924,0.8705766,2.3441005,1.7766023,0.75790364,1.2017673,1.5906433,1.3235867,1.0,0.0,0.0,1.2017673,1.431579,1.191228,0.26807705,87.16527,-0.85974526,-0.9592593,0.91493875,TASCA_DESTRA_DAVANTI_PANTALONI
21.950357,201.6052,14.198774,52.9375,-0.80597013,-17.404285,2.1281605,1.4588217,21.6875,?,-13.391429,9.632899,3.1036913,17.3125,-24.181818,-1.2612041,-1.6391348,1.2996585,9.733044,4.5748024,0.47002795,94.73214,20.928818,0.22092627,1.0893372,1.4210526,1.3045113,?,42.636364,1.4E-45,2.4409223,3.0577617,1.2527076,0.17742445,56.05393,0.30190384,-0.833841,0.06329671,TASCA_DESTRA_DAVANTI_PANTALONI
-6.7101293,178.084,13.344811,48.0,-5.047244,-6.749641,10.457054,3.2337368,20.8125,-0.88135594,-39.666668,122.688385,11.076479,47.375,-27.074074,0.9941461,0.16916291,0.17015901,4.126746,1.2047882,0.29194626,17.030035,1.4515147,0.08523263,4.1089745,0.876881,0.2134063,0.7175141,4.703704,6.5555553,2.3063064,1.0131927,0.43931398,0.23443966,57.03448,-0.50621176,-0.9193709,0.7524211,TASCA_DESTRA_DAVANTI_PANTALONI
10.025357,318.53833,17.847643,62.9375,-1.7589041,-34.376785,10.303322,3.2098787,40.6875,?,-31.751429,16.822409,4.101513,35.375,?,-0.2916316,-0.3157451,1.0826846,5.5602236,4.351478,0.78260845,30.91608,18.935358,0.612476,0.9861751,1.1342757,1.1501766,?,?,1.0,1.546851,1.7791519,1.1501766,0.27347645,85.30428,0.86748016,-0.7250324,-0.33791184,TASCA_DESTRA_DAVANTI_PANTALONI
-26.532686,65.95078,8.121009,46.875,?,-3.560704,11.62035,3.4088635,16.25,-3.4067798,-31.75898,235.52667,15.346878,63.9375,-1.6640625,7.451528,0.83543885,0.11211645,2.3823216,0.5291636,0.22212097,5.675456,0.28001407,0.049337722,3.7313433,1.1737089,0.31455398,0.0,0.0,0.15364583,2.8846154,0.73313785,0.25415444,0.23871648,64.492455,0.64125735,-0.8699915,-0.2479616,TASCA_DESTRA_DAVANTI_PANTALONI
-20.274067,43.13059,6.567388,33.9375,?,-11.615661,15.038703,3.8779767,20.6875,?,-17.975574,240.4385,15.50608,55.625,-0.9955157,1.7454079,1.1278676,0.64619136,1.6935089,0.42353633,0.25009394,2.8679726,0.17938304,0.06254698,1.6404834,1.222973,0.7454955,1.0,0.0,0.0,1.6404834,0.61011237,0.37191013,0.16942649,54.661278,0.94615096,-0.8893731,-0.7125498,TASCA_DESTRA_DAVANTI_PANTALONI
14.3291445,0.524856,0.7244694,2.5999908,0.8323466,-41.477764,0.36784512,0.60650235,42.919754,?,-13.4738,0.42810866,0.65430015,14.951935,?,-0.3454657,-1.063482,3.0784013,1.1945039,1.1072433,0.9269482,1.4268396,1.2259878,0.8592331,-0.3007506,-0.86330914,2.870515,?,?,1.0,0.06057795,0.17388992,2.870515,0.2295252,69.280716,0.7501036,-0.44918135,-0.630293,TASCA_DESTRA_DAVANTI_PANTALONI
7.969639,0.1129682,0.33610743,1.6000061,0.8203884,-44.601242,0.11842643,0.3441314,45.147537,?,-12.189806,0.24567562,0.49565676,13.364807,?,-0.17868647,-0.65379536,3.6588967,0.9766834,0.67810524,0.6942938,0.9539104,0.45982665,0.48204386,-0.16187231,-0.5468194,3.378091,?,?,1.0,0.0354395,0.11971786,3.378091,0.23459418,64.76068,-0.33877602,-0.01644089,-0.19143815,TASCA_DESTRA_DAVANTI_PANTALONI
-26.587053,60.14661,7.7554245,44.200012,?,-12.354226,6.8203855,2.6115868,16.199997,?,30.094543,86.16947,9.282751,29.699997,0.18630145,2.1520615,-0.883451,-0.41051382,2.9696217,0.83546615,0.2813376,8.818653,0.6980037,0.07915083,2.7283964,-6.499999,-2.3823514,1.0,0.0,0.0,2.7283964,1.488216,0.5454545,0.20902508,69.035835,-0.53929603,0.98618954,-0.55857795,TASCA_DESTRA_DAVANTI_PANTALONI
-10.8513,318.8897,17.857483,47.747803,-7.357906,-20.788334,290.78864,17.052526,54.914856,-1.895101,-28.639242,130.74458,11.43436,38.282776,?,0.5219899,0.3788962,0.7258689,1.0472045,1.5617388,1.4913408,1.0966375,2.439028,2.224097,1.1693692,1.0980111,0.93897724,0.30118254,?,?,0.8694879,1.2472398,1.4344534,0.18789351,68.62108,-0.8571993,-0.81361866,0.9435807,TASCA_DESTRA_DAVANTI_PANTALONI
-35.99354,95.257675,9.760004,52.54669,-4.5090384,-2.7717445,312.27878,17.671412,65.2359,-0.56369555,-0.3357849,82.554405,9.085945,33.93097,-0.87495786,12.98588,107.19225,8.254523,0.55230474,1.074187,1.9449172,0.3050405,1.1538775,3.7827027,1.8288347,2.7161994,1.4852077,0.22863099,0.52706575,2.305312,0.80548733,1.5486351,1.9226065,0.18050833,59.013504,0.5988342,-0.16655199,0.16491525,TASCA_DESTRA_DAVANTI_PANTALONI
-13.306284,702.52496,26.505188,72.86682,-1.3193939,31.532715,84.34014,9.183689,31.869507,0.3262798,-17.661142,39.59818,6.2927084,38.523865,?,-0.42198345,0.7534215,-1.785429,2.8861156,4.2120476,1.4594176,8.329663,17.741344,2.1298995,-2.6856155,1.0759695,-0.40064165,0.66413987,?,?,2.286412,1.8914722,0.82726663,0.19649716,76.45686,0.47594115,-0.44016632,0.027020521,TASCA_DESTRA_DAVANTI_PANTALONI
