@RELATION WhereIsSmartphone
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
7.4119277,2.0932996,1.446824,4.4095106,0.5139965,-2.9687102,19.848818,4.455201,13.142075,-1.4591843,3.060918,1.1303722,1.0631896,3.2118506,0.2855282,-2.496683,2.421472,-0.96987575,0.3247494,1.3608334,4.1904106,0.10546218,1.8518677,17.559542,-0.5980371,3.6332214,-6.075244,1.6977671,2.0182767,1.188783,0.33552623,1.3728878,4.0917454,0.17814526,15.295536,0.5779772,0.0043968577,0.6967654,TASCA_DESTRA_DAVANTI_PANTALONI
6.984106,6.4325275,2.5362427,6.730087,0.2992355,2.0569572,5.832227,2.4150004,6.8754263,-0.26059124,5.075197,5.1214166,2.2630546,6.2412043,0.18772224,3.3953578,1.3761251,0.40529603,1.0502038,1.1207166,1.0671419,1.1029282,1.2560055,1.1387918,-2.0219786,1.9924258,-0.9853843,1.7608535,1.2499273,0.7098417,0.97886103,1.0783315,1.1016185,0.18489678,14.5647745,-0.9799095,-0.92120755,0.97405595,TASCA_DESTRA_DAVANTI_PANTALONI
5.8468347,8.487557,2.9133413,7.6043158,0.18113187,2.741353,9.210992,3.0349617,8.846952,-0.356088,5.7913604,3.2038658,1.7899345,4.7395043,0.3900482,2.132828,1.0095788,0.47335216,0.95992684,1.6276245,1.6955713,0.9214597,2.6491613,2.8749619,-0.7240655,0.5549903,-0.7664918,1.4234438,1.1951125,0.8395923,0.8595407,1.6044538,1.8666408,0.18071082,15.1860695,-0.9410752,-0.89188606,0.93129814,TASCA_DESTRA_DAVANTI_PANTALONI
5.346003,11.56596,3.4008763,9.832078,-0.030131718,4.0467353,7.2810235,2.698337,7.664898,-0.090094246,5.4410553,2.7532065,1.6592789,4.8273945,0.30927163,1.3210657,0.98253053,0.74374086,1.26036,2.049611,1.6262107,1.5885074,4.2009053,2.6445613,0.45398036,-0.1330549,-0.29308516,1.3574075,1.365674,1.00609,1.2827408,2.0367255,1.5877919,0.17989303,14.9124155,-0.9594917,-0.8879609,0.9762987,TASCA_DESTRA_DAVANTI_PANTALONI
3.641338,15.772827,3.9715018,10.235962,-0.34697032,2.6558921,3.6826923,1.9190342,6.3013325,0.095857814,7.1377373,5.4544754,2.335482,6.657901,0.31820732,1.3710414,0.510153,0.37209162,2.0695314,1.7005063,0.8216866,4.282961,2.8917222,0.67516893,-3.9467516,-0.84853125,0.21499483,1.0903728,0.77819,0.7136917,1.6244123,1.5374157,0.94644433,0.17586641,14.514656,0.7165283,-0.86618936,-0.95912784,TASCA_DESTRA_DAVANTI_PANTALONI
6.47216,0.70669144,0.8406494,2.5393548,0.6723305,-2.9282486,0.29018843,0.5386914,3.7379646,?,-6.6252046,0.49758098,0.7053942,8.131058,?,-2.2102494,-0.9768996,0.44198614,1.5605398,1.1917442,0.76367426,2.4352846,1.4202541,0.5831984,-1.3939109,-0.64080095,0.45971444,?,?,1.0,0.67934155,0.31230313,0.45971444,0.20236968,16.025614,0.40556112,0.9714531,0.20197858,TASCA_DESTRA_DAVANTI_PANTALONI
5.2890806,8.377757,2.8944356,7.969722,0.09410537,0.7947919,11.834098,3.4400723,10.593717,-1.7023777,6.382973,6.610136,2.5710185,7.642758,0.16231386,6.6546736,0.82862335,0.1245175,0.84138805,1.1257935,1.3380193,0.7079337,1.2674106,1.7902957,-0.12405711,0.5590562,-4.5064425,2.2442083,0.96426564,0.42966852,0.7523065,1.0427809,1.3861117,0.1699504,14.868188,-0.7653336,-0.8486599,0.9871265,TASCA_DESTRA_DAVANTI_PANTALONI
3.9093573,3.6876707,1.9203309,6.0527344,0.16760677,2.6205611,0.47066048,0.686047,2.3554688,0.35953265,6.626332,0.58737445,0.76640356,2.9082031,0.63451153,1.4918016,0.5899731,0.3954769,2.7991242,2.5056393,0.89515114,7.8350973,6.278228,0.80129546,0.9217135,0.24139266,0.26189554,1.9771641,0.91384387,0.4621993,2.5696518,2.0812626,0.80993956,0.18471931,13.15625,-0.9842134,-0.96827185,0.9951978,TASCA_DESTRA_DAVANTI_PANTALONI
2.6214488,4.51602,2.125093,6.0742188,0.057004243,1.9527699,0.67242134,0.820013,2.2910156,0.22828947,7.5630326,0.3284851,0.5731362,1.5683594,0.817417,1.3424258,0.34661344,0.2581993,2.5915358,3.7078323,1.4307472,6.716057,13.74802,2.0470376,0.54178673,0.052294854,0.09652295,2.1697369,0.74988633,0.34561163,2.6513214,3.8729763,1.4607722,0.18725502,12.137252,-0.9808166,-0.73248667,0.8393173,TASCA_DESTRA_DAVANTI_PANTALONI
3.9778054,1.4554296,1.2064118,4.28125,0.28552803,2.0476296,0.01890585,0.13749854,0.50390625,0.789731,7.5862484,0.70932716,0.8422156,2.6640625,0.691263,1.9426391,0.5243442,0.26991335,8.773997,1.4324263,0.16325814,76.983025,2.0518453,0.026653215,0.9040248,0.28683692,0.31728882,2.5004075,0.69443184,0.27772748,8.496124,1.6070381,0.18914956,0.20016378,13.611683,-0.87411207,-0.94891477,0.7385899,TASCA_DESTRA_DAVANTI_PANTALONI
