@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
1.2127,3.5357,1.8803,11.3357,-0.6233,-0.5887,7.4085,2.7219,11.9038,-2.0456,-0.2355,1.4267,1.1944,5.6261,-0.6869,3.2714,3.5414,1.8819,9.269,0.0298,-2.06,-5.1495,0.3707,2.4997,-0.18,-0.072,0.6908,1.5743,0.9992,2.2788,1.4464,0.6347,0.4772,2.4783,0.9984,5.1929,2.0919,0.4028,0.5444,1.9,-15.2893,3.49,-28.0837,-8.0469,1.7866,2.0937,0.7309,1.1719,0.4091,0.3491,0.9523,2.0148,1.223,2.1158,1.2843,0.607,0.0143,4.9928,0.1965,-0.6243,0.1182,-0.459,-0.4592,0.1808,1100,0,0,0,1,DESTRA_PANTALONI
1.1387,0.7914,0.8896,4.5101,-0.2519,0.1685,0.9878,0.9939,4.5905,-1.0305,-0.0274,0.448,0.6694,2.8995,-0.8308,1.7013,0.6584,0.8114,3.2331,0.1386,6.7567,-41.5117,0.6693,-6.1438,0.0991,-0.0161,0.8951,1.329,1.0964,1.4848,1.2249,0.825,0.8012,1.7663,1.2021,2.2046,1.5004,0.6806,0.3895,0.6897,-1.7438,1.7706,-4.477,-2.5285,1.5935,2.2748,0.9598,1.4275,0.6023,0.4219,0.9825,1.5555,1.3949,1.5832,1.4198,0.8968,0.012,2.5663,-0.3415,0.5892,0.7527,-0.1181,-0.1885,0.4388,1100,0,0,0,1,DESTRA_PANTALONI
-1.899,3.7906,1.947,5.8728,-2.231,-3.1243,10.7472,3.2783,9.2053,-4.4124,0.9623,4.2785,2.0684,7.6198,-1.1043,5.5535,2.2688,1.5063,5.1052,0.4052,0.6078,-1.9734,-0.342,-3.2467,-0.5626,0.1733,0.5939,0.9413,1.2926,1.5849,2.1765,1.3732,0.3527,0.886,1.6708,2.5119,4.737,1.8858,0.5404,1.0141,-1.166,1.8767,-2.1578,-1.1498,1.0687,0.502,0.2118,0.4697,0.1982,0.4219,0.638,0.7707,1.1504,1.2081,1.8031,1.4926,0.0741,7.9881,-0.8769,-0.7959,0.809,0.5834,-0.926,-0.6986,1100,0,0,0,1,DESTRA_PANTALONI
3.8496,56.8682,7.5411,23.9216,-0.7157,-3.4909,42.2488,6.4999,22.5235,-3.3222,0.6534,44.4051,6.6637,21.2988,-1.2167,12.3368,18.7588,4.3311,16.3728,0.2299,-1.1028,5.8918,0.312,-5.3428,-0.283,0.053,1.1602,1.1317,1.7411,0.9754,1.5007,1.5386,1.346,1.2807,3.0315,0.9514,2.2522,2.3672,0.5764,0.8536,-2.0418,1.4809,-3.5423,-2.392,2.6756,1.4511,0.6558,0.5424,0.2451,0.4519,1.0621,1.1231,1.4611,1.0575,1.3757,1.3009,0.054,19.1979,-0.6594,0.5166,0.7733,-0.0564,-0.9338,0.2437,1100,0,0,0,1,DESTRA_PANTALONI
4.2421,8.3138,2.8834,12.1531,-0.0849,-2.3565,2.9878,1.7285,6.9958,-4.5671,-0.8551,2.8211,1.6796,8.145,-0.8357,5.8089,4.6597,2.1586,11.1309,0.1073,-1.8002,-4.9609,0.7303,2.7558,-0.4057,-0.1472,1.6681,1.7167,1.3357,1.0291,0.8007,0.7781,2.7826,2.9471,1.7842,1.0591,0.6412,0.6054,0.1657,0.2564,-0.7107,1.5478,-4.2901,-2.7718,8.9146,2.5248,0.8984,0.2832,0.1008,0.3558,1.7372,1.4921,1.0918,0.8589,0.6285,0.7317,0.0519,8.428,0.1,0.398,0.8704,-0.1537,-0.2544,0.3344,1100,0,0,0,1,SINISTRA_PANTALONI
0.0483,0.0137,0.1172,0.5936,-0.8761,-0.0713,0.0049,0.0699,0.3151,-2.1921,-0.0004,0.0138,0.1177,0.6064,-0.9412,0.1777,0.0083,0.0912,0.3444,0.0822,-0.6777,-115.3701,0.272,170.2399,-0.4014,-0.0024,1.6772,0.996,1.2854,0.5938,0.7664,1.2905,2.8131,0.992,1.6522,0.3526,0.5873,1.6655,1.2813,0.9428,-8.9936,0.7359,-7.0193,-9.5389,3.2058,1.0129,0.8434,0.316,0.2631,0.8326,1.8842,0.9789,1.7239,0.5195,0.9149,1.761,0.0009,0.2727,-0.2563,-0.1331,0.3923,-0.0387,-0.3886,0.1178,1100,0,0,0,1,SINISTRA_PANTALONI
3.9791,9.1797,3.0298,14.6305,-0.0755,-1.7841,2.0435,1.4295,5.1327,-3.3825,-1.1872,3.152,1.7754,9.7402,-1.2149,5.4194,5.4308,2.3304,12.0617,0.158,-2.2303,-3.3516,0.7342,1.5028,-0.3292,-0.2191,2.1195,1.7066,1.3001,0.8052,0.6134,0.7618,4.4921,2.9123,1.6903,0.6483,0.3763,0.5804,0.2593,0.1922,-0.4538,0.7415,-1.7504,-2.3607,11.6153,3.0934,0.9496,0.2663,0.0818,0.307,2.8505,1.5021,1.213,0.527,0.4255,0.8075,0.0491,7.8167,0.4109,0.5494,0.9382,-0.0078,0.284,0.4566,1100,0,0,0,1,SINISTRA_PANTALONI
4.4078,12.7784,3.5747,11.2498,-0.0396,2.8857,10.2221,3.1972,13.4674,-1.3015,-6.3786,29.4149,5.4236,17.1483,-28.2367,9.6074,28.556,5.3438,17.8831,0.0818,1.5274,-0.691,0.4588,-0.4524,0.3004,-0.6639,1.1181,0.6591,0.6689,0.5895,0.5983,1.0149,1.2501,0.4344,0.4475,0.3475,0.358,1.0301,0.0563,0.0259,-0.269,0.4598,-4.7785,-10.3918,1.8492,18.4492,0.5556,9.9768,0.3004,0.0301,0.8353,0.656,0.6291,0.7854,0.7531,0.9589,0.089,15.1948,-0.5388,-0.964,0.9777,0.4109,-0.4869,-0.9883,1100,0,0,0,1,SINISTRA_PANTALONI
0.0261,0.0065,0.0807,0.3463,-0.8578,-0.0158,0.0021,0.0458,0.2173,-0.9954,0.0365,0.0187,0.1369,0.6443,-1.0356,0.1585,0.0045,0.067,0.3131,0.1184,-1.6475,0.7139,0.1645,-0.4334,-0.0998,0.2304,1.7604,0.5893,1.2037,0.3348,0.6838,2.0425,3.0988,0.3473,1.4488,0.1121,0.4675,4.1718,1.4748,0.4879,-3.8041,0.3308,-2.5793,-7.7976,1.7114,0.589,0.5249,0.3442,0.3067,0.8912,1.5934,0.5375,1.1062,0.3374,0.6942,2.0578,0.0005,0.2268,0.057,0.2891,0.0697,-0.2423,0.2308,0.0636,1100,0,0,0,1,SINISTRA_PANTALONI
0.1075,0.3355,0.5792,5.5415,-0.2501,0.0094,0.0894,0.2989,2.4252,-0.4742,-0.0038,2.0872,1.4447,16.4431,-0.7422,0.6807,2.0603,1.4354,10.5009,0.0052,11.39,-28.1376,0.158,-2.4704,0.0139,-0.0056,1.9376,0.4009,0.4035,0.2069,0.2083,1.0065,3.7542,0.1607,0.1628,0.0428,0.0434,1.013,1.4213,0.1583,-20.1272,0.1114,-14.1614,-127.1587,2.6945,0.4697,0.4199,0.1743,0.1558,0.8941,2.2849,0.337,0.5277,0.1475,0.231,1.5659,0.0011,0.9797,0.4714,0.7616,0.3309,0.5778,0.2002,0.0282,1100,0,0,0,1,SINISTRA_PANTALONI
