@RELATION WhereIsSmartphone
@ATTRIBUTE RATIO_X_NO_G_AVERAGE NUMERIC
@ATTRIBUTE RATIO_X_NO_G_VARIANCE NUMERIC
@ATTRIBUTE RATIO_X_NO_G_STD NUMERIC
@ATTRIBUTE RATIO_X_NO_G_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_X_NO_G_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Y_NO_G_AVERAGE NUMERIC
@ATTRIBUTE RATIO_Y_NO_G_VARIANCE NUMERIC
@ATTRIBUTE RATIO_Y_NO_G_STD NUMERIC
@ATTRIBUTE RATIO_Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Y_NO_G_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Z_NO_G_AVERAGE NUMERIC
@ATTRIBUTE RATIO_Z_NO_G_VARIANCE NUMERIC
@ATTRIBUTE RATIO_Z_NO_G_STD NUMERIC
@ATTRIBUTE RATIO_Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Z_NO_G_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_V_NO_G_AVERAGE NUMERIC
@ATTRIBUTE RATIO_V_NO_G_VARIANCE NUMERIC
@ATTRIBUTE RATIO_V_NO_G_STD NUMERIC
@ATTRIBUTE RATIO_V_NO_G_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_V_NO_G_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_X_NO_G_Y_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_X_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_X_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_Y_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_Y_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_Z_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_X_NO_G_Y_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_X_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_X_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_Y_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_Z_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_X_NO_G_Y_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_X_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_X_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_Y_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_Z_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC
@ATTRIBUTE RATIO_X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC
@ATTRIBUTE RATIO_CORRELATION_X_NO_G_Y_NO_G NUMERIC
@ATTRIBUTE RATIO_CORRELATION_X_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_CORRELATION_X_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_CORRELATION_Y_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_CORRELATION_Y_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_CORRELATION_Z_NO_G_V_NO_G NUMERIC
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
-2.91314,0.07582,0.27535,0.37579,-0.17911,1.03873,2.67818,1.63651,1.40872,0,0.5575,1.20253,1.0966,0.99131,0.70734,1.05942,1.90101,1.37877,1.41874,0.42693,-2.80453,-5.22539,-2.74974,1.8632,0.98047,0.52623,0.16825,0.25109,0.19971,1.49236,1.18694,0.79534,0.02831,0.06305,0.03988,2.22712,1.40882,0.63257,-0.14632,-0.18727,-0.36323,1.27989,2.48252,1.93963,0,0.73955,0.8658,0,0,1.17071,0.26676,0.37908,0.26487,1.42107,0.99294,0.69873,1.36593,1.04449,0.43929,0.25988,0.84833,1.37035,1.1868,1.28117, TASCA_DESTRA_DAVANTI_PANTALONI
-1.21108,8.41354,2.90061,2.8589,0.02658,3.418,2.40805,1.55179,0.8366,0,0.00826,8.14456,2.85387,1.62101,0.73634,1.65845,9.17051,3.02829,1.94181,0.4318,-0.35432,-146.60997,-0.73025,413.77466,2.06096,0.00498,1.8692,1.01638,0.95784,0.54375,0.51243,0.9424,3.49392,1.03303,0.91746,0.29566,0.26259,0.88813,0.65634,0.62305,1.25903,0.94928,1.91826,2.02075,0,17.26217,20.45555,0,0,1.18499,3.41727,1.76366,1.47229,0.5161,0.43084,0.83479,1.49009,1.69043,14.52909,2.30278,-1.7208,2.53139,2.77677,-0.71773, TASCA_DESTRA_DAVANTI_PANTALONI
-10.26994,0.53356,0.73045,0.70899,-0.24108,2.05275,0.28868,0.53729,0.76956,0,1.23392,0.14515,0.38099,0.38824,0,1.49531,0.42237,0.6499,0.59467,2.33739,-5.00301,-8.32301,-6.86808,1.6636,1.37279,0.82519,1.35952,1.91727,1.12394,1.41025,0.82672,0.58622,1.8483,3.67591,1.26325,1.9888,0.68347,0.34366,-0.38325,-0.94047,-0.21258,2.45396,0.55467,0.22603,0,0,2.06106,1.37166,0,0,0.92129,1.82614,1.19223,1.98215,1.29409,0.65287,2.90228,1.49194,0.51479,-2.35347,11.76958,-1.79123,1.69787,-0.74489, TASCA_DESTRA_DAVANTI_PANTALONI
30.00535,0.50092,0.70776,0.69638,0.80423,1.76978,1.55131,1.24551,1.00778,0.52514,-1.25774,0.00408,0.06388,0.08276,1.18093,0.13596,0.00602,0.07761,0.12255,3.28216,16.95427,-23.85664,220.68561,-1.40712,13.01652,-9.25049,0.56825,11.07966,9.11889,19.49794,16.04739,0.82303,0.32291,122.7588,83.15413,380.16959,257.51855,0.67738,0.87629,6.84739,1.36447,7.81402,1.55709,0.19927,0.5722,10.05465,5.56855,17.57195,9.73184,0.55383,0.691,8.41419,5.68222,12.17683,8.22318,0.67531,2.11384,0.1813,-2.33909,-0.53251,-6.16562,2.26363,-3.18629,-11.14579, TASCA_DESTRA_DAVANTI_PANTALONI
-6.64723,0.71432,0.84517,0.74017,0.72031,6.27772,1.31299,1.14586,1.34482,1.06041,2.91522,0.00276,0.05255,0.07786,0.85745,0.13418,0.00594,0.07709,0.10018,3.71539,-1.05886,-2.28018,-49.53971,2.15343,46.78582,21.72623,0.73759,16.08233,10.96395,21.80384,14.86454,0.68174,0.54404,258.64124,120.2083,475.40765,220.95448,0.46477,0.45364,8.79099,1.50961,19.37898,3.3278,0.17172,0.66782,10.46468,7.78659,15.66995,11.65974,0.74408,0.55039,9.50593,7.38823,17.27128,13.42365,0.77722,6.35265,0.1757,6.65138,-0.11215,-7.1841,0.53679,0.38389,1.5975, TASCA_DESTRA_DAVANTI_PANTALONI
-1.45008,0.92702,0.96282,0.78682,0.6679,-3.56335,0.22407,0.47336,0.45642,14.0844,-3.43532,0.86839,0.93187,0.7857,2.96782,1.02957,0.4925,0.70178,0.51528,2.30582,0.40694,0.42211,-1.40844,1.03727,-3.46101,-3.33666,2.03399,1.03321,1.37196,0.50797,0.67452,1.32786,4.13713,1.06753,1.88228,0.25804,0.45497,1.76322,0.6706,0.48382,0.44973,0.72148,0.67065,0.92954,14.14132,2.14987,1.55264,0.15203,0.10979,0.7222,1.72388,1.00142,1.52699,0.58091,0.88579,1.52482,1.84457,1.04393,-1.12341,1.59433,-0.64211,1.1535,1.59176,-0.48527, TASCA_DESTRA_DAVANTI_PANTALONI
-0.54064,0.55641,0.74593,0.79143,1.39734,0.96756,1.24837,1.11731,1.19336,0.97408,-0.05478,0.00556,0.07454,0.09828,0.74128,0.14933,0.01049,0.10244,0.12726,12.7637,-0.55877,9.8689,-3.62045,-17.66172,6.47927,-0.36685,0.66761,10.00758,7.28135,14.99012,10.90656,0.72758,0.44571,100.15166,53.01804,224.70361,118.95304,0.52938,0.78597,10.88223,0.50796,13.84554,0.64628,0.04668,0.5479,5.77295,4.63988,10.53653,8.46851,0.80373,0.6632,8.05266,6.219,12.14214,9.37726,0.77229,0.29335,0.19155,0.04697,-0.90665,-0.25497,-0.62138,0.38137,-0.68433, TASCA_DESTRA_DAVANTI_PANTALONI
-9.96941,0.71207,0.84385,0.7078,0.11299,-0.65149,0.69831,0.83565,0.93712,2.581,0.39443,0.14642,0.38265,0.34053,4.54026,0.63397,0.36887,0.60734,0.64809,2.65648,15.30244,-25.27566,-15.72546,-1.65174,-1.02764,0.62216,1.00981,2.20526,1.38941,2.18384,1.37591,0.63004,1.01971,4.86319,1.93045,4.76917,1.89313,0.39695,0.07283,0.23439,0.06663,3.21839,0.91495,0.28429,1.66364,9.41866,1.56666,5.66149,0.94171,0.16634,0.75529,2.07856,1.09214,2.75199,1.44598,0.52543,0.87093,0.65777,0.71992,0.01622,2.43207,1.67177,1.27561,1.69218, TASCA_DESTRA_DAVANTI_PANTALONI
2.22499,3.16155,1.77807,1.19243,0.31497,-15.84743,0.8973,0.94726,0.99585,3.47693,0.19132,2.44907,1.56495,1.494,0,1.25536,1.71038,1.30781,1.04505,0.60439,-0.1404,11.62947,1.7724,-82.83042,-12.62383,0.15241,1.87707,1.13618,1.35958,0.6053,0.72431,1.19662,3.52338,1.29092,1.84845,0.36639,0.52462,1.43189,0.29417,0.47038,0.70542,1.59903,2.39801,1.49966,3.24734,0,1.35363,0,0.41684,0,1.1974,0.79815,1.14103,0.66657,0.95292,1.42959,1.07342,1.21826,0.4942,0.14995,1.18927,0.35872,1.19869,0.2078, TASCA_DESTRA_DAVANTI_PANTALONI
-5.20688,6.62837,2.57456,1.55318,0.49888,0.38029,3.6441,1.90895,1.21093,0.3131,2.90147,6.11068,2.47198,3.27223,1.63259,2.37708,4.58575,2.14144,1.42098,1.52609,-13.69179,-1.79456,-2.19046,0.13107,0.15998,1.22061,1.34868,1.0415,1.20226,0.77224,0.89144,1.15436,1.81893,1.08472,1.44543,0.59635,0.79466,1.33254,1.26923,0.26891,0.39256,0.21187,0.30929,1.45982,0.79657,0.88001,1.20085,1.10474,1.50753,1.3646,1.28264,0.47465,1.09304,0.37006,0.85218,2.3028,2.23249,2.25842,-0.95391,0.96235,4.22797,-0.45377,0.79004,1.30728, TASCA_DESTRA_DAVANTI_PANTALONI
