@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
1.0537,6.617,2.5724,11.9377,-0.5608,-0.9996,4.9687,2.2291,13.626,-5.8605,-0.3226,8.427,2.9029,12.9552,-1.4416,4.1119,5.3189,2.3063,12.1317,0.0337,-1.0542,-3.2661,0.2563,3.0982,-0.2431,-0.0785,1.154,0.8861,1.1154,0.7679,0.9665,1.2587,1.3317,0.7852,1.2441,0.5896,0.9342,1.5844,0.3685,0.5608,-10.1407,1.5217,-27.5188,-18.084,3.8509,1.4415,0.6092,0.3743,0.1582,0.4226,0.8761,0.9215,0.984,1.0518,1.1232,1.0679,0.0077,5.9993,-0.6091,0.1733,0.6029,0.1476,-0.724,-0.1288,-0.0966,0.2807,0.5298,3.6676,-1.7094,-0.6737,1.5737,1.2545,5.3243,-8.1172,0.6964,1.6534,1.2859,5.2754,-0.0651,0.1433,-0.1386,-0.9673,0.4223,0.412,0.9756,0.1784,0.1698,0.9518,0.4881,7.1742,14.697,2.318,0.2733,0.1179,0.6888,0.6952,1.0093,0.005,1.9334,0.3276,-0.5824,-0.801,?,?,?,?,?,PANTALONI
1.2577,3.9675,1.9919,7.0629,-0.1309,-0.4057,2.0049,1.416,6.4513,-1.1897,-0.7076,7.0134,2.6483,12.0333,-1.8669,3.38,3.8087,1.9516,7.1991,0.1075,-3.1002,-1.7775,0.3721,0.5734,-0.12,-0.2093,1.4067,0.7521,1.0206,0.5347,0.7255,1.357,1.9789,0.5657,1.0417,0.2859,0.5264,1.8414,0.2332,0.1043,-0.9424,0.4473,-4.0408,-9.0335,2.1198,1.488,0.7742,0.7019,0.3652,0.5203,1.0948,0.5869,0.9811,0.5361,0.8961,1.6715,0.0086,4.9286,0.1537,-0.3845,0.8429,0.0585,-0.123,-0.6155,0.191,0.5713,0.7558,3.4538,-0.449,-0.8747,2.6881,1.6395,6.6499,-9.0796,0.0929,0.7774,0.8817,3.6371,-0.3544,-0.2184,2.0568,-9.4172,0.461,0.8572,1.8595,0.2125,0.7348,3.4576,0.1787,1.1245,6.294,3.613,0.8876,0.2457,0.5194,0.9496,1.8284,0.0052,2.0219,-0.7935,0.5169,-0.5559,125000,0,0,0,1,PANTALONI
0.0647,2.28,1.51,5.5232,-1.1185,0.0603,4.3596,2.088,7.5441,-0.6562,-0.1002,0.3516,0.5929,2.9257,-0.5572,2.4686,0.9151,0.9566,4.3277,0.1241,1.0731,-0.6456,0.0262,-0.6016,0.0244,-0.0406,0.7232,2.5466,1.5785,3.5214,2.1827,0.6198,0.523,6.4849,2.4916,12.4,4.7642,0.3842,0.9756,2.7856,-4.7548,2.8552,-4.8735,-1.7069,0.5723,1.3876,0.5276,2.4245,0.9219,0.3803,0.7321,1.8878,1.2762,2.5786,1.7432,0.676,0.0007,3.6529,-0.6988,-0.437,-0.4099,0.5673,0.4654,0.2994,-0.0497,0.0431,0.2076,0.8452,-1.5255,0.039,0.0705,0.2656,1.0413,-0.6503,0.0306,0.0376,0.1938,0.9411,-1.6047,-1.2735,-1.6211,1.273,0.7815,1.0708,1.3702,0.6108,1.1466,1.8773,1.2442,0.8805,0.7077,0.5304,0.9263,1.7463,0.8117,0.8981,1.1065,0.0004,0.5523,-0.7463,-0.3129,0.2111,1100,0,0,0,1,PANTALONI
1.4674,5.0755,2.2529,8.9337,-0.1363,-0.6634,2.7002,1.6432,6.299,-2.2282,-0.3698,4.964,2.228,11.6802,-1.6001,3.489,3.2961,1.8155,7.6743,0.0775,-2.212,-3.968,0.4206,1.7939,-0.1901,-0.106,1.371,1.0112,1.2409,0.7375,0.9051,1.2272,1.8796,1.0225,1.5398,0.544,0.8192,1.506,0.2465,0.1491,-1.6618,0.6049,-6.7413,-11.1453,4.0292,1.7501,0.945,0.4344,0.2345,0.54,1.4183,0.7649,1.1641,0.5393,0.8208,1.522,0.0082,4.9871,-0.1999,0.1541,0.8145,0.4866,-0.3768,-0.0552,-0.0084,0.3165,0.5626,4.1856,-1.1708,-0.4993,1.1842,1.0882,5.4529,-4.6781,0.7618,0.3931,0.627,2.4824,0.0047,0.0168,-0.011,-0.6555,0.517,0.8973,1.7356,0.2673,0.8052,3.0123,0.5025,-192.5507,-383.1922,2.0078,0.7731,0.385,0.7676,1.6861,2.1967,0.0045,1.8502,0.0313,-0.4051,-0.7265,1100,0,0,0,1,PANTALONI
1.2744,9.8631,3.1406,15.4486,-0.1823,-1.7195,17.815,4.2208,19.2891,-2.2374,-0.4615,9.391,3.0645,19.2213,-0.5549,4.8016,18.8069,4.3367,18.4711,0.0293,-0.7412,-2.7611,0.2654,3.7254,-0.3581,-0.0961,0.7441,1.0248,0.7242,1.3773,0.9733,0.7066,0.5536,1.0503,0.5244,1.897,0.9473,0.4993,0.1787,0.3472,-4.2716,1.9435,-23.9089,-12.3021,2.1931,1.057,0.6867,0.482,0.3131,0.6497,0.8009,0.8037,0.8364,1.0035,1.0443,1.0406,0.0112,7.1594,-0.468,0.3527,0.7973,0.0442,-0.8203,0.2277,-0.1304,0.3676,0.6063,3.3176,-1.83,-0.4954,2.7341,1.6535,9.7081,-1.3821,0.7823,2.817,1.6784,7.2258,-0.1465,0.2632,-0.1667,-0.6333,0.3667,0.3613,0.9852,0.1345,0.1305,0.9706,0.3809,2.3236,6.101,0.2877,0.186,0.6466,0.3417,0.4591,1.3435,0.0048,2.4346,0.0967,-0.3147,-0.0657,1100,0,0,0,1,PANTALONI
0.8984,5.2152,2.2837,12.5617,-0.4584,-1.8944,15.9644,3.9955,20.4807,-3.4331,0.0049,10.6431,3.2624,20.5313,-0.5732,4.7608,13.5537,3.6815,17.5564,0.0423,-0.4742,182.1544,0.1887,-384.1115,-0.3979,0.001,0.5716,0.7,0.6203,1.2247,1.0853,0.8861,0.3267,0.49,0.3848,1.5,1.1779,0.7853,0.2489,0.5279,-5.0892,2.1203,-20.4429,-9.6413,1.8643,0.66,0.4698,0.354,0.252,0.7119,0.6133,0.6118,0.7155,0.9975,1.1666,1.1694,0.0109,7.1494,-0.231,0.2567,0.5548,-0.2072,-0.8236,0.3637,-0.1552,0.2587,0.5087,2.697,-1.924,-0.5139,1.8604,1.3639,7.9094,-0.6893,0.8639,4.5002,2.1214,9.5073,-0.2758,0.302,-0.1796,-0.5948,0.3729,0.2398,0.643,0.1391,0.0575,0.4134,0.5499,0.8634,1.5701,0.197,0.1238,0.6283,0.341,0.2837,0.8319,0.0053,2.5039,0.4231,-0.0329,0.3732,1100,0,0,0,1,PANTALONI
1.4365,11.7428,3.4268,19.5866,-0.2294,-1.8672,16.817,4.1009,17.4123,-3.4308,0.7686,22.019,4.6924,23.093,-0.3533,5.6199,25.1364,5.0136,25.4181,0.0216,-0.7694,1.8691,0.2556,-2.4295,-0.3322,0.1368,0.8356,0.7303,0.6835,0.8739,0.8179,0.9359,0.6983,0.5333,0.4672,0.7637,0.669,0.876,0.271,0.6061,-6.5071,2.2364,-24.0085,-10.7353,4.0542,0.9337,0.6133,0.2303,0.1513,0.6568,1.1249,0.8482,0.7706,0.754,0.685,0.9085,0.0128,8.674,-0.5653,0.6292,0.861,-0.1762,-0.7882,0.5988,-0.1494,0.418,0.6465,3.8313,-1.6959,-0.2935,3.8165,1.9536,10.5177,-0.9351,0.9366,5.1342,2.2659,9.7038,-0.2005,0.5091,-0.1595,-0.3134,0.3309,0.2853,0.8622,0.1095,0.0814,0.7433,0.4742,1.4871,3.136,0.2615,0.1758,0.6724,0.3643,0.3948,1.0839,0.0051,2.8101,0.6596,-0.0946,0.2063,1100,0,0,0,1,PANTALONI
1.3492,12.4598,3.5298,18.4997,-0.2585,-1.5731,14.9048,3.8607,19.8871,-8.8306,0.0718,12.3518,3.5145,19.815,-0.8971,4.6271,22.6069,4.7547,23.6889,0.0216,-0.8577,18.7809,0.2916,-21.8974,-0.34,0.0155,0.9143,1.0044,0.7424,1.0985,0.812,0.7392,0.836,1.0087,0.5511,1.2067,0.6593,0.5464,0.2127,0.4056,-7.2578,1.9065,-34.1179,-17.896,7.2663,1.4074,0.6071,0.1937,0.0836,0.4314,0.9302,0.9336,0.7809,1.0036,0.8395,0.8365,0.0107,7.0545,-0.7993,0.3909,0.8763,-0.402,-0.8789,0.4555,-0.0955,1.2151,1.1023,7.2754,-3.5079,-0.5565,1.506,1.2272,6.1331,-2.3873,0.991,4.6761,2.1624,10.3395,-0.1118,0.1716,-0.0964,-0.5615,0.8982,0.5098,0.5675,0.8068,0.2599,0.3221,1.3098,5.4454,4.1575,0.8914,0.1735,0.1947,1.1863,0.7037,0.5932,0.0059,2.4879,0.2327,-0.56,-0.4337,?,?,?,?,?,PANTALONI
1.033,19.0157,4.3607,31.1693,-0.3804,0.5891,10.1615,3.1877,14.3863,-0.7526,-1.1218,7.85,2.8018,19.6318,-0.8045,5.6792,7.4465,2.7288,23.7834,0.058,1.7536,-0.9209,0.1819,-0.5251,0.1037,-0.1975,1.368,1.5564,1.598,1.1377,1.1682,1.0267,1.8713,2.4224,2.5537,1.2945,1.3646,1.0542,1.3904,0.9814,-5.8668,0.7058,-4.2195,-5.978,2.7508,2.0754,0.8943,0.7545,0.3251,0.4309,2.1666,1.5877,1.3105,0.7328,0.6049,0.8254,0.0087,8.4014,-0.3509,0.1742,0.4773,-0.1463,-0.0487,0.0424,0.2911,0.8073,0.8985,5.1067,-0.6218,-0.5109,2.3313,1.5268,6.5977,-1.3525,0.3112,5.5027,2.3458,10.741,-0.5104,-0.5698,0.9353,-1.6413,0.5885,0.383,0.6509,0.3463,0.1467,0.4237,0.5162,0.5394,1.045,1.1227,0.4428,0.3944,0.774,0.4754,0.6143,0.0036,3.8873,-0.1179,0.3949,-0.0882,1100,0,0,0,1,PANTALONI
-0.0289,1.8484,1.3596,5.5315,-1.1102,-0.3619,0.9465,0.9729,4.308,-0.9459,-0.1899,0.4696,0.6852,3.1199,-2.5794,1.6791,0.613,0.7829,3.493,0.0472,0.0797,0.1519,-0.0172,1.9056,-0.2155,-0.1131,1.3975,1.9841,1.7365,1.4198,1.2426,0.8752,1.9529,3.9365,3.0155,2.0157,1.5441,0.766,1.3897,1.2944,-16.8275,0.9314,-12.1088,-13.0002,1.184,3.0073,0.715,2.5399,0.6039,0.2378,1.284,1.773,1.5836,1.3808,1.2333,0.8932,0.0022,2.5339,0.1152,0.0361,-0.5407,-0.7671,0.2056,-0.2931,0.3094,0.2867,0.5354,2.0102,-0.8097,0.1855,0.2238,0.4731,1.4302,-0.6764,-0.0242,0.0469,0.2165,1.0585,-1.3834,1.6676,-12.7739,-7.6601,1.1318,2.4731,2.1851,1.281,6.1162,4.7747,1.5587,1.4639,0.9392,1.302,2.5011,1.921,1.4055,1.8991,1.3512,0.002,1.1859,0.9484,-0.6678,-0.6987,1100,0,0,0,1,PANTALONI
