@RELATION WhereIsSmartphone
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
-0.13039611,0.03931537,0.19828103,0.58770967,-1.2814175,-0.53410804,0.0023497378,0.048474096,0.61603093,?,0.11125029,0.022418873,0.14972933,0.4819047,-0.33742476,0.24413808,-1.1720968,-4.8009586,4.0904536,1.3242632,0.32374483,16.731812,1.7536728,0.1048107,0.5358536,2.7150633,5.0668,?,0.71493447,4.2E-45,0.9540262,1.2195559,1.2783252,0.0058431015,0.90266544,0.2522432,-0.9344694,0.08209042,TASCA_DESTRA_DAVANTI_PANTALONI
0.06576279,0.016276075,0.12757772,0.33251566,-0.2871246,-0.4429498,0.025042877,0.15824941,0.6489712,?,-0.112558894,0.0046380428,0.06810318,0.21352576,-5.953827,-0.14846556,-0.58425224,3.9352715,0.8061814,1.8733006,2.3236713,0.64992833,3.509255,5.3994493,0.114297435,0.40573207,3.5497913,?,8.413276,4.6E-44,0.5123735,1.5572625,3.0393112,0.004809735,0.6706431,0.99110335,-0.81082606,-0.87512946,TASCA_DESTRA_DAVANTI_PANTALONI
0.38232824,0.012260423,0.110726796,0.3075209,0.4223645,-0.0013115134,0.04554491,0.21341254,0.61147195,-1.1659085,0.81017,0.0012337768,0.03512516,0.09305507,0.8905042,-291.51685,0.47191113,-0.0016188126,0.51883924,3.15235,6.075774,0.26919413,9.93731,36.91503,-0.6831361,0.29711848,-0.43493307,1.8857508,0.62643826,0.33219567,0.5029191,3.3047194,6.5710764,0.0094300285,1.3813986,-0.9449773,-0.95796174,0.9479843,TASCA_DESTRA_DAVANTI_PANTALONI
0.41550922,0.014028423,0.11844164,0.38138372,0.362711,0.062202405,0.030806208,0.17551698,0.50061464,-0.5513878,0.76396346,2.5663705E-4,0.016019896,0.048322856,0.9387651,6.6799545,0.54388624,0.08142065,0.6748159,7.3934093,10.956187,0.45537648,54.6625,120.03804,-1.2199614,0.29300547,-0.24017599,1.8545669,0.7583539,0.4089116,0.7618309,7.8924084,10.35979,0.009177579,1.3472948,-0.9915401,0.63651556,-0.6658006,TASCA_DESTRA_DAVANTI_PANTALONI
0.28068382,0.021749398,0.14747678,0.4371338,0.033207342,-0.06106892,0.0032644202,0.057135105,0.2052002,-3.5928962,-0.51416534,0.0035539393,0.059614927,0.58374023,?,-4.5961814,-0.54590183,0.11877292,2.5811937,2.473823,0.9584027,6.662561,6.1198,0.9185357,-0.09353612,-0.025721455,0.27498955,10.120218,?,?,2.1302795,0.74884987,0.35152656,0.012531153,0.8619229,-0.76217395,-0.93666726,0.87401956,TASCA_DESTRA_DAVANTI_PANTALONI
-0.07271979,0.0179782,0.13408281,0.34339392,-1.6846014,-0.23704045,0.049740676,0.22302617,0.6424616,-8.032866,-0.69299656,4.9366726E-4,0.022218624,0.73359376,?,0.30678222,0.10493528,0.3420514,0.60119766,6.0347037,10.037803,0.3614386,36.41765,100.75749,0.37715325,0.29373407,0.7788189,1.7984203,?,?,0.5344972,0.4680982,0.875773,0.015333681,1.0897747,0.85823107,0.37421644,-0.037841283,TASCA_DESTRA_DAVANTI_PANTALONI
-0.7697883,5.068961E-4,0.022514354,0.79909146,?,-0.4947658,0.001746893,0.04179585,0.6367792,?,-0.21627986,0.0028234364,0.053136017,0.30334276,?,1.5558641,3.5592232,2.2876184,0.5386744,0.42371175,0.7865823,0.2901701,0.17953162,0.61871165,1.2548957,2.6342857,2.099207,1.0,1.0,1.0,1.2548957,2.6342857,2.099207,0.019589363,1.480834,-0.5999378,-0.42752042,-0.45912254,TASCA_DESTRA_DAVANTI_PANTALONI
-0.2555187,0.053184114,0.23061681,0.6787086,-19.29602,-0.21461008,0.0022064163,0.046972506,0.27111885,?,-0.79613954,0.016763147,0.12947257,0.9142427,?,1.1906184,0.32094714,0.2695634,4.9096127,1.7812021,0.3627989,24.104298,3.1726809,0.13162304,2.3800194,0.7057952,0.29655018,?,?,1.0,2.503362,0.7423725,0.29655018,0.017617168,1.2760285,-0.4214876,-0.9569535,0.65173656,TASCA_DESTRA_DAVANTI_PANTALONI
0.5009947,0.02278743,0.15095505,0.44607925,0.31569692,-0.096983284,0.012036814,0.109712414,0.33622387,-2.4274712,0.7204424,4.0258883E-4,0.020064617,0.06193328,0.91865134,-5.165784,0.6953986,-0.13461629,1.3759159,7.5234456,5.4679546,1.8931445,56.602238,29.898531,-0.8642215,0.2942452,-0.3404743,6.645211,0.8562287,0.12884898,1.3267329,7.2025776,5.4288077,0.020064961,1.3477576,-0.9884669,-0.9372585,0.8767694,TASCA_DESTRA_DAVANTI_PANTALONI
0.1501331,0.004788201,0.06919683,0.22205377,-0.06110929,-0.3590811,0.048318353,0.21981436,0.6244382,?,0.019935446,0.0068959054,0.083041586,0.22685918,-0.4141526,-0.4181036,7.530963,-18.012192,0.31479666,0.8332792,2.6470394,0.09909694,0.6943542,7.006818,0.020479333,0.19247964,9.398726,?,1.3044816,8.4E-45,0.35560566,0.97881764,2.7525368,0.0088571245,0.5838972,0.7419632,-0.9109691,-0.9158373,TASCA_DESTRA_DAVANTI_PANTALONI
